index,Date Last Researched,Country,Project Name,Phase Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Installation Type,Status,Start year,Retired year,Operator,Operator Name in Local Language / Script,Owner,Owner Name in Local Language / Script,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM phase ID,Other IDs (location),Other IDs (unit/phase),Wiki URL,geometry,Wind Speed,Wind Class,EU27
92,2022-11-03,Kenya,Malindi Offshore wind farm,,,Malinidi Offshore,50.0,offshore mount unknown,cancelled,,,,,VR Holding AB,,-3.5102,39.9593,approximate,Malinidi,Kilifi,,,Sub-Saharan Africa,Africa,L900132,G900172,,,https://gem.wiki/Malindi_Offshore_wind_farm,POINT (39.9593 -3.5102),7.105001926422119,III,False
133,2022-09-15,Morocco,Morocco-UK wind farm,,,,3500.0,offshore mount unknown,pre-construction,2027.0,,Xlinks; Octopus Energy,,Xlinks;Octopus Energy,,28.5274,-10.0316,approximate,,,,,Northern Africa,Africa,L916623,G920661,,,https://gem.wiki/Morocco-UK_wind_farm,POINT (-10.0316 28.5274),10.72794246673584,I,False
244,2022-11-06,Tanzania,Vr Holding Tanzania wind farm,,,"VR Holding wind farm, Sh253bn mega-project, Sh253bn wind farm",50.0,offshore mount unknown,pre-construction,,,VR Holding AB,,VR Holding AB,,-7.2045,39.5397,exact,,,,,Sub-Saharan Africa,Africa,L900059,G900078,,,https://gem.wiki/Vr_Holding_Tanzania_wind_farm,POINT (39.5397 -7.2045),5.756715774536133,III,False
281,2021-12-20,Bangladesh,Chittagong - Givent DLC Green Energy Offshore wind farm,,,,400.0,offshore mount unknown,cancelled,,,,,Givent DLC Green Energy Finance Limited,,22.101,91.801,approximate,,,,,Southern Asia,Asia,L901156,G901349,,,https://gem.wiki/Chittagong_-_Givent_DLC_Green_Energy_Offshore_wind_farm,POINT (91.801 22.101),6.148464202880859,III,False
346,2022-09-26,Japan,Ajigasawa Offshore wind farm,,鰺ヶ沢洋上風力発電事業,"Ajigasawa Offshore Wind Power Generation Project, Ajigasawa wind farm",600.0,offshore mount unknown,pre-construction,2026.0,,,,Influx INC,,40.8473,140.1393,approximate,Ajigasawa,,Aomori Prefecture,,Eastern Asia,Asia,L901172,G901365,,,https://gem.wiki/Ajigasawa_Offshore_wind_farm,POINT (140.1393 40.8473),8.696763038635254,I,False
347,2022-09-26,Japan,Aker offshore wind farm,,,"Progression Energy floating wind farm, Progression Energy Floating Project",800.0,offshore floating,announced,,,,,Aker Offshore Wind CO [25%]; Mainstream Renewable Power [25%]; Progression Energy,,35.9926,135.8319,approximate,,,,,Eastern Asia,Asia,L916684,G920730,,,https://gem.wiki/Aker_offshore_wind_farm,POINT (135.8319 35.9926),7.29789924621582,III,False
349,2022-09-26,Japan,Akita Noshiro Offshore wind farm,,秋田洋上風力発電所,Akita Noshiro offshore wind power station,139.0,offshore hard mount,construction,2022.0,,Akita Offshore Wind CORP (AOW),秋田洋上風力発電株式会社,Marubeni CORP; Obayashi CORP; Tohoku Electric Power CO INC; Cosmo Eco Power CO LTD; Kansai Electric Power CO INC (KEPCO); Chubu Electric Power CO INC; Akita Bank LTD; Ohmori CO LTD; Sawakigumi CORP; Kyowa Oil CO LTD; Kato Kensetsu CO LTD; Kanpu CO LTD; Sankyo CO LTD,丸紅株式会社; 株式会社大林組; 東北電力株式会社; コスモエコパワー株式会社; 関西電力株式会社; 中部電力株式会社; 株式会社秋田銀行; 大森建設株式会社; 株式会社沢木組; 協和石油株式会社; 株式会社加藤建設; 株式会社寒風; 三共株式会,40.2201,139.9603,approximate,,Noshiro Port,Akita Prefecture,,Eastern Asia,Asia,L900716,G900819,,,https://gem.wiki/Akita_Noshiro_Offshore_wind_farm,POINT (139.9603 40.2201),8.020401000976562,II,False
350,2022-09-26,Japan,Akita Port (JWD) Offshore wind farm,,秋田洋上風力発電事業,"Akita Offshore Wind Power Generation Project, Akita Offshore offshore wind farm",722.0,offshore mount unknown,pre-construction,2026.0,,,,Japan Wind Development CO LTD (JWD); Eurus Energy Holdings CORP; Ørsted A/S,日本風力開発株式会社,40.1438,139.9369,approximate,Noshiro City,,Akita Prefecture,,Eastern Asia,Asia,L901192,G901387,,,https://gem.wiki/Akita_Port_(JWD)_Offshore_wind_farm,POINT (139.9369 40.1438),7.8377766609191895,II,False
351,2022-09-26,Japan,Akita Port (Marubeni) Offshore wind farm,,たち秋田洋上風力発電,Akita Port,55.0,offshore hard mount,construction,2022.0,,Akita Offshore Wind CORP (AOW),秋田洋上風力発電株式会社,Marubeni CORP; Obayashi CORP; Tohoku Electric Power CO INC; Cosmo Eco Power CO LTD; Kansai Electric Power CO INC (KEPCO); Chubu Electric Power CO INC; Akita Bank LTD; Ohmori CO LTD; Sawakigumi CORP; Kyowa Oil CO LTD; Kato Kensetsu CO LTD; Kanpu CO LTD; Sankyo CO LTD,丸紅株式会社; 株式会社大林組; 東北電力株式会社; コスモエコパワー株式会社; 関西電力株式会社; 中部電力株式会社; 株式会社秋田銀行; 大森建設株式会社; 株式会社沢木組; 協和石油株式会社; 株式会社加藤建設; 株式会社寒風; 三共株式会社,39.7593,140.0421,approximate,,Akita Port,Akita Prefecture,,Eastern Asia,Asia,L900714,G900817,,,https://gem.wiki/Akita_Port_(Marubeni)_Offshore_wind_farm,POINT (140.0421 39.7593),7.369037628173828,III,False
352,2022-09-26,Japan,Akita Port (Tohoku) offshore wind farm,,秋田港および能代港洋上風力,Akita Port and Noshiro Port Offshore wind power,140.0,offshore mount unknown,pre-construction,2022.0,,Tohoku Natural Energy CO LTD; Akita Offshore Wind Power CO LTD,東北自然エネルギー株式会社; 秋田洋上風力発電株式会社,Tohoku Natural Energy CO LTD,東北自然エネルギー,40.3158,139.8197,approximate,Noshiro,,Akita Prefecture,,Eastern Asia,Asia,L916685,G920731,,,https://gem.wiki/Akita_Port_(Tohoku)_offshore_wind_farm,POINT (139.8197 40.3158),8.103704452514648,II,False
