ISCO1D,ISCO2D,ISCO3D,ISCO4D,ISCO1Dname,ISCO2Dname,ISCO3Dname,ISCO4Dname,2017_Frey_autom,2018_Brynjolfsson_mSML,2020_Webb_AI,2020_Webb_robot,2020_Webb_software,2021_Felten_AIOE,2023_Felten_genAIOE,2021_Tolan_AI,2023_Gmyrek_LLM,2024_Autor_augm,2024_Autor_autom,2024_Eloundou_GPT,2024_Engberg_DAIOE,2024_Loaiza_augm,2024_Loaiza_autom,2024_Prytkova_digital,2025_Gmyrek_LLM
1,11,111,1111,Managers,"Chief executives, senior officials and legislators",Legislators and senior officials,Legislators,NA,NA,NA,NA,NA,NA,NA,0.563,0.22,0.4011650485436893,0.41,0.5909661229611042,NA,0.4392764857881137,0.021963824289405683,0,0.31
1,11,111,1112,Managers,"Chief executives, senior officials and legislators",Legislators and senior officials,Senior government officials,0.12268188302425106,0.5600346770697876,0.5140510159965413,0.3648940769563338,0.5028102031993082,0.7671410090556274,0.8163001293661061,0.563,0.32,0.6123624595469256,0.5700000000000001,0.7168548724383104,0.5176886749267579,0.2252368647717485,0.030146425495262703,0.06987951807228916,0.38
1,11,111,1113,Managers,"Chief executives, senior officials and legislators",Legislators and senior officials,Traditional chiefs and heads of village,0.09272467902995721,0.5383615084525357,0.32814526588845655,0.16731517509727625,0.3761348897535668,0.9094437257438551,0.9482535575679172,0.563,0.33,0.4011650485436893,0.41,0.6919698870765371,0.6497641754150391,0.2842377260981912,0.020671834625322995,0.13253012048192772,0.23
1,11,111,1114,Managers,"Chief executives, senior officials and legislators",Legislators and senior officials,Senior officials of special interest organizations,0.22729434141702332,0.7004768097095796,0.4850843060959793,0.3929961089494164,0.6000864677907479,0.7485985338507978,0.7701595515308323,0.563,0.31,0.7157281553398059,0.6033333333333334,0.7402760351317441,0.6214622497558594,0.5637381567614126,0.05167958656330749,0.043373493975903614,0.37
1,11,112,1120,Managers,"Chief executives, senior officials and legislators",Managing directors and chief executives,Managing directors and chief executives,0.18330955777460772,0.546814044213264,0.32490272373540857,0.3158236057068742,0.43125810635538264,0.7729624838292368,0.7891332470892626,0.546,0.3,0.5666262135922331,0.525,0.759723964868256,0.5459905624389648,0.21188630490956073,0.020025839793281652,0.05783132530120482,0.38
1,12,121,1211,Managers,Administrative and commercial managers,Business service and administration managers,Finance managers,0.21540656205420827,0.7906371911573472,0.6316472114137484,0.13878080415045396,0.36835278858625164,0.9844760672703752,0.9508408796895214,0.756,0.3,0.5979611650485438,0.34,0.7340025094102886,0.8077830505371094,0.8746770025839793,0.14987080103359174,0.2963855421686747,0.37
1,12,121,1212,Managers,Administrative and commercial managers,Business service and administration managers,Human resource managers,0.3238231098430813,0.48504551365409626,0.6567228707306528,0.1340250756593169,0.3216601815823606,0.8814144027598103,0.863734368262182,0.756,0.27,0.6769902912621358,0.39,0.7616060225846926,0.6709906005859375,0.19595176571920758,0.006029285099052541,0.43855421686746987,0.36
1,12,121,1213,Managers,Administrative and commercial managers,Business service and administration managers,Policy and planning managers,0.3152639087018545,0.7191157347204161,0.5836575875486382,0.19714656290531776,0.5278858625162127,0.7347994825355757,0.7619663648124192,0.756,0.22,0.7320873786407768,0.64,0.7540777917189461,0.744103775024414,0.686046511627907,0.10077519379844961,0.19518072289156627,0.36
1,12,121,1219,Managers,Administrative and commercial managers,Business service and administration managers,Business service and administration managers not elsewhere classified,0.3420827389443652,0.4332466406588643,0.5510159965412884,0.3277129269347168,0.5415045395590142,0.7578697714532125,0.7645536869340233,0.756,0.33,0.7179417475728156,0.5660000000000001,0.8247595148473442,0.5884434127807617,0.6705426356589147,0.1231696813092162,0.25301204819277107,0.42
1,12,122,1221,Managers,Administrative and commercial managers,"Sales, marketing and development managers",Sales and marketing managers,0.08273894436519258,0.8211963589076723,0.8573281452658885,0.35862516212710766,0.62905317769131,0.8712807244501941,0.9230271668822769,0.782,0.29,0.6830097087378642,0.53,0.7145545796737767,0.6285377502441406,0.6227390180878554,0.06330749354005168,0.8096385542168675,0.41
1,12,122,1222,Managers,Administrative and commercial managers,"Sales, marketing and development managers",Advertising and public relations managers,0.1340941512125535,0.8654096228868661,0.4176394293125811,0.38715953307393,0.6861219195849546,0.8758085381630013,0.9495472186287193,0.782,0.33,0.6830097087378642,0.53,0.7164366373902133,0.7488207244873046,0.5633074935400517,0.06007751937984496,0.672289156626506,0.39
1,12,122,1223,Managers,Administrative and commercial managers,"Sales, marketing and development managers",Research and development managers,0.11055634807417974,0.52925877763329,0.6309987029831388,0.1569390402075227,0.3631647211413749,0.8007761966364813,0.851875808538163,0.782,0.24,0.7320873786407768,0.64,0.7521957340025094,0.8030660247802734,0.4005167958656331,0.355297157622739,0.09879518072289156,0.4
1,13,131,1311,Managers,Production and specialized service managers,"Production managers in agriculture, forestry and fisheries",Agricultural and forestry production managers,0.19115549215406563,0.6488946684005201,0.933852140077821,0.5758754863813229,0.8845654993514915,0.4799482535575679,0.48641655886157825,NA,0.29,0.24441747572815536,0.2,0.5445420326223338,0.3950471878051758,0.6188630490956072,0.5490956072351422,0.7156626506024096,0.27
1,13,131,1312,Managers,Production and specialized service managers,"Production managers in agriculture, forestry and fisheries",Aquaculture and fisheries production managers,0.19115549215406563,0.6488946684005201,0.933852140077821,0.5758754863813229,0.8845654993514915,0.4799482535575679,0.48641655886157825,NA,0.31,0.24441747572815536,0.2,0.5445420326223338,0.3974056625366211,0.6188630490956072,0.5490956072351422,0.6168674698795181,0.22
1,13,132,1321,Managers,Production and specialized service managers,"Manufacturing, mining, construction, and distribution managers",Manufacturing managers,0.15121255349500715,0.6840052015604682,0.7509727626459144,0.5525291828793775,0.7016861219195849,0.6261319534282018,0.6338939197930142,0.739,0.36,0.7320873786407768,0.64,0.6022584692597239,0.5224056625366211,0.6692506459948321,0.417312661498708,0.8192771084337349,0.38
