concept	sub_concept	dim_title	reference	analysis_short
provider-developer	provider			Provider of limited-risk AI systems
provider-developer	provider		EU AI Act, Article 50 (1)	A person that develops or has developed or makes a substantial modification to and places on the market of an AI system that interacts with natural persons (Article 50)
provider-developer	provider			Placing on the market
provider-developer	provider			-
provider-developer	provider		EU AI Act, Article 50 (1, 2)	Disclose AI interaction; If generating synthetic content, put in place machine-readable disclosure that content is AI-generated (Article 50)
provider-developer	provider			-
provider-developer	provider			-
provider-developer	provider			-
provider-developer	provider		EU AI Act, Article 4	Providers must ensure people operating / using AI systems on their behalf have a sufficient level of AI literacy (Article 4)
provider-developer	provider			-
provider-developer	provider		EU AI Act, Article 99 (3, 4, 5)	Up to €15M or 3% of total worldwide annual turnover Up to €7M or 1% of total worldwide annual turnover for incorrect information (Article 99)
provider-developer	provider-of-high-risk-ai-systems		AI Act, Article 6; AI Act, Annex III; EU AI Act, Article 25 (1); EU AI Act, Article 50 (1, 2); EU AI Act, Article 13 (1); EU AI Act, Article 16 (a); EU AI Act, Article 16 (b); EU AI Act, Article 16 (c); EU AI Act, Article 17 (1); EU AI Act, Article 18 (1); EU AI Act, Article 11 (1); EU AI Act, Annex IV (1 - 9); EU AI Act, Article 16 (e); EU AI Act, Article 19 (1); EU AI Act, Article 16 (f); EU AI Act, Article 43 (1-4); EU AI Act, Article 16 (g); EU AI Act, Article 47 (1); EU AI Act, Article 16 (h); EU AI Act, Article 48; EU AI Act, Article 16 (i); EU AI Act, Article 49 (1); EU AI Act, Article 20 (1, 2); EU AI Act, Article 21 (1, 2); EU AI Act, Article 22 (1 - 4); EU AI Act, Article 13 (2, 3); EU AI Act, Article 25 (4); EU AI Act, Article 72 (1 - 4); EU AI Act, Article 73 (1 - 4); EU AI Act, Article 6 (4); EU AI Act, Article 99 (4 - 5)	Provider of high-risk AI systems
provider-developer	provider-of-high-risk-ai-systems		AI Act, Article 6; AI Act, Annex III; EU AI Act, Article 25 (1)	A person that develops or has developed or makes a substantial modification to an AI or GPAI system that: 1) acts as a safety component of a product, or is a product itself, covered by specific Union 
provider-developer	provider-of-high-risk-ai-systems			Domain-based
provider-developer	provider-of-high-risk-ai-systems			Prior to placing AI system on the market
provider-developer	provider-of-high-risk-ai-systems		EU AI Act, Article 16 (i); EU AI Act, Article 49 (1)	Register in EU database (Article 49)
provider-developer	provider-of-high-risk-ai-systems			Indicate on AI system or its packaging or accompanying documentation contact details of AI provider (Article 16)
provider-developer	provider-of-high-risk-ai-systems			Systems must undergo conformity assessment (Article 47); affix CE marking (Article 16)
provider-developer	provider-of-high-risk-ai-systems		EU AI Act, Article 50 (1, 2); EU AI Act, Article 13 (1)	Disclose AI interaction; If generating synthetic content, put in place machine-readable disclosure that content is AI-generated (Article 50); System design must be sufficiently transparent to enable h
provider-developer	provider-of-high-risk-ai-systems			Draw up and maintain general description of the AI system, including intended purpose, version, software / hardware and instructions for use (Article 11, Annex IV)
provider-developer	provider-of-high-risk-ai-systems			Draw up detailed description of system development, design specifications, architecture, datasets, oversight, validation and testing procedures; detailed information about monitoring, functioning and 
provider-developer	provider-of-high-risk-ai-systems			Put in place a quality management system (Article 16) and a post-market monitoring system (Article 72); keep automatically-generated system logs (Article 19)
provider-developer	provider-of-high-risk-ai-systems			Keep documentation for 10 years (Article 18)
provider-developer	provider-of-high-risk-ai-systems			Provide relevant information, capabilities, technical access and other assistance to enable provider compliance with regulation (Article 25)
provider-developer	provider-of-high-risk-ai-systems			Within 2 to 15 days, depending on severity (Article 73)
provider-developer	provider-of-high-risk-ai-systems			Providers must ensure people operating / using AI systems on their behalf have a sufficient level of AI literacy (Article 4)
provider-developer	provider-of-high-risk-ai-systems		EU AI Act, Article 6 (4)	Provider can demonstrate system is not high-risk, but registration obligations still apply (Article 6)
provider-developer	provider-of-high-risk-ai-systems		EU AI Act, Article 99 (4 - 5)	Up to €15M or 3% of total worldwide annual turnover Up to €7M or 1% of total worldwide annual turnover for incorrect information (Article 99)
provider-developer	provider-of-general-purpose-ai-models		EU AI Act, Article 3 (3); EU AI Act, Article 3 (63); EU AI Act, Article 50 (1, 2); EU AI Act, Article 53 (1); EU AI Act, Article 53 (2); EU AI Act, Annex XI; Code of Practice for GPAI - Transparency Chapter; Code of Practice for GPAI - Copyright Chapter; EU AI Act, Article 54 (1); EU AI Act, Annex XII; EU AI Act, Article 99 (4 - 5)	Provider of GPAI models
provider-developer	provider-of-general-purpose-ai-models		EU AI Act, Article 3 (3); (GL, (17))	Person that develops a GPAI model that displays significant generality and is capable of competently performing a wide range of distinct tasks (Article 3) Indicative criterion: > 1023 FLOPs in compute
provider-developer	provider-of-general-purpose-ai-models		EU AI Act, Article 3 (63); (GL, (17))	Person that develops a GPAI model that displays significant generality and is capable of competently performing a wide range of distinct tasks (Article 3) Indicative criterion: > 1023 FLOPs in compute
provider-developer	provider-of-general-purpose-ai-models		(GL, (17))	Person that develops a GPAI model that displays significant generality and is capable of competently performing a wide range of distinct tasks (Article 3) Indicative criterion: > 1023 FLOPs in compute
provider-developer	provider-of-general-purpose-ai-models			Generality
provider-developer	provider-of-general-purpose-ai-models			Prior to placing GPAI model on the market
provider-developer	provider-of-general-purpose-ai-models		EU AI Act, Article 50 (1, 2)	Applicable to providers of GPAI systems-only (Article 50) and to providers of GPAI models with systemic risk who signed the CoP (CoP SSC 10.2)
provider-developer	provider-of-general-purpose-ai-models			Register in EU database (Article 49)
provider-developer	provider-of-general-purpose-ai-models			Draw up and provide downstream providers general model / data description
provider-developer	provider-of-general-purpose-ai-models			Technical documentation on model training, design and testing, as well data provenance, curation and characteristics (Article 53; CoP TC 1.1)
provider-developer	provider-of-general-purpose-ai-models		Code of Practice for GPAI - Copyright Chapter	Put in place copyright compliance policy (Article 53; CoP CC 1.1)
provider-developer	provider-of-general-purpose-ai-models		EU AI Act, Article 53 (2)	Providers of open source models (Article 53)  [1]
provider-developer	provider-of-general-purpose-ai-models		EU AI Act, Article 99 (4 - 5)	Up to €15M or 3% of total worldwide annual turnover Up to €7M or 1% of total worldwide annual turnover for incorrect information (Article 99)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk		EU AI Act, Article 3 (3); EU AI Act, Article 51 (1, 2); EU AI Act, Article 53 (1); EU AI Act, Annex XI; Code of Practice for GPAI - Transparency Chapter; Code of Practice for GPAI - Copyright Chapter; EU AI Act, Article 54 (1); EU AI Act, Annex XII; EU AI Act, Article 55 (1); Code of Practice for GPAI - Safety and Security Chapter; EU AI Act, Article 52 (1, 2); EU AI Act, Article 99 (3, 4, 5)	Provider of GPAI models with systemic risk
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk		EU AI Act, Article 3 (3)	Person that develops a GPAI model with high-impact capabilities (Article 51) Indicative criterion: > 10²⁵ FLOPs in compute (Article 51)[1] Or person that modifies an existent GPAI model with high-impa
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk		EU AI Act, Article 51 (1, 2)	Person that develops a GPAI model with high-impact capabilities (Article 51) Indicative criterion: > 10²⁵ FLOPs in compute (Article 51)[1] Or person that modifies an existent GPAI model with high-impa
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk			Person that develops a GPAI model with high-impact capabilities (Article 51) Indicative criterion: > 10²⁵ FLOPs in compute (Article 51)[1] Or person that modifies an existent GPAI model with high-impa
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk			Person that develops a GPAI model with high-impact capabilities (Article 51) Indicative criterion: > 10²⁵ FLOPs in compute (Article 51)[1] Or person that modifies an existent GPAI model with high-impa
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk			Capabilities
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk			Prior to placing GPAI model with systemic risk on the market; Across model lifecycle, including model development phase in the case of risk management (Article 55; CoP SSC 1.2)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk		EU AI Act, Article 52 (1, 2)	Notify EC when compute threshold achieved or known to be achieved in the future (Article 52)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk			Draw up and provide downstream providers general model / data description (Article 53, Annex XI)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk			Draw up and provide downstream providers technical documentation on model training, design and testing, as well data provenance, curation and characteristics (Article 53, Annexes XI, XII) Publish and 
