status,raw_reference,existing_law,existing_kind,existing_anchor,new_law,new_kind,new_anchor,new_paragraphs
new,"(GL, (17))",,,,eu-guidelines-gpai-scope,paragraph,17,
new,"(GL, (59))",,,,eu-guidelines-gpai-scope,paragraph,59,
new,"(GL, (60))",,,,eu-guidelines-gpai-scope,paragraph,60,
new,"(GL, 3.2)",,,,eu-guidelines-gpai-scope,section,3,2
changed,AIA Article 3(2),eu-ai-act,article,3-2,eu-ai-act,article,3,2
changed,AIA Article 3(23),eu-ai-act,article,3-23,eu-ai-act,article,3,23
changed,AIA Article 3(49),eu-ai-act,article,3-49,eu-ai-act,article,3,49
changed,AIA Article 3(63),eu-ai-act,article,3-63,eu-ai-act,article,3,63
changed,AIA Article 3(65),eu-ai-act,article,3-65,eu-ai-act,article,3,65
changed,AIA Article 3(66),eu-ai-act,article,3-66,eu-ai-act,article,3,66
obsolete,AIA Article 50(1),eu-ai-act,article,50-1,,,,
obsolete,AIA Article 50(2),eu-ai-act,article,50-2,,,,
changed,"AIA Article 51(1), (2)",eu-ai-act,article,51-1,eu-ai-act,article,51,"1,2"
changed,AIA Article 51(1)-(2),eu-ai-act,article,51-1,eu-ai-act,article,51,1
changed,"AIA Article 6(1), (2)",eu-ai-act,article,6-1,eu-ai-act,article,6,"1,2"
changed,"AIA Article 6(3), (4)",eu-ai-act,article,6-3,eu-ai-act,article,6,"3,4"
changed,AIA Article 73(1),eu-ai-act,article,73-1,eu-ai-act,article,73,1
changed,"AIA Article 73(1), (5)",eu-ai-act,article,73-1,eu-ai-act,article,73,"1,5"
obsolete,AIA Article 73(2)-(4),eu-ai-act,article,73-2,,,,
obsolete,AIA Article 73(6)-(7),eu-ai-act,article,73-6,,,,
new,AIA Article 99(4),,,,eu-ai-act,article,99,4
obsolete,"AIA Article 99(4), (6)",eu-ai-act,article,99-4,,,,
obsolete,AIA Article 99(4); Article 101(1),eu-ai-act,article,99-4,,,,
obsolete,AIA Recital (128),eu-ai-act,recital,128,,,,
new,AIA Recital (177),,,,eu-ai-act,recital,177,
obsolete,AIA Recital (177); Article 3(23),eu-ai-act,recital,177,,,,
changed,"AIA, Article 55(1)(c)",eu-ai-act,article,55-1,eu-ai-act,article,55,1
new,Article 101(1),,,,eu-ai-act,article,101,1
new,Article 3(23),,,,eu-ai-act,article,3,23
new,CA AB 2013 §3110,,,,ca-ab2013,section,3110,
changed,CA AB 2013 §3110(c),ca-ab2013,section,2013,ca-ab2013,section,3110,c
changed,CA AB 2013 §3110(d),ca-ab2013,section,2013,ca-ab2013,section,3110,d
new,CA AB 2013 §3111,,,,ca-ab2013,section,3111,
new,"CA AB 2013, Civil Code §3110(b)",,,,ca-ab2013,section,3110,b
new,CA SB 53 §1107.1,,,,ca-sb53,section,1107.1,
new,CA SB 53 §22757.11,,,,ca-sb53,section,22757.11,
changed,CA SB 53 §22757.11(c)(1),ca-sb53,section,22757.11-c,ca-sb53,section,22757.11,c
changed,CA SB 53 §22757.11(c)(2),ca-sb53,section,22757.11-c,ca-sb53,section,22757.11,c
changed,CA SB 53 §22757.11(d),ca-sb53,section,22757.11-d,ca-sb53,section,22757.11,d
changed,CA SB 53 §22757.11(f),ca-sb53,section,22757.11-f,ca-sb53,section,22757.11,f
obsolete,"CA SB 53 §22757.11(f), (h), (i), (j); §22757.14(a)",ca-sb53,section,22757.11-f,,,,
obsolete,"CA SB 53 §22757.11(h), (i), (j); §22757.12; §22757.13",ca-sb53,section,22757.11-h,,,,
changed,CA SB 53 §22757.11(h)-(j),ca-sb53,section,22757.11-h,ca-sb53,section,22757.11,h
changed,CA SB 53 §22757.11(i),ca-sb53,section,22757.11-i,ca-sb53,section,22757.11,i
new,CA SB 53 §22757.12,,,,ca-sb53,section,22757.12,
new,CA SB 53 §22757.13,,,,ca-sb53,section,22757.13,
obsolete,"CA SB 53 §22757.13(a), (b)(1), (c)(3)",ca-sb53,section,22757.13-a,,,,
obsolete,"CA SB 53 §22757.13(c)(1), (c)(4)",ca-sb53,section,22757.13-c,,,,
obsolete,CA SB 53 §22757.13(c)(1)-(2),ca-sb53,section,22757.13-c,,,,
new,CA SB 53 §22757.15,,,,ca-sb53,section,22757.15,
changed,CA SB 53 §22757.15(a)-(b),ca-sb53,section,22757.15-a,ca-sb53,section,22757.15,a
new,CA SB 942 §22757.1,,,,ca-sb942,section,22757.1,
new,CA SB 942 §22757.1(b),,,,ca-sb942,section,22757.1,b
obsolete,"CA SB 942 §22757.1(b); CA AB 2013, Civil Code §3110(b)",ca-sb942,section,22757.1-b,,,,
changed,CA SB 942 §22757.1(c),ca-sb942,section,22757.1-c,ca-sb942,section,22757.1,c
obsolete,CA SB 942 §22757.1(i),ca-sb942,section,22757.1-i,,,,
obsolete,CA SB 942 §22757.2(a),ca-sb942,section,22757.2-a,,,,
new,CA SB 942 §22757.4,,,,ca-sb942,section,22757.4,
new,CO SB 24-205 §6-1-1701,,,,co-sb24205,section,6-1-1701,
changed,CO SB 24-205 §6-1-1701(10)(a),co-sb24205,section,6-1-1701-10,co-sb24205,section,6-1-1701,10
obsolete,CO SB 24-205 §6-1-1701(10)(b),co-sb24205,section,6-1-1701-10,,,,
new,CO SB 24-205 §6-1-1701(9),,,,co-sb24205,section,6-1-1701,9
new,CO SB 24-205 §6-1-1702,,,,co-sb24205,section,6-1-1702,
new,CO SB 24-205 §6-1-1703,,,,co-sb24205,section,6-1-1703,
new,"California AB2013, 3110. (b)",,,,ca-ab2013,section,3110,b
new,"California AB2013, 3110. (c)",,,,ca-ab2013,section,3110,c
changed,"California AB2013, 3111.",ca-ab2013,section,2013,ca-ab2013,section,3111,
changed,"California SB53, 1107.1. (e )",ca-sb53,section,1107.1-e,ca-sb53,section,1107.1,e
