industry,year,ai,all
"Architecture, Engineering, Construction, and Operations",2000,2,129
Automotive,2000,0,38
Energy,2000,0,32
Financial Services,2000,2,371
Government,2000,1,145
Healthcare and Life Sciences,2000,0,259
Higher Education and Research,2000,2,113
Industrial,2000,2,44
Manufacturing,2000,1,211
Media and Entertainment,2000,9,1467
Restaurants and Quick-Service,2000,0,17
Retail and Consumer Packaged Goods,2000,3,834
Robotics,2000,7,20
Semiconductor,2000,2,177
Telecommunications,2000,4,713
"Architecture, Engineering, Construction, and Operations",2001,0,60
Automotive,2001,1,13
Energy,2001,0,24
Financial Services,2001,3,109
Government,2001,2,101
Healthcare and Life Sciences,2001,1,215
Higher Education and Research,2001,2,45
Industrial,2001,0,26
Manufacturing,2001,1,197
Media and Entertainment,2001,8,453
Restaurants and Quick-Service,2001,0,3
Retail and Consumer Packaged Goods,2001,3,215
Robotics,2001,8,18
Semiconductor,2001,2,182
Telecommunications,2001,3,406
"Architecture, Engineering, Construction, and Operations",2002,0,45
Automotive,2002,0,13
Energy,2002,0,38
Financial Services,2002,2,120
Government,2002,1,118
Healthcare and Life Sciences,2002,1,289
Higher Education and Research,2002,1,23
Industrial,2002,1,21
Manufacturing,2002,1,195
Media and Entertainment,2002,3,349
Restaurants and Quick-Service,2002,0,4
Retail and Consumer Packaged Goods,2002,1,178
Robotics,2002,5,13
Semiconductor,2002,2,169
Telecommunications,2002,3,365
"Architecture, Engineering, Construction, and Operations",2003,1,40
Automotive,2003,0,15
Energy,2003,0,38
Financial Services,2003,2,105
Government,2003,1,135
Healthcare and Life Sciences,2003,1,351
Higher Education and Research,2003,2,29
Industrial,2003,0,17
Manufacturing,2003,0,203
Media and Entertainment,2003,4,323
Restaurants and Quick-Service,2003,0,7
Retail and Consumer Packaged Goods,2003,1,208
Robotics,2003,10,27
Semiconductor,2003,2,183
Telecommunications,2003,5,343
"Architecture, Engineering, Construction, and Operations",2004,0,35
Automotive,2004,1,26
Energy,2004,0,78
Financial Services,2004,1,145
Government,2004,0,149
Healthcare and Life Sciences,2004,1,419
Higher Education and Research,2004,2,27
Industrial,2004,0,33
Manufacturing,2004,2,237
Media and Entertainment,2004,7,461
Restaurants and Quick-Service,2004,0,4
Retail and Consumer Packaged Goods,2004,4,245
Robotics,2004,9,22
Semiconductor,2004,5,232
Telecommunications,2004,3,417
"Architecture, Engineering, Construction, and Operations",2005,0,50
Automotive,2005,2,40
Energy,2005,0,93
Financial Services,2005,7,158
Government,2005,4,201
Healthcare and Life Sciences,2005,0,589
Higher Education and Research,2005,1,42
Industrial,2005,2,37
Manufacturing,2005,1,322
Media and Entertainment,2005,6,591
Restaurants and Quick-Service,2005,0,8
Retail and Consumer Packaged Goods,2005,4,367
Robotics,2005,3,19
Semiconductor,2005,2,287
Telecommunications,2005,6,528
"Architecture, Engineering, Construction, and Operations",2006,0,76
Automotive,2006,1,37
Energy,2006,0,152
Financial Services,2006,6,232
Government,2006,3,176
Healthcare and Life Sciences,2006,0,627
Higher Education and Research,2006,3,59
Industrial,2006,1,67
Manufacturing,2006,1,364
Media and Entertainment,2006,12,979
Restaurants and Quick-Service,2006,2,17
Retail and Consumer Packaged Goods,2006,1,498
Robotics,2006,5,27
Semiconductor,2006,2,304
Telecommunications,2006,2,615
"Architecture, Engineering, Construction, and Operations",2007,1,77
Automotive,2007,4,51
Energy,2007,1,233
Financial Services,2007,14,315
Government,2007,4,213
Healthcare and Life Sciences,2007,3,909
Higher Education and Research,2007,0,97
Industrial,2007,0,62
Manufacturing,2007,1,417
Media and Entertainment,2007,29,1378
Restaurants and Quick-Service,2007,1,19
Retail and Consumer Packaged Goods,2007,7,632
Robotics,2007,10,40
Semiconductor,2007,5,317
Telecommunications,2007,13,715
"Architecture, Engineering, Construction, and Operations",2008,3,102
Automotive,2008,1,80
Energy,2008,2,378
Financial Services,2008,7,349
Government,2008,7,230
Healthcare and Life Sciences,2008,4,772
Higher Education and Research,2008,3,152
Industrial,2008,2,67
Manufacturing,2008,2,419
Media and Entertainment,2008,31,1469
Restaurants and Quick-Service,2008,0,28
Retail and Consumer Packaged Goods,2008,13,729
Robotics,2008,4,30
Semiconductor,2008,1,277
Telecommunications,2008,20,719
"Architecture, Engineering, Construction, and Operations",2009,3,99
Automotive,2009,4,84
Energy,2009,3,304
Financial Services,2009,13,436
Government,2009,8,271
Healthcare and Life Sciences,2009,8,1282
Higher Education and Research,2009,3,162
Industrial,2009,1,74
Manufacturing,2009,2,483
Media and Entertainment,2009,36,1564
Restaurants and Quick-Service,2009,0,28
Retail and Consumer Packaged Goods,2009,15,850
Robotics,2009,9,41
Semiconductor,2009,3,362
Telecommunications,2009,13,774
"Architecture, Engineering, Construction, and Operations",2010,1,159
Automotive,2010,8,125
Energy,2010,4,444
Financial Services,2010,31,657
Government,2010,17,335
Healthcare and Life Sciences,2010,10,1735
Higher Education and Research,2010,6,228
Industrial,2010,1,113
Manufacturing,2010,2,664
Media and Entertainment,2010,69,2253
Restaurants and Quick-Service,2010,0,45
Retail and Consumer Packaged Goods,2010,28,1296
Robotics,2010,16,67
Semiconductor,2010,4,398
Telecommunications,2010,24,1117
"Architecture, Engineering, Construction, and Operations",2011,0,144
Automotive,2011,2,154
Energy,2011,5,468
Financial Services,2011,29,887
Government,2011,24,327
Healthcare and Life Sciences,2011,14,1847
Higher Education and Research,2011,5,369
Industrial,2011,2,125
Manufacturing,2011,3,675
Media and Entertainment,2011,72,2929
Restaurants and Quick-Service,2011,0,87
Retail and Consumer Packaged Goods,2011,35,1863
Robotics,2011,22,64
Semiconductor,2011,5,351
Telecommunications,2011,33,1479
"Architecture, Engineering, Construction, and Operations",2012,6,187
Automotive,2012,10,187
Energy,2012,16,488
Financial Services,2012,49,1109
Government,2012,23,500
Healthcare and Life Sciences,2012,42,2051
Higher Education and Research,2012,18,572
Industrial,2012,6,129
Manufacturing,2012,4,727
Media and Entertainment,2012,120,3839
Restaurants and Quick-Service,2012,0,136
Retail and Consumer Packaged Goods,2012,69,2506
Robotics,2012,54,144
Semiconductor,2012,8,416
Telecommunications,2012,65,1944
"Architecture, Engineering, Construction, and Operations",2013,3,282
Automotive,2013,15,301
Energy,2013,17,622
Financial Services,2013,105,1706
Government,2013,59,736
Healthcare and Life Sciences,2013,77,2659
Higher Education and Research,2013,29,858
Industrial,2013,13,189
Manufacturing,2013,14,939
Media and Entertainment,2013,190,4869
Restaurants and Quick-Service,2013,3,184
Retail and Consumer Packaged Goods,2013,107,3556
Robotics,2013,61,166
Semiconductor,2013,16,539
Telecommunications,2013,89,2457
"Architecture, Engineering, Construction, and Operations",2014,17,370
Automotive,2014,23,441
Energy,2014,21,821
Financial Services,2014,138,2506
Government,2014,76,896
Healthcare and Life Sciences,2014,120,3313
