industry,year,ai,all
"Architecture, Engineering, Construction, and Operations",2000,724,94250
Automotive,2000,327,21593
Energy,2000,3376,162511
Financial Services,2000,732,38909
Government,2000,234,72056
Healthcare and Life Sciences,2000,4398,1045456
Higher Education and Research,2000,10792,248128
Industrial,2000,1589,25158
Manufacturing,2000,2966,121062
Media and Entertainment,2000,3327,40160
Restaurants and Quick-Service,2000,2,3887
Retail and Consumer Packaged Goods,2000,319,11541
Robotics,2000,7821,30921
Semiconductor,2000,1467,79625
Telecommunications,2000,2306,33397
"Architecture, Engineering, Construction, and Operations",2001,795,98172
Automotive,2001,308,21724
Energy,2001,3976,170588
Financial Services,2001,803,43288
Government,2001,269,78856
Healthcare and Life Sciences,2001,4657,962685
Higher Education and Research,2001,12718,270750
Industrial,2001,2183,27730
Manufacturing,2001,3570,130778
Media and Entertainment,2001,3415,43325
Restaurants and Quick-Service,2001,4,4001
Retail and Consumer Packaged Goods,2001,352,12894
Robotics,2001,8309,33987
Semiconductor,2001,1519,83357
Telecommunications,2001,2828,37046
"Architecture, Engineering, Construction, and Operations",2002,1347,117208
Automotive,2002,730,31275
Energy,2002,5647,230549
Financial Services,2002,1365,49992
Government,2002,462,88891
Healthcare and Life Sciences,2002,10200,1080374
Higher Education and Research,2002,16755,309321
Industrial,2002,4119,40752
Manufacturing,2002,7179,178637
Media and Entertainment,2002,9238,76627
Restaurants and Quick-Service,2002,2,4978
Retail and Consumer Packaged Goods,2002,612,16376
Robotics,2002,22954,84344
Semiconductor,2002,4714,174666
Telecommunications,2002,7992,105265
"Architecture, Engineering, Construction, and Operations",2003,1160,124280
Automotive,2003,576,29325
Energy,2003,6081,227622
Financial Services,2003,1327,56751
Government,2003,464,97887
Healthcare and Life Sciences,2003,8346,1186222
Higher Education and Research,2003,17001,328928
Industrial,2003,3606,40208
Manufacturing,2003,6178,175620
Media and Entertainment,2003,6502,68437
Restaurants and Quick-Service,2003,4,5772
Retail and Consumer Packaged Goods,2003,595,18547
Robotics,2003,16539,64403
Semiconductor,2003,3472,137852
Telecommunications,2003,6231,81553
"Architecture, Engineering, Construction, and Operations",2004,1256,132407
Automotive,2004,602,30260
Energy,2004,6215,231541
Financial Services,2004,1385,59949
Government,2004,530,107664
Healthcare and Life Sciences,2004,8214,1280317
Higher Education and Research,2004,18327,355789
Industrial,2004,3824,43101
Manufacturing,2004,6274,185613
Media and Entertainment,2004,6277,71077
Restaurants and Quick-Service,2004,5,6519
Retail and Consumer Packaged Goods,2004,619,20947
Robotics,2004,15055,63290
Semiconductor,2004,2827,126375
Telecommunications,2004,6139,79853
"Architecture, Engineering, Construction, and Operations",2005,1463,147446
Automotive,2005,721,34295
Energy,2005,7331,260924
Financial Services,2005,1660,66910
Government,2005,718,120344
Healthcare and Life Sciences,2005,10105,1360858
Higher Education and Research,2005,19878,396346
Industrial,2005,4592,47962
Manufacturing,2005,7451,202964
Media and Entertainment,2005,7915,84774
Restaurants and Quick-Service,2005,6,7169
Retail and Consumer Packaged Goods,2005,702,24165
Robotics,2005,18455,74711
Semiconductor,2005,3507,145872
Telecommunications,2005,7547,99691
"Architecture, Engineering, Construction, and Operations",2006,1634,163187
Automotive,2006,811,37341
Energy,2006,8008,298401
Financial Services,2006,1924,72602
Government,2006,791,130526
Healthcare and Life Sciences,2006,11098,1498896
Higher Education and Research,2006,21912,440501
Industrial,2006,5072,53915
Manufacturing,2006,8264,225437
Media and Entertainment,2006,8097,92068
Restaurants and Quick-Service,2006,1,8001
Retail and Consumer Packaged Goods,2006,761,28097
Robotics,2006,20091,83900
Semiconductor,2006,3618,156693
Telecommunications,2006,8280,109585
"Architecture, Engineering, Construction, and Operations",2007,1762,170025
Automotive,2007,847,38896
Energy,2007,8125,304940
Financial Services,2007,2060,79208
Government,2007,809,141277
Healthcare and Life Sciences,2007,11422,1570196
Higher Education and Research,2007,24328,485684
Industrial,2007,5446,57064
Manufacturing,2007,8297,231215
Media and Entertainment,2007,8389,98628
Restaurants and Quick-Service,2007,3,8990
Retail and Consumer Packaged Goods,2007,849,31897
Robotics,2007,20631,85320
Semiconductor,2007,3883,152163
Telecommunications,2007,8457,111046
"Architecture, Engineering, Construction, and Operations",2008,1807,185418
Automotive,2008,951,43389
Energy,2008,8862,334515
Financial Services,2008,2310,88326
Government,2008,963,155894
Healthcare and Life Sciences,2008,12466,1719982
Higher Education and Research,2008,26802,541483
Industrial,2008,5740,62476
Manufacturing,2008,8568,244299
Media and Entertainment,2008,9658,111482
Restaurants and Quick-Service,2008,7,10108
Retail and Consumer Packaged Goods,2008,825,36144
Robotics,2008,23043,95947
Semiconductor,2008,4147,158288
Telecommunications,2008,9100,123851
"Architecture, Engineering, Construction, and Operations",2009,1933,200101
Automotive,2009,1021,47347
Energy,2009,9611,364386
Financial Services,2009,2470,99680
Government,2009,1049,169295
Healthcare and Life Sciences,2009,13202,1817590
Higher Education and Research,2009,27488,591336
Industrial,2009,5818,66815
Manufacturing,2009,9000,257980
Media and Entertainment,2009,9234,114998
Restaurants and Quick-Service,2009,8,10674
Retail and Consumer Packaged Goods,2009,901,40389
Robotics,2009,22308,98351
Semiconductor,2009,4220,159146
Telecommunications,2009,9519,126213
"Architecture, Engineering, Construction, and Operations",2010,2170,216601
Automotive,2010,1212,51956
Energy,2010,10620,401672
Financial Services,2010,2760,106697
Government,2010,1219,182452
Healthcare and Life Sciences,2010,14674,1951067
Higher Education and Research,2010,29829,649282
Industrial,2010,5827,72048
Manufacturing,2010,8864,275010
Media and Entertainment,2010,10265,125588
Restaurants and Quick-Service,2010,8,11791
Retail and Consumer Packaged Goods,2010,952,44920
Robotics,2010,23089,103618
Semiconductor,2010,4447,166859
Telecommunications,2010,9922,133431
"Architecture, Engineering, Construction, and Operations",2011,2150,234372
Automotive,2011,1249,56712
Energy,2011,10216,433442
Financial Services,2011,2898,121062
Government,2011,1233,199397
Healthcare and Life Sciences,2011,15305,2071417
Higher Education and Research,2011,31355,703195
Industrial,2011,5580,75931
Manufacturing,2011,8205,290454
Media and Entertainment,2011,10305,129057
Restaurants and Quick-Service,2011,0,12306
Retail and Consumer Packaged Goods,2011,895,49625
Robotics,2011,22502,104469
Semiconductor,2011,4583,175255
Telecommunications,2011,9662,136894
"Architecture, Engineering, Construction, and Operations",2012,2186,235253
Automotive,2012,1290,58341
Energy,2012,10664,448429
Financial Services,2012,3165,126409
Government,2012,1206,208474
Healthcare and Life Sciences,2012,16133,2178756
Higher Education and Research,2012,32234,749122
Industrial,2012,4831,71619
Manufacturing,2012,7353,278297
Media and Entertainment,2012,10711,132719
Restaurants and Quick-Service,2012,3,12113
Retail and Consumer Packaged Goods,2012,916,50809
Robotics,2012,21338,100693
Semiconductor,2012,4834,174166
Telecommunications,2012,9763,139591
"Architecture, Engineering, Construction, and Operations",2013,2236,246419
Automotive,2013,1459,62179
Energy,2013,10970,483372
Financial Services,2013,3282,135326
Government,2013,1301,219891
Healthcare and Life Sciences,2013,17537,2367654
Higher Education and Research,2013,34412,799901
Industrial,2013,4261,71881
Manufacturing,2013,6474,285193
Media and Entertainment,2013,11411,140295
Restaurants and Quick-Service,2013,4,12329
Retail and Consumer Packaged Goods,2013,981,54885
Robotics,2013,21611,102513
Semiconductor,2013,5071,180770
Telecommunications,2013,10039,144810
"Architecture, Engineering, Construction, and Operations",2014,2261,250949
Automotive,2014,1574,66285
Energy,2014,11110,505742
Financial Services,2014,3711,142054
Government,2014,1391,236142
Healthcare and Life Sciences,2014,18087,2414709
Higher Education and Research,2014,35168,841853
Industrial,2014,3584,68257
Manufacturing,2014,5717,282280
Media and Entertainment,2014,11670,143207
Restaurants and Quick-Service,2014,5,11514
Retail and Consumer Packaged Goods,2014,946,58472
Robotics,2014,20227,97343
Semiconductor,2014,5514,185810
Telecommunications,2014,9719,147936
"Architecture, Engineering, Construction, and Operations",2015,2151,249604
Automotive,2015,1791,66220
Energy,2015,10207,507652
Financial Services,2015,3710,149722
Government,2015,1398,245537
Healthcare and Life Sciences,2015,19218,2546803
Higher Education and Research,2015,37921,898505
Industrial,2015,2832,62899
Manufacturing,2015,5170,274329
Media and Entertainment,2015,12128,148394
Restaurants and Quick-Service,2015,3,10065
Retail and Consumer Packaged Goods,2015,992,60609
Robotics,2015,19287,91734
Semiconductor,2015,5404,182812
Telecommunications,2015,9181,145448
"Architecture, Engineering, Construction, and Operations",2016,2076,251343
Automotive,2016,1893,66458
Energy,2016,9982,528438
Financial Services,2016,3903,153555
Government,2016,1375,256325
