industry,year,ai,all
"Architecture, Engineering, Construction, and Operations",2000,15,4042
Automotive,2000,26,4329
Energy,2000,32,5192
Financial Services,2000,304,1535
Government,2000,26,240
Healthcare and Life Sciences,2000,127,19512
Higher Education and Research,2000,28,438
Industrial,2000,19,2097
Manufacturing,2000,273,30672
Media and Entertainment,2000,360,3691
Restaurants and Quick-Service,2000,1,71
Retail and Consumer Packaged Goods,2000,158,2711
Robotics,2000,272,1588
Semiconductor,2000,3754,14812
Telecommunications,2000,1133,9979
"Architecture, Engineering, Construction, and Operations",2001,32,4566
Automotive,2001,58,5314
Energy,2001,48,6452
Financial Services,2001,703,4171
Government,2001,35,311
Healthcare and Life Sciences,2001,300,24429
Higher Education and Research,2001,30,615
Industrial,2001,17,2450
Manufacturing,2001,360,35702
Media and Entertainment,2001,523,4787
Restaurants and Quick-Service,2001,0,91
Retail and Consumer Packaged Goods,2001,441,4789
Robotics,2001,329,1964
Semiconductor,2001,5947,19825
Telecommunications,2001,1942,13821
"Architecture, Engineering, Construction, and Operations",2002,40,4680
Automotive,2002,49,5457
Energy,2002,33,6796
Financial Services,2002,608,3743
Government,2002,34,307
Healthcare and Life Sciences,2002,323,25781
Higher Education and Research,2002,27,612
Industrial,2002,21,2496
Manufacturing,2002,362,37198
Media and Entertainment,2002,504,4851
Restaurants and Quick-Service,2002,2,113
Retail and Consumer Packaged Goods,2002,316,4424
Robotics,2002,406,2140
Semiconductor,2002,6141,21722
Telecommunications,2002,1926,15022
"Architecture, Engineering, Construction, and Operations",2003,34,5096
Automotive,2003,33,5894
Energy,2003,66,7758
Financial Services,2003,454,2667
Government,2003,30,337
Healthcare and Life Sciences,2003,355,27630
Higher Education and Research,2003,36,661
Industrial,2003,32,2893
Manufacturing,2003,304,40403
Media and Entertainment,2003,475,5065
Restaurants and Quick-Service,2003,1,119
Retail and Consumer Packaged Goods,2003,226,4048
Robotics,2003,492,2340
Semiconductor,2003,5764,22895
Telecommunications,2003,1820,14629
"Architecture, Engineering, Construction, and Operations",2004,33,5371
Automotive,2004,44,6313
Energy,2004,55,7566
Financial Services,2004,259,2174
Government,2004,15,307
Healthcare and Life Sciences,2004,232,27070
Higher Education and Research,2004,23,636
Industrial,2004,20,2762
Manufacturing,2004,259,40742
Media and Entertainment,2004,377,4956
Restaurants and Quick-Service,2004,0,84
Retail and Consumer Packaged Goods,2004,122,3665
Robotics,2004,500,2227
Semiconductor,2004,5635,22826
Telecommunications,2004,1391,13778
"Architecture, Engineering, Construction, and Operations",2005,58,6098
Automotive,2005,92,7211
Energy,2005,67,8698
Financial Services,2005,224,1907
Government,2005,15,269
Healthcare and Life Sciences,2005,306,29763
Higher Education and Research,2005,39,695
Industrial,2005,40,2844
Manufacturing,2005,398,45052
