geo,count,domain
Austria (AT),65012.0,Artificial Intelligence
Belgium (BE),8784744.0,Artificial Intelligence
Bermuda (BM),12000000.0,Artificial Intelligence
Brazil (BR),8640000.0,Artificial Intelligence
Bulgaria (BG),260461.0,Artificial Intelligence
Canada (CA),115726693.0,Artificial Intelligence
Chile (CL),3040000.0,Artificial Intelligence
China (CN),45374476.0,Artificial Intelligence
Cyprus (CY),100000.0,Artificial Intelligence
Denmark (DK),3763832.0,Artificial Intelligence
Finland (FI),1312306.0,Artificial Intelligence
France (FR),10351955.0,Artificial Intelligence
Germany (DE),20843062.0,Artificial Intelligence
Hong Kong (HK),1000000.0,Artificial Intelligence
India (IN),26120000.0,Artificial Intelligence
Ireland (IE),16141172.0,Artificial Intelligence
Israel (IL),53250000.0,Artificial Intelligence
Italy (IT),4535286.0,Artificial Intelligence
Japan (JP),2226910.0,Artificial Intelligence
Luxembourg (LU),122611.0,Artificial Intelligence
Mexico (MX),99322.0,Artificial Intelligence
Poland (PL),2500000.0,Artificial Intelligence
Portugal (PT),3047190.0,Artificial Intelligence
Romania (RO),2000000.0,Artificial Intelligence
Russian Federation (RU),250000.0,Artificial Intelligence
Saudi Arabia (SA),700000.0,Artificial Intelligence
Singapore (SG),3000000.0,Artificial Intelligence
Slovenia (SI),512446.0,Artificial Intelligence
South Korea (KR),705119.0,Artificial Intelligence
Spain (ES),15055808.0,Artificial Intelligence
Sweden (SE),1260000.0,Artificial Intelligence
Switzerland (CH),4906642.0,Artificial Intelligence
Taiwan (TW),9947502.0,Artificial Intelligence
The Netherlands (NL),2362000.0,Artificial Intelligence
United Kingdom (GB),50959147.0,Artificial Intelligence
United States (US),1531229162.0,Artificial Intelligence
