Public ID,Organization,Availability,System Name (click + for details),Processor (click + for details),Accelerator (click + for details),Benchmark,Model MLC,Scenario,Units,Division/Power,# of Accelerators,# of Nodes,Accelerator (click + for details),Availability,Host Processor Core Count,Processor (click + for details),Avg. Result at System Name,Sum of # of  Processors ,Sum of # of  Processors 
5.1-0001,AMD,available,Supermicro AS-8125GS-TNMR2,AMD EPYC 9575F,AMD Instinct MI300X 192GB HBM3,Inference,llama2-70b-99,Offline,Tokens/s,Closed ,8,1,AMD Instinct MI300X 192GB HBM3,available,64,AMD EPYC 9575F,27803.9,2,2
5.1-0001,AMD,available,Supermicro AS-8125GS-TNMR2,AMD EPYC 9575F,AMD Instinct MI300X 192GB HBM3,Inference,llama2-70b-99,Server,Tokens/s,Closed ,8,1,AMD Instinct MI300X 192GB HBM3,available,64,AMD EPYC 9575F,24593.77,2,2
5.1-0001,AMD,available,Supermicro AS-8125GS-TNMR2,AMD EPYC 9575F,AMD Instinct MI300X 192GB HBM3,Inference,llama2-70b-99,Interactive,Tokens/s,Closed ,8,1,AMD Instinct MI300X 192GB HBM3,available,64,AMD EPYC 9575F,8840.42,2,2
5.1-0001,AMD,available,Supermicro AS-8125GS-TNMR2,AMD EPYC 9575F,AMD Instinct MI300X 192GB HBM3,Inference,llama2-70b-99.9,Offline,Tokens/s,Closed ,8,1,AMD Instinct MI300X 192GB HBM3,available,64,AMD EPYC 9575F,27803.9,2,2
5.1-0001,AMD,available,Supermicro AS-8125GS-TNMR2,AMD EPYC 9575F,AMD Instinct MI300X 192GB HBM3,Inference,llama2-70b-99.9,Server,Tokens/s,Closed ,8,1,AMD Instinct MI300X 192GB HBM3,available,64,AMD EPYC 9575F,24593.77,2,2
5.1-0001,AMD,available,Supermicro AS-8125GS-TNMR2,AMD EPYC 9575F,AMD Instinct MI300X 192GB HBM3,Inference,llama2-70b-99.9,Interactive,Tokens/s,Closed ,8,1,AMD Instinct MI300X 192GB HBM3,available,64,AMD EPYC 9575F,8840.42,2,2
5.1-0001,AMD,available,Supermicro AS-8125GS-TNMR2,AMD EPYC 9575F,AMD Instinct MI300X 192GB HBM3,Inference,mixtral-8x7b,Offline,Tokens/s,Closed ,8,1,AMD Instinct MI300X 192GB HBM3,available,64,AMD EPYC 9575F,53017.3,2,2
5.1-0001,AMD,available,Supermicro AS-8125GS-TNMR2,AMD EPYC 9575F,AMD Instinct MI300X 192GB HBM3,Inference,mixtral-8x7b,Server,Tokens/s,Closed ,8,1,AMD Instinct MI300X 192GB HBM3,available,64,AMD EPYC 9575F,47804.3,2,2
5.1-0002,AMD,available,QuantaGrid D74A-7U,AMD EPYC 9575F,AMD Instinct MI325X 256GB HBM3e,Inference,llama2-70b-99,Offline,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,64,AMD EPYC 9575F,34520.4,2,2
5.1-0002,AMD,available,QuantaGrid D74A-7U,AMD EPYC 9575F,AMD Instinct MI325X 256GB HBM3e,Inference,llama2-70b-99,Server,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,64,AMD EPYC 9575F,32027.57,2,2
5.1-0002,AMD,available,QuantaGrid D74A-7U,AMD EPYC 9575F,AMD Instinct MI325X 256GB HBM3e,Inference,llama2-70b-99.9,Offline,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,64,AMD EPYC 9575F,34520.4,2,2
5.1-0002,AMD,available,QuantaGrid D74A-7U,AMD EPYC 9575F,AMD Instinct MI325X 256GB HBM3e,Inference,llama2-70b-99.9,Server,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,64,AMD EPYC 9575F,32027.57,2,2
5.1-0002,AMD,available,QuantaGrid D74A-7U,AMD EPYC 9575F,AMD Instinct MI325X 256GB HBM3e,Inference,mixtral-8x7b,Offline,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,64,AMD EPYC 9575F,68781.4,2,2
5.1-0002,AMD,available,QuantaGrid D74A-7U,AMD EPYC 9575F,AMD Instinct MI325X 256GB HBM3e,Inference,mixtral-8x7b,Server,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,64,AMD EPYC 9575F,59783.6,2,2
5.1-0003,AMD,available,QuantaGrid D74A-7U,AMD EPYC 9575F,AMD Instinct MI325X 256GB HBM3e,Inference,llama2-70b-99,Offline,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,64,AMD EPYC 9575F,34555,2,2
5.1-0003,AMD,available,QuantaGrid D74A-7U,AMD EPYC 9575F,AMD Instinct MI325X 256GB HBM3e,Inference,llama2-70b-99,Interactive,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,64,AMD EPYC 9575F,18407.2,2,2
5.1-0003,AMD,available,QuantaGrid D74A-7U,AMD EPYC 9575F,AMD Instinct MI325X 256GB HBM3e,Inference,llama2-70b-99.9,Offline,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,64,AMD EPYC 9575F,34555,2,2
5.1-0003,AMD,available,QuantaGrid D74A-7U,AMD EPYC 9575F,AMD Instinct MI325X 256GB HBM3e,Inference,llama2-70b-99.9,Interactive,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,64,AMD EPYC 9575F,18407.2,2,2
5.1-0004,AMD,available,Quanta S7PA,2xAMD EPYC 9655,AMD Instinct MI325X 256GB HBM3e,Inference,stable-diffusion-xl,Offline,Samples/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,0,2xAMD EPYC 9655,18.5856,2,2
