year,label,parent,count,color,id,parent_id
2022,Audio Classification,Audio,220,#40b880,Audio Classification_2022,Audio_2022
2022,Audio-to-Audio,Audio,130,#40b880,Audio-to-Audio_2022,Audio_2022
2022,Speech Recognition,Audio,5795,#40b880,Speech Recognition_2022,Audio_2022
2022,Text-to-Audio,Audio,12,#40b880,Text-to-Audio_2022,Audio_2022
2022,Text-to-Speech,Audio,231,#40b880,Text-to-Speech_2022,Audio_2022
2022,Voice Activity Detection,Audio,7,#40b880,Voice Activity Detection_2022,Audio_2022
2022,Depth Estimation,Computer Vision,6,#4078f8,Depth Estimation_2022,Computer Vision_2022
2022,Image Classification,Computer Vision,1543,#4078f8,Image Classification_2022,Computer Vision_2022
2022,Image Feature Extraction,Computer Vision,43,#4078f8,Image Feature Extraction_2022,Computer Vision_2022
2022,Image Segmentation,Computer Vision,104,#4078f8,Image Segmentation_2022,Computer Vision_2022
2022,Image-to-Image,Computer Vision,47,#4078f8,Image-to-Image_2022,Computer Vision_2022
2022,Image-to-Text,Computer Vision,298,#4078f8,Image-to-Text_2022,Computer Vision_2022
2022,Keypoint Detection,Computer Vision,7,#4078f8,Keypoint Detection_2022,Computer Vision_2022
2022,Object Detection,Computer Vision,110,#4078f8,Object Detection_2022,Computer Vision_2022
2022,Text-to-Image,Computer Vision,1453,#4078f8,Text-to-Image_2022,Computer Vision_2022
2022,Unconditional Image Generation,Computer Vision,341,#4078f8,Unconditional Image Generation_2022,Computer Vision_2022
2022,Video Classification,Computer Vision,56,#4078f8,Video Classification_2022,Computer Vision_2022
2022,Video-to-Video,Computer Vision,1,#4078f8,Video-to-Video_2022,Computer Vision_2022
2022,Zero-Shot Image Classification,Computer Vision,50,#4078f8,Zero-Shot Image Classification_2022,Computer Vision_2022
2022,Zero-Shot Object Detection,Computer Vision,3,#4078f8,Zero-Shot Object Detection_2022,Computer Vision_2022
2022,Document Question Answering,Multimodal,14,#b85818,Document Question Answering_2022,Multimodal_2022
2022,Image-Text-to-Text,Multimodal,1,#b85818,Image-Text-to-Text_2022,Multimodal_2022
2022,Visual Question Answering,Multimodal,8,#b85818,Visual Question Answering_2022,Multimodal_2022
2022,Feature Extraction,Natural Language Processing,2243,#e04040,Feature Extraction_2022,Natural Language Processing_2022
2022,Fill-Mask,Natural Language Processing,4899,#e04040,Fill-Mask_2022,Natural Language Processing_2022
2022,Multiple Choice,Natural Language Processing,138,#e04040,Multiple Choice_2022,Natural Language Processing_2022
2022,Question Answering,Natural Language Processing,2780,#e04040,Question Answering_2022,Natural Language Processing_2022
2022,Sentence Similarity,Natural Language Processing,1100,#e04040,Sentence Similarity_2022,Natural Language Processing_2022
2022,Summarization,Natural Language Processing,692,#e04040,Summarization_2022,Natural Language Processing_2022
2022,Table Question Answering,Natural Language Processing,45,#e04040,Table Question Answering_2022,Natural Language Processing_2022
2022,Table-to-Text,Natural Language Processing,1,#e04040,Table-to-Text_2022,Natural Language Processing_2022
2022,Text Classification,Natural Language Processing,12550,#e04040,Text Classification_2022,Natural Language Processing_2022
2022,Text Generation,Natural Language Processing,8833,#e04040,Text Generation_2022,Natural Language Processing_2022
2022,Text Ranking,Natural Language Processing,26,#e04040,Text Ranking_2022,Natural Language Processing_2022
2022,Token Classification,Natural Language Processing,5732,#e04040,Token Classification_2022,Natural Language Processing_2022
2022,Translation,Natural Language Processing,1808,#e04040,Translation_2022,Natural Language Processing_2022
2022,Zero-Shot Classification,Natural Language Processing,93,#e04040,Zero-Shot Classification_2022,Natural Language Processing_2022
2022,Other,Other,1,#8050f8,Other_2022,Other_2022
2022,Reinforcement Learning,Reinforcement Learning,5017,#f09808,Reinforcement Learning_2022,Reinforcement Learning_2022
2022,Robotics,Reinforcement Learning,1,#f09808,Robotics_2022,Reinforcement Learning_2022
2022,Tabular Classification,Tabular,79,#6058f8,Tabular Classification_2022,Tabular_2022
2022,Tabular Regression,Tabular,40,#6058f8,Tabular Regression_2022,Tabular_2022
2022,Time Series Forecasting,Tabular,3,#6058f8,Time Series Forecasting_2022,Tabular_2022
2023,Audio Classification,Audio,1224,#40b880,Audio Classification_2023,Audio_2023
2023,Audio-to-Audio,Audio,288,#40b880,Audio-to-Audio_2023,Audio_2023
2023,Speech Recognition,Audio,6904,#40b880,Speech Recognition_2023,Audio_2023
2023,Text-to-Audio,Audio,467,#40b880,Text-to-Audio_2023,Audio_2023
2023,Text-to-Speech,Audio,1490,#40b880,Text-to-Speech_2023,Audio_2023
2023,Voice Activity Detection,Audio,14,#40b880,Voice Activity Detection_2023,Audio_2023
2023,Depth Estimation,Computer Vision,47,#4078f8,Depth Estimation_2023,Computer Vision_2023
2023,Image Classification,Computer Vision,6895,#4078f8,Image Classification_2023,Computer Vision_2023
2023,Image Feature Extraction,Computer Vision,129,#4078f8,Image Feature Extraction_2023,Computer Vision_2023
2023,Image Segmentation,Computer Vision,282,#4078f8,Image Segmentation_2023,Computer Vision_2023
2023,Image-to-3D,Computer Vision,4,#4078f8,Image-to-3D_2023,Computer Vision_2023
2023,Image-to-Image,Computer Vision,225,#4078f8,Image-to-Image_2023,Computer Vision_2023
2023,Image-to-Text,Computer Vision,1815,#4078f8,Image-to-Text_2023,Computer Vision_2023
2023,Image-to-Video,Computer Vision,10,#4078f8,Image-to-Video_2023,Computer Vision_2023
2023,Keypoint Detection,Computer Vision,4,#4078f8,Keypoint Detection_2023,Computer Vision_2023
2023,Mask Generation,Computer Vision,30,#4078f8,Mask Generation_2023,Computer Vision_2023
2023,Object Detection,Computer Vision,1179,#4078f8,Object Detection_2023,Computer Vision_2023
2023,Text-to-3D,Computer Vision,10,#4078f8,Text-to-3D_2023,Computer Vision_2023
2023,Text-to-Image,Computer Vision,15415,#4078f8,Text-to-Image_2023,Computer Vision_2023
2023,Text-to-Video,Computer Vision,74,#4078f8,Text-to-Video_2023,Computer Vision_2023
2023,Unconditional Image Generation,Computer Vision,636,#4078f8,Unconditional Image Generation_2023,Computer Vision_2023
2023,Video Classification,Computer Vision,430,#4078f8,Video Classification_2023,Computer Vision_2023
2023,Video-to-Video,Computer Vision,2,#4078f8,Video-to-Video_2023,Computer Vision_2023
2023,Zero-Shot Image Classification,Computer Vision,211,#4078f8,Zero-Shot Image Classification_2023,Computer Vision_2023
2023,Zero-Shot Object Detection,Computer Vision,13,#4078f8,Zero-Shot Object Detection_2023,Computer Vision_2023
2023,Any-to-Any,Multimodal,8,#b85818,Any-to-Any_2023,Multimodal_2023
2023,Document Question Answering,Multimodal,117,#b85818,Document Question Answering_2023,Multimodal_2023
2023,Image-Text-to-Text,Multimodal,43,#b85818,Image-Text-to-Text_2023,Multimodal_2023
2023,Video-Text-to-Text,Multimodal,3,#b85818,Video-Text-to-Text_2023,Multimodal_2023
2023,Visual Question Answering,Multimodal,94,#b85818,Visual Question Answering_2023,Multimodal_2023
2023,Feature Extraction,Natural Language Processing,3211,#e04040,Feature Extraction_2023,Natural Language Processing_2023
2023,Fill-Mask,Natural Language Processing,4922,#e04040,Fill-Mask_2023,Natural Language Processing_2023
2023,Multiple Choice,Natural Language Processing,608,#e04040,Multiple Choice_2023,Natural Language Processing_2023
2023,Question Answering,Natural Language Processing,5256,#e04040,Question Answering_2023,Natural Language Processing_2023
2023,Sentence Similarity,Natural Language Processing,1630,#e04040,Sentence Similarity_2023,Natural Language Processing_2023
2023,Summarization,Natural Language Processing,742,#e04040,Summarization_2023,Natural Language Processing_2023
2023,Table Question Answering,Natural Language Processing,36,#e04040,Table Question Answering_2023,Natural Language Processing_2023
2023,Table-to-Text,Natural Language Processing,1,#e04040,Table-to-Text_2023,Natural Language Processing_2023
2023,Text Classification,Natural Language Processing,30358,#e04040,Text Classification_2023,Natural Language Processing_2023
2023,Text Generation,Natural Language Processing,32512,#e04040,Text Generation_2023,Natural Language Processing_2023
2023,Text Ranking,Natural Language Processing,23,#e04040,Text Ranking_2023,Natural Language Processing_2023
2023,Token Classification,Natural Language Processing,8068,#e04040,Token Classification_2023,Natural Language Processing_2023
2023,Translation,Natural Language Processing,1255,#e04040,Translation_2023,Natural Language Processing_2023
2023,Zero-Shot Classification,Natural Language Processing,106,#e04040,Zero-Shot Classification_2023,Natural Language Processing_2023
2023,Graph Machine Learning,Other,21,#8050f8,Graph Machine Learning_2023,Other_2023
2023,Other,Other,13,#8050f8,Other_2023,Other_2023
2023,Reinforcement Learning,Reinforcement Learning,29159,#f09808,Reinforcement Learning_2023,Reinforcement Learning_2023
2023,Robotics,Reinforcement Learning,13,#f09808,Robotics_2023,Reinforcement Learning_2023
2023,Tabular Classification,Tabular,80,#6058f8,Tabular Classification_2023,Tabular_2023
2023,Tabular Regression,Tabular,48,#6058f8,Tabular Regression_2023,Tabular_2023
2023,Time Series Forecasting,Tabular,2,#6058f8,Time Series Forecasting_2023,Tabular_2023
2024,Audio Classification,Audio,1365,#40b880,Audio Classification_2024,Audio_2024
2024,Audio-to-Audio,Audio,267,#40b880,Audio-to-Audio_2024,Audio_2024
2024,Speech Recognition,Audio,8057,#40b880,Speech Recognition_2024,Audio_2024
2024,Text-to-Audio,Audio,1098,#40b880,Text-to-Audio_2024,Audio_2024
2024,Text-to-Speech,Audio,546,#40b880,Text-to-Speech_2024,Audio_2024
2024,Voice Activity Detection,Audio,23,#40b880,Voice Activity Detection_2024,Audio_2024
2024,Depth Estimation,Computer Vision,120,#4078f8,Depth Estimation_2024,Computer Vision_2024
2024,Image Classification,Computer Vision,6664,#4078f8,Image Classification_2024,Computer Vision_2024
2024,Image Feature Extraction,Computer Vision,363,#4078f8,Image Feature Extraction_2024,Computer Vision_2024
2024,Image Segmentation,Computer Vision,708,#4078f8,Image Segmentation_2024,Computer Vision_2024
2024,Image-to-3D,Computer Vision,152,#4078f8,Image-to-3D_2024,Computer Vision_2024
2024,Image-to-Image,Computer Vision,495,#4078f8,Image-to-Image_2024,Computer Vision_2024
2024,Image-to-Text,Computer Vision,3114,#4078f8,Image-to-Text_2024,Computer Vision_2024
2024,Image-to-Video,Computer Vision,56,#4078f8,Image-to-Video_2024,Computer Vision_2024
2024,Keypoint Detection,Computer Vision,29,#4078f8,Keypoint Detection_2024,Computer Vision_2024
2024,Mask Generation,Computer Vision,84,#4078f8,Mask Generation_2024,Computer Vision_2024
2024,Object Detection,Computer Vision,1577,#4078f8,Object Detection_2024,Computer Vision_2024
2024,Text-to-3D,Computer Vision,33,#4078f8,Text-to-3D_2024,Computer Vision_2024
2024,Text-to-Image,Computer Vision,33140,#4078f8,Text-to-Image_2024,Computer Vision_2024
2024,Text-to-Video,Computer Vision,122,#4078f8,Text-to-Video_2024,Computer Vision_2024
2024,Unconditional Image Generation,Computer Vision,725,#4078f8,Unconditional Image Generation_2024,Computer Vision_2024
2024,Video Classification,Computer Vision,797,#4078f8,Video Classification_2024,Computer Vision_2024
2024,Video-to-Video,Computer Vision,10,#4078f8,Video-to-Video_2024,Computer Vision_2024
2024,Zero-Shot Image Classification,Computer Vision,431,#4078f8,Zero-Shot Image Classification_2024,Computer Vision_2024
2024,Zero-Shot Object Detection,Computer Vision,21,#4078f8,Zero-Shot Object Detection_2024,Computer Vision_2024
2024,Any-to-Any,Multimodal,3820,#b85818,Any-to-Any_2024,Multimodal_2024
2024,Audio-Text-to-Text,Multimodal,33,#b85818,Audio-Text-to-Text_2024,Multimodal_2024
2024,Document Question Answering,Multimodal,76,#b85818,Document Question Answering_2024,Multimodal_2024
2024,Image-Text-to-Text,Multimodal,1160,#b85818,Image-Text-to-Text_2024,Multimodal_2024
2024,Video-Text-to-Text,Multimodal,58,#b85818,Video-Text-to-Text_2024,Multimodal_2024
2024,Visual Document Retrieval,Multimodal,21,#b85818,Visual Document Retrieval_2024,Multimodal_2024
2024,Visual Question Answering,Multimodal,278,#b85818,Visual Question Answering_2024,Multimodal_2024
2024,Feature Extraction,Natural Language Processing,4033,#e04040,Feature Extraction_2024,Natural Language Processing_2024
2024,Fill-Mask,Natural Language Processing,3558,#e04040,Fill-Mask_2024,Natural Language Processing_2024
2024,Multiple Choice,Natural Language Processing,531,#e04040,Multiple Choice_2024,Natural Language Processing_2024
2024,Question Answering,Natural Language Processing,3450,#e04040,Question Answering_2024,Natural Language Processing_2024
2024,Sentence Similarity,Natural Language Processing,4563,#e04040,Sentence Similarity_2024,Natural Language Processing_2024
2024,Summarization,Natural Language Processing,680,#e04040,Summarization_2024,Natural Language Processing_2024
2024,Table Question Answering,Natural Language Processing,54,#e04040,Table Question Answering_2024,Natural Language Processing_2024
2024,Text Classification,Natural Language Processing,33032,#e04040,Text Classification_2024,Natural Language Processing_2024
2024,Text Generation,Natural Language Processing,117551,#e04040,Text Generation_2024,Natural Language Processing_2024
2024,Text Ranking,Natural Language Processing,111,#e04040,Text Ranking_2024,Natural Language Processing_2024
2024,Text Retrieval,Natural Language Processing,1,#e04040,Text Retrieval_2024,Natural Language Processing_2024
2024,Token Classification,Natural Language Processing,6587,#e04040,Token Classification_2024,Natural Language Processing_2024
2024,Translation,Natural Language Processing,2010,#e04040,Translation_2024,Natural Language Processing_2024
2024,Zero-Shot Classification,Natural Language Processing,137,#e04040,Zero-Shot Classification_2024,Natural Language Processing_2024
2024,Graph Machine Learning,Other,32,#8050f8,Graph Machine Learning_2024,Other_2024
2024,Other,Other,12,#8050f8,Other_2024,Other_2024
2024,Reinforcement Learning,Reinforcement Learning,16731,#f09808,Reinforcement Learning_2024,Reinforcement Learning_2024
2024,Robotics,Reinforcement Learning,243,#f09808,Robotics_2024,Reinforcement Learning_2024
