Region,Metric,AI Index,aif_group_label
Inner London (UKI1),Publications,65.04106776180699,No match
Inner London (UKI1),Investments,100.0,No match
Inner London (UKI1),Patents,74.75728155339806,No match
Île de France (FR10),Publications,100.0,NUTS-2 match
Île de France (FR10),Patents,80.30513176144244,NUTS-2 match
Île de France (FR10),Investments,51.029053421686754,NUTS-2 match
Oberbayern (DE21),Publications,30.27957668614753,Country match
Oberbayern (DE21),Investments,30.293767060681247,Country match
Oberbayern (DE21),Patents,100.0,Country match
Noord-Brabant (NL41),Investments,1.7910330639335978,Country match
Noord-Brabant (NL41),Patents,89.04299583911235,Country match
Noord-Brabant (NL41),Publications,9.208655820565472,Country match
Stockholm (SE11),Patents,67.12898751733704,Country match
Stockholm (SE11),Publications,14.930500710788186,Country match
Stockholm (SE11),Investments,10.493338779359467,Country match
Stuttgart (DE11),Publications,10.184015163481282,NUTS-2 match
Stuttgart (DE11),Investments,0.5655714585940489,NUTS-2 match
Stuttgart (DE11),Patents,54.50762829403606,NUTS-2 match
Berlin (DE30),Publications,21.217027325856893,Country match
Berlin (DE30),Investments,22.564674203468748,Country match
Berlin (DE30),Patents,20.943134535367545,Country match
Karlsruhe (DE12),Investments,8.940763188434502,Country match
Karlsruhe (DE12),Patents,35.64493758668516,Country match
Karlsruhe (DE12),Publications,17.058916442900017,Country match
Zürich (CH04),Publications,23.167746011688518,No match
Zürich (CH04),Investments,8.009076866852766,No match
Zürich (CH04),Patents,27.600554785020805,No match
"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)",Publications,24.202337703364396,No match
"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)",Investments,7.843088192848531,No match
"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)",Patents,24.826629680998614,No match
Helsinki-Uusimaa (FI1B),Patents,29.126213592233007,Country match
Helsinki-Uusimaa (FI1B),Publications,14.124940767651239,Country match
Helsinki-Uusimaa (FI1B),Investments,6.27977561338571,Country match
East Anglia (UKH1),Publications,22.018638445743168,No match
East Anglia (UKH1),Investments,6.318059908401974,No match
East Anglia (UKH1),Patents,20.388349514563107,No match
Comunidad de Madrid (ES30),Patents,11.373092926490985,Country match
Comunidad de Madrid (ES30),Investments,6.415985002987913,Country match
Comunidad de Madrid (ES30),Publications,28.90933501816459,Country match
Southern and Eastern (IE02),Publications,16.510030011056706,No match
Southern and Eastern (IE02),Investments,10.099042258272972,No match
Southern and Eastern (IE02),Patents,16.50485436893204,No match
Köln (DEA2),Investments,1.6675694430005112,NUTS-2 match
Köln (DEA2),Publications,23.27041541620597,NUTS-2 match
Köln (DEA2),Patents,17.337031900138697,NUTS-2 match
Lombardia (ITC4),Publications,26.70194282103933,Country match
Lombardia (ITC4),Patents,11.234396671289876,Country match
Lombardia (ITC4),Investments,3.84506361078346,Country match
Rhône-Alpes (FR71),Investments,2.030841470948634,Country match
Rhône-Alpes (FR71),Patents,14.840499306518723,Country match
Rhône-Alpes (FR71),Publications,24.624861791186227,Country match
Darmstadt (DE71),Publications,12.762596746169642,Country match
Darmstadt (DE71),Patents,22.191400832177532,Country match
Darmstadt (DE71),Investments,0.9494951559618067,Country match
Région lémanique (CH01),Publications,18.539725161901753,No match
Région lémanique (CH01),Patents,14.840499306518723,No match
Région lémanique (CH01),Investments,1.6350060598200624,No match
Mittelfranken (DE25),Publications,6.586637182119729,Country match
Mittelfranken (DE25),Investments,0.8261020185420976,Country match
Mittelfranken (DE25),Patents,27.461858529819693,Country match
