model,timestamp,money
gpt-5,0,10304.975418
grok-4,0,9858.732055
gemini-2.5-pro,0,10367.248771
qwen3-max,0,9479.400588
deepseek-chat-v3.1,0,9973.90011
claude-sonnet-4-5,0,9911.609547
buynhold_btc,0,9972.2996
gpt-5,1,10879.06785
gemini-2.5-pro,1,11061.194745
grok-4,1,9490.327173
deepseek-chat-v3.1,1,9594.649812
qwen3-max,1,9272.015218
claude-sonnet-4-5,1,9883.4061
buynhold_btc,1,9983.24495
gpt-5,2,10572.460904
gemini-2.5-pro,2,10645.485798
grok-4,2,9773.316915
qwen3-max,2,9450.507598
deepseek-chat-v3.1,2,9864.880284
claude-sonnet-4-5,2,9969.073167
buynhold_btc,2,10029.5522
gpt-5,3,9902.755727
gemini-2.5-pro,3,10040.435023
grok-4,3,10147.054402
qwen3-max,3,9598.198257
deepseek-chat-v3.1,3,10310.36476
claude-sonnet-4-5,3,10090.903949
buynhold_btc,3,9984.274
gpt-5,4,10300.992444
gemini-2.5-pro,4,10414.080284
grok-4,4,9749.901158
qwen3-max,4,9358.251979
deepseek-chat-v3.1,4,10109.505272
claude-sonnet-4-5,4,10030.036234
buynhold_btc,4,10005.50985
gpt-5,5,9912.506432
gemini-2.5-pro,5,10002.402444
deepseek-chat-v3.1,5,10287.223385
grok-4,5,9930.529372
qwen3-max,5,9452.263067
claude-sonnet-4-5,5,10064.684715
buynhold_btc,5,9967.435
gpt-5,6,10470.290175
grok-4,6,9614.021098
gemini-2.5-pro,6,10553.037726
qwen3-max,6,9292.397427
deepseek-chat-v3.1,6,10015.817612
claude-sonnet-4-5,6,10018.821212
buynhold_btc,6,9969.58665
gpt-5,7,10032.693794
gemini-2.5-pro,7,10097.650627
grok-4,7,9916.668335
deepseek-chat-v3.1,7,10287.146805
qwen3-max,7,9439.209802
claude-sonnet-4-5,7,10122.120891
buynhold_btc,7,9983.1514
gpt-5,8,9548.080734
grok-4,8,10218.026463
gemini-2.5-pro,8,9526.402524
deepseek-chat-v3.1,8,10873.198688
qwen3-max,8,9514.302105
claude-sonnet-4-5,8,10255.813751
buynhold_btc,8,10025.436
gpt-5,9,9451.432059
grok-4,9,10332.558263
gemini-2.5-pro,9,9249.480569
deepseek-chat-v3.1,9,10992.049956
qwen3-max,9,9366.315277
claude-sonnet-4-5,9,10184.020293
buynhold_btc,9,9983.43205
gpt-5,10,9569.396505
gemini-2.5-pro,10,9460.802889
grok-4,10,10172.157721
qwen3-max,10,9358.688284
deepseek-chat-v3.1,10,10725.751722
claude-sonnet-4-5,10,10127.81374
buynhold_btc,10,9985.11595
gpt-5,11,9489.200051
gemini-2.5-pro,11,9312.39961
grok-4,11,10253.773623
qwen3-max,11,9450.500389
deepseek-chat-v3.1,11,10753.675888
claude-sonnet-4-5,11,10140.840405
buynhold_btc,11,10013.36805
grok-4,12,10131.707703
gpt-5,12,9584.048258
gemini-2.5-pro,12,9427.060332
qwen3-max,12,9441.992307
deepseek-chat-v3.1,12,10681.947216
claude-sonnet-4-5,12,10143.396043
buynhold_btc,12,10005.182425
gpt-5,13,9350.933358
grok-4,13,10250.874356
gemini-2.5-pro,13,9166.037623
qwen3-max,13,9541.722641
deepseek-chat-v3.1,13,10961.457491
claude-sonnet-4-5,13,10215.573469
buynhold_btc,13,10008.7841
gpt-5,14,9379.643485
gemini-2.5-pro,14,9280.612821
grok-4,14,10076.25527
qwen3-max,14,9492.733778
deepseek-chat-v3.1,14,10768.752892
claude-sonnet-4-5,14,10126.315525
buynhold_btc,14,9990.72895
gpt-5,15,9782.662992
grok-4,15,9892.518888
gemini-2.5-pro,15,9571.20555
qwen3-max,15,9460.465872
deepseek-chat-v3.1,15,10581.676266
claude-sonnet-4-5,15,10056.108763
buynhold_btc,15,10011.2164
gpt-5,16,9632.31522
gemini-2.5-pro,16,9419.690429
grok-4,16,10140.157186
deepseek-chat-v3.1,16,10756.886753
qwen3-max,16,9566.357218
claude-sonnet-4-5,16,10077.285963
buynhold_btc,16,9991.66445
gpt-5,17,9743.865009
grok-4,17,10099.418106
gemini-2.5-pro,17,9570.586021
qwen3-max,17,9512.088999
deepseek-chat-v3.1,17,10622.918856
claude-sonnet-4-5,17,10008.52159
buynhold_btc,17,9970.8028
gpt-5,18,9975.506847
grok-4,18,9876.483944
gemini-2.5-pro,18,9831.694244
deepseek-chat-v3.1,18,10340.793502
qwen3-max,18,9338.142347
claude-sonnet-4-5,18,10015.16533
buynhold_btc,18,9993.53545
gpt-5,19,9481.813577
gemini-2.5-pro,19,9243.742384
grok-4,19,10343.432624
qwen3-max,19,9467.794513
deepseek-chat-v3.1,19,11012.263802
claude-sonnet-4-5,19,10101.88945
buynhold_btc,19,9992.8806
gpt-5,20,9479.899745
grok-4,20,10285.401657
gemini-2.5-pro,20,9354.900776
qwen3-max,20,9441.246871
deepseek-chat-v3.1,20,10910.481912
claude-sonnet-4-5,20,10086.854276
buynhold_btc,20,10001.6743
gpt-5,21,9337.355019
gemini-2.5-pro,21,9153.927356
grok-4,21,10409.828395
qwen3-max,21,9526.457953
deepseek-chat-v3.1,21,10940.586495
claude-sonnet-4-5,21,10127.620116
buynhold_btc,21,10023.84565
gpt-5,22,9330.079047
gemini-2.5-pro,22,9304.149101
grok-4,22,10379.132885
qwen3-max,22,9506.069349
deepseek-chat-v3.1,22,10937.518673
claude-sonnet-4-5,22,10034.640401
buynhold_btc,22,10020.29075
gpt-5,23,9356.386804
deepseek-chat-v3.1,23,10929.779239
gemini-2.5-pro,23,9252.100828
grok-4,23,10465.222689
qwen3-max,23,9579.399876
claude-sonnet-4-5,23,10093.489184
buynhold_btc,23,10024.453725
gpt-5,24,9407.583155
grok-4,24,10389.314833
gemini-2.5-pro,24,9331.476958
qwen3-max,24,9544.050689
deepseek-chat-v3.1,24,10940.858317
claude-sonnet-4-5,24,10089.861765
buynhold_btc,24,10016.36165
gpt-5,25,9360.831615
gemini-2.5-pro,25,9207.664684
grok-4,25,10515.171968
qwen3-max,25,9592.741199
deepseek-chat-v3.1,25,10907.022861
claude-sonnet-4-5,25,10045.410303
buynhold_btc,25,10001.3001
gpt-5,26,9856.951615
gemini-2.5-pro,26,9738.780284
grok-4,26,10073.781467
qwen3-max,26,9437.713266
deepseek-chat-v3.1,26,10429.33203
claude-sonnet-4-5,26,9957.618814
buynhold_btc,26,9998.02585
gpt-5,27,9778.525159
grok-4,27,10191.07675
gemini-2.5-pro,27,9625.491126
