Date,Close,Date,Close
2/1/2025 16:00:00,244.79,2/1/2025 16:00:00,189.47
3/1/2025 16:00:00,251.88,3/1/2025 16:00:00,193.85
6/1/2025 16:00:00,260.23,6/1/2025 16:00:00,194.52
7/1/2025 16:00:00,254.04,7/1/2025 16:00:00,190.37
8/1/2025 16:00:00,252.23,8/1/2025 16:00:00,187.93
10/1/2025 16:00:00,247.18,10/1/2025 16:00:00,183.75
13/1/2025 16:00:00,244.64,13/1/2025 16:00:00,182.25
14/1/2025 16:00:00,245.44,14/1/2025 16:00:00,184.75
15/1/2025 16:00:00,251.21,15/1/2025 16:00:00,189.38
16/1/2025 16:00:00,252.29,16/1/2025 16:00:00,189.54
17/1/2025 16:00:00,258.25,17/1/2025 16:00:00,189.82
21/1/2025 16:00:00,262.39,21/1/2025 16:00:00,193.08
22/1/2025 16:00:00,267.17,22/1/2025 16:00:00,193.23
23/1/2025 16:00:00,266.85,23/1/2025 16:00:00,193.87
24/1/2025 16:00:00,261.53,24/1/2025 16:00:00,193.76
27/1/2025 16:00:00,235.81,27/1/2025 16:00:00,190.89
28/1/2025 16:00:00,240.45,28/1/2025 16:00:00,196.49
29/1/2025 16:00:00,239.53,29/1/2025 16:00:00,193.92
30/1/2025 16:00:00,245.17,30/1/2025 16:00:00,194.62
31/1/2025 16:00:00,243.62,31/1/2025 16:00:00,194.36
3/2/2025 16:00:00,238.78,3/2/2025 16:00:00,193.57
4/2/2025 16:00:00,241.47,4/2/2025 16:00:00,196.2
5/2/2025 16:00:00,247.14,5/2/2025 16:00:00,197.94
6/2/2025 16:00:00,248.35,6/2/2025 16:00:00,196.85
7/2/2025 16:00:00,245,7/2/2025 16:00:00,195.26
10/2/2025 16:00:00,249.62,10/2/2025 16:00:00,197.42
11/2/2025 16:00:00,249.87,11/2/2025 16:00:00,194.47
12/2/2025 16:00:00,248.51,12/2/2025 16:00:00,194.17
13/2/2025 16:00:00,251.92,13/2/2025 16:00:00,197.17
14/2/2025 16:00:00,252.58,14/2/2025 16:00:00,195.44
