author,likes,downloads,repo_count,date
Hugging Face,58,548380,100,2025-02-26
IPEC-COMMUNITY,4,184338,38,2025-02-26
physical-intelligence,5,6966,2,2025-02-26
yaak-ai,1,690,1,2025-02-26
Hugging Face,59,587599,100,2025-03-05
IPEC-COMMUNITY,5,313909,39,2025-03-05
physical-intelligence,5,8058,2,2025-03-05
yaak-ai,5,1445,2,2025-03-05
Hugging Face,59,605272,100,2025-03-12
IPEC-COMMUNITY,5,375923,39,2025-03-12
NVIDIA,4,106,3,2025-03-12
physical-intelligence,5,9645,2,2025-03-12
yaak-ai,26,2318,2,2025-03-12
Hugging Face,59,618805,100,2025-03-19
IPEC-COMMUNITY,5,494663,39,2025-03-19
NVIDIA,13,6472,3,2025-03-19
physical-intelligence,5,10733,2,2025-03-19
yaak-ai,33,3066,2,2025-03-19
Hugging Face,60,628000,100,2025-03-26
IPEC-COMMUNITY,5,587221,39,2025-03-26
NVIDIA,19,9532,3,2025-03-26
physical-intelligence,5,11859,2,2025-03-26
yaak-ai,33,3476,2,2025-03-26
Hugging Face,62,644565,100,2025-04-02
IPEC-COMMUNITY,5,801236,39,2025-04-02
NVIDIA,21,12501,3,2025-04-02
physical-intelligence,5,12705,2,2025-04-02
yaak-ai,33,3910,2,2025-04-02
Hugging Face,65,666420,100,2025-04-09
IPEC-COMMUNITY,6,1347335,39,2025-04-09
NVIDIA,25,21810,3,2025-04-09
physical-intelligence,5,14626,2,2025-04-09
yaak-ai,34,4450,2,2025-04-09
Hugging Face,69,706731,100,2025-04-16
IPEC-COMMUNITY,6,1704482,39,2025-04-16
NVIDIA,26,26622,3,2025-04-16
physical-intelligence,5,15883,2,2025-04-16
yaak-ai,34,4983,2,2025-04-16
Hugging Face,72,726487,100,2025-04-23
IPEC-COMMUNITY,8,1928333,39,2025-04-23
NVIDIA,27,32516,3,2025-04-23
physical-intelligence,5,17260,2,2025-04-23
yaak-ai,34,5332,2,2025-04-23
Hugging Face,74,734547,100,2025-04-30
IPEC-COMMUNITY,8,2077333,39,2025-04-30
NVIDIA,28,35719,3,2025-04-30
physical-intelligence,5,17622,2,2025-04-30
yaak-ai,34,5642,2,2025-04-30
Hugging Face,77,780640,100,2025-05-07
IPEC-COMMUNITY,9,2450382,39,2025-05-07
NVIDIA,29,50634,3,2025-05-07
physical-intelligence,9,18391,2,2025-05-07
yaak-ai,34,5895,2,2025-05-07
Hugging Face,77,799199,100,2025-05-14
IPEC-COMMUNITY,10,2923720,39,2025-05-14
NVIDIA,169,1509437,6,2025-05-14
physical-intelligence,9,20311,2,2025-05-14
yaak-ai,37,6277,2,2025-05-14
Hugging Face,79,830815,100,2025-05-21
IPEC-COMMUNITY,12,3151801,39,2025-05-21
NVIDIA,176,1805372,6,2025-05-21
physical-intelligence,10,21650,2,2025-05-21
yaak-ai,38,8946,2,2025-05-21
Hugging Face,81,857806,104,2025-05-28
IPEC-COMMUNITY,12,3257633,39,2025-05-28
NVIDIA,179,2038632,6,2025-05-28
physical-intelligence,12,22692,2,2025-05-28
yaak-ai,39,9434,2,2025-05-28
Ai2,2,180,1,2025-06-04
Hugging Face,87,973252,104,2025-06-04
IPEC-COMMUNITY,12,3360842,39,2025-06-04
NVIDIA,182,2155698,6,2025-06-04
physical-intelligence,12,24906,2,2025-06-04
yaak-ai,40,12253,2,2025-06-04
Ai2,2,368,1,2025-06-11
Hugging Face,92,1144832,104,2025-06-11
IPEC-COMMUNITY,12,3420845,39,2025-06-11
NVIDIA,194,2191397,9,2025-06-11
