author,likes,downloads,repo_count,date
Hugging Face,192,17489,4,2025-02-26
physical-intelligence,82,0,1,2025-02-26
Hugging Face,212,21624,4,2025-03-05
physical-intelligence,85,0,1,2025-03-05
Hugging Face,233,24663,5,2025-03-12
NVIDIA,24,112,1,2025-03-12
physical-intelligence,86,0,1,2025-03-12
Hugging Face,253,31167,5,2025-03-19
NVIDIA,222,1242,1,2025-03-19
physical-intelligence,89,0,1,2025-03-19
Hugging Face,266,35774,6,2025-03-26
NVIDIA,253,2038,1,2025-03-26
physical-intelligence,90,0,1,2025-03-26
Hugging Face,280,39031,6,2025-04-02
NVIDIA,260,2724,1,2025-04-02
physical-intelligence,92,0,1,2025-04-02
Hugging Face,295,43444,6,2025-04-09
NVIDIA,271,3763,1,2025-04-09
physical-intelligence,93,0,1,2025-04-09
Hugging Face,307,47125,6,2025-04-16
NVIDIA,279,4626,1,2025-04-16
physical-intelligence,96,0,1,2025-04-16
Hugging Face,313,52824,6,2025-04-23
NVIDIA,287,5596,1,2025-04-23
physical-intelligence,99,0,1,2025-04-23
Hugging Face,323,54178,6,2025-04-30
NVIDIA,288,5963,1,2025-04-30
physical-intelligence,102,0,1,2025-04-30
Hugging Face,328,59338,6,2025-05-07
NVIDIA,296,7510,1,2025-05-07
physical-intelligence,105,0,1,2025-05-07
Hugging Face,335,60270,6,2025-05-14
NVIDIA,303,8051,1,2025-05-14
physical-intelligence,105,0,1,2025-05-14
Hugging Face,340,66064,6,2025-05-21
NVIDIA,310,10811,1,2025-05-21
physical-intelligence,108,0,1,2025-05-21
Hugging Face,378,69879,7,2025-05-28
NVIDIA,313,12114,1,2025-05-28
physical-intelligence,111,0,1,2025-05-28
Hugging Face,378,69879,7,2025-06-04
NVIDIA,313,12114,1,2025-06-04
physical-intelligence,111,0,1,2025-06-04
Hugging Face,378,69879,7,2025-06-11
NVIDIA,313,12114,1,2025-06-11
physical-intelligence,111,0,1,2025-06-11
Hugging Face,378,69879,7,2025-06-18
NVIDIA,313,12114,1,2025-06-18
physical-intelligence,111,0,1,2025-06-18
Hugging Face,378,69879,7,2025-06-25
NVIDIA,313,12114,1,2025-06-25
physical-intelligence,111,0,1,2025-06-25
Hugging Face,378,69879,7,2025-07-02
NVIDIA,313,12114,1,2025-07-02
physical-intelligence,111,0,1,2025-07-02
Ai2,4,526,1,2025-07-09
Hugging Face,578,123415,7,2025-07-09
NVIDIA,399,21919,2,2025-07-09
physical-intelligence,123,0,1,2025-07-09
Ai2,4,536,1,2025-07-16
Hugging Face,584,130914,7,2025-07-16
IPEC-COMMUNITY,1,1330,1,2025-07-16
NVIDIA,411,23354,2,2025-07-16
physical-intelligence,125,0,1,2025-07-16
Ai2,5,539,1,2025-07-23
Hugging Face,595,140852,8,2025-07-23
IPEC-COMMUNITY,1,1338,1,2025-07-23
NVIDIA,417,24754,2,2025-07-23
physical-intelligence,125,0,1,2025-07-23
Ai2,5,547,1,2025-07-30
Hugging Face,605,149089,8,2025-07-30
IPEC-COMMUNITY,1,1392,1,2025-07-30
InternRobotics,3,18,1,2025-07-30
NVIDIA,419,25703,2,2025-07-30
physical-intelligence,127,0,1,2025-07-30
Ai2,5,555,1,2025-08-06
Hugging Face,613,158922,8,2025-08-06
IPEC-COMMUNITY,1,1427,1,2025-08-06
InternRobotics,3,30,1,2025-08-06
NVIDIA,426,26601,2,2025-08-06
physical-intelligence,128,0,1,2025-08-06
Ai2,35,958,5,2025-08-13
Hugging Face,620,165179,8,2025-08-13
IPEC-COMMUNITY,1,1440,1,2025-08-13
InternRobotics,4,62,1,2025-08-13
NVIDIA,428,27417,2,2025-08-13
physical-intelligence,129,0,1,2025-08-13
Ai2,43,3530,5,2025-08-20
Hugging Face,633,174969,8,2025-08-20
IPEC-COMMUNITY,1,1469,1,2025-08-20
InternRobotics,5,73,1,2025-08-20
NVIDIA,436,29290,2,2025-08-20
physical-intelligence,131,0,1,2025-08-20
Ai2,49,4831,5,2025-08-27
Hugging Face,642,181947,8,2025-08-27
IPEC-COMMUNITY,1,1476,1,2025-08-27
InternRobotics,5,75,1,2025-08-27
NVIDIA,440,30855,2,2025-08-27
physical-intelligence,132,0,1,2025-08-27
Ai2,54,5641,5,2025-09-03
Hugging Face,651,197900,8,2025-09-03
IPEC-COMMUNITY,11,1701,2,2025-09-03
InternRobotics,6,160,2,2025-09-03
NVIDIA,445,32994,2,2025-09-03
physical-intelligence,135,0,1,2025-09-03
Ai2,57,6450,5,2025-09-10
Hugging Face,663,213357,8,2025-09-10
IPEC-COMMUNITY,12,1808,2,2025-09-10
InternRobotics,13,186,3,2025-09-10
NVIDIA,450,34322,2,2025-09-10
physical-intelligence,138,0,1,2025-09-10
Ai2,58,7729,5,2025-09-17
Hugging Face,672,226200,8,2025-09-17
IPEC-COMMUNITY,12,1822,2,2025-09-17
InternRobotics,157,353,10,2025-09-17
NVIDIA,456,36108,2,2025-09-17
physical-intelligence,139,0,1,2025-09-17
Ai2,59,8601,5,2025-09-24
Hugging Face,687,241105,9,2025-09-24
IPEC-COMMUNITY,12,1833,2,2025-09-24
InternRobotics,173,711,10,2025-09-24
NVIDIA,457,37914,2,2025-09-24
physical-intelligence,139,0,1,2025-09-24
Ai2,59,9439,5,2025-10-01
Hugging Face,697,247757,12,2025-10-01
IPEC-COMMUNITY,12,1836,2,2025-10-01
InternRobotics,174,936,10,2025-10-01
NVIDIA,461,38750,2,2025-10-01
physical-intelligence,142,0,1,2025-10-01
Ai2,59,10262,5,2025-10-08
Hugging Face,699,252506,12,2025-10-08
IPEC-COMMUNITY,12,1856,2,2025-10-08
InternRobotics,178,1011,10,2025-10-08
NVIDIA,463,40032,2,2025-10-08
physical-intelligence,144,0,1,2025-10-08
Ai2,63,11009,5,2025-10-15
Hugging Face,375,150976,10,2025-10-15
IPEC-COMMUNITY,12,1856,2,2025-10-15
InternRobotics,181,1188,10,2025-10-15
NVIDIA,466,41365,2,2025-10-15
physical-intelligence,145,0,1,2025-10-15
Ai2,67,13794,5,2025-10-22
Hugging Face,378,157014,10,2025-10-22
IPEC-COMMUNITY,12,1877,2,2025-10-22
InternRobotics,181,1367,10,2025-10-22
NVIDIA,470,42696,2,2025-10-22
physical-intelligence,145,0,1,2025-10-22
Ai2,68,15550,5,2025-10-29
Hugging Face,384,164466,10,2025-10-29
IPEC-COMMUNITY,12,1878,2,2025-10-29
InternRobotics,184,1617,10,2025-10-29
NVIDIA,477,44566,2,2025-10-29
physical-intelligence,148,0,1,2025-10-29
Ai2,69,17440,5,2025-11-05
Hugging Face,391,173133,10,2025-11-05
IPEC-COMMUNITY,12,1916,2,2025-11-05
InternRobotics,184,2124,10,2025-11-05
NVIDIA,483,47592,2,2025-11-05
physical-intelligence,149,0,1,2025-11-05
Ai2,70,18940,5,2025-11-12
Hugging Face,396,179685,10,2025-11-12
IPEC-COMMUNITY,13,1949,2,2025-11-12
InternRobotics,185,2947,10,2025-11-12
NVIDIA,489,49671,2,2025-11-12
physical-intelligence,149,0,1,2025-11-12
Ai2,71,20021,5,2025-11-19
Hugging Face,410,186252,10,2025-11-19
IPEC-COMMUNITY,13,2009,2,2025-11-19
InternRobotics,185,3365,10,2025-11-19
NVIDIA,497,52555,2,2025-11-19
physical-intelligence,152,0,1,2025-11-19
Ai2,73,20823,5,2025-11-26
Hugging Face,413,193514,10,2025-11-26
