country,is_eu,year,month,ai_job_count,population,pop_year_used,total_job_count
AL,0,2018,1,0,2607733,2018,
AL,0,2018,2,0,2607733,2018,
AL,0,2018,3,0,2607733,2018,
AL,0,2018,4,0,2607733,2018,
AL,0,2018,5,0,2607733,2018,
AL,0,2018,6,1,2607733,2018,
AL,0,2018,7,0,2607733,2018,
AL,0,2018,8,0,2607733,2018,
AL,0,2018,9,0,2607733,2018,
AL,0,2018,10,1,2607733,2018,
AL,0,2018,11,0,2607733,2018,
AL,0,2018,12,0,2607733,2018,
AL,0,2019,1,0,2567801,2019,
AL,0,2019,2,0,2567801,2019,
AL,0,2019,3,0,2567801,2019,
AL,0,2019,4,0,2567801,2019,
AL,0,2019,5,0,2567801,2019,
AL,0,2019,6,0,2567801,2019,
AL,0,2019,7,0,2567801,2019,
AL,0,2019,8,0,2567801,2019,
AL,0,2019,9,1,2567801,2019,
AL,0,2019,10,0,2567801,2019,
AL,0,2019,11,0,2567801,2019,
AL,0,2019,12,2,2567801,2019,
AL,0,2020,1,0,2528480,2020,
AL,0,2020,2,0,2528480,2020,
AL,0,2020,3,0,2528480,2020,
AL,0,2020,4,0,2528480,2020,
AL,0,2020,5,0,2528480,2020,
AL,0,2020,6,0,2528480,2020,
AL,0,2020,7,0,2528480,2020,
AL,0,2020,8,0,2528480,2020,
AL,0,2020,9,0,2528480,2020,
AL,0,2020,10,0,2528480,2020,
AL,0,2020,11,0,2528480,2020,
AL,0,2020,12,0,2528480,2020,
AL,0,2021,1,0,2489762,2021,
AL,0,2021,2,1,2489762,2021,
AL,0,2021,3,0,2489762,2021,
AL,0,2021,4,1,2489762,2021,
AL,0,2021,5,3,2489762,2021,
AL,0,2021,6,0,2489762,2021,
AL,0,2021,7,0,2489762,2021,
AL,0,2021,8,0,2489762,2021,
AL,0,2021,9,0,2489762,2021,
AL,0,2021,10,0,2489762,2021,
AL,0,2021,11,0,2489762,2021,
AL,0,2021,12,0,2489762,2021,
AL,0,2022,1,0,2451636,2022,
AL,0,2022,2,1,2451636,2022,
AL,0,2022,3,1,2451636,2022,
AL,0,2022,4,3,2451636,2022,
AL,0,2022,5,1,2451636,2022,
AL,0,2022,6,0,2451636,2022,
AL,0,2022,7,5,2451636,2022,
AL,0,2022,8,6,2451636,2022,
AL,0,2022,9,1,2451636,2022,
AL,0,2022,10,2,2451636,2022,
AL,0,2022,11,1,2451636,2022,
AL,0,2022,12,1,2451636,2022,
AL,0,2023,1,1,2414095,2023,
AL,0,2023,2,2,2414095,2023,
AL,0,2023,3,2,2414095,2023,
AL,0,2023,4,1,2414095,2023,
AL,0,2023,5,1,2414095,2023,
AL,0,2023,6,0,2414095,2023,
AL,0,2023,7,1,2414095,2023,
AL,0,2023,8,1,2414095,2023,
AL,0,2023,9,0,2414095,2023,
AL,0,2023,10,2,2414095,2023,
AL,0,2023,11,2,2414095,2023,
AL,0,2023,12,1,2414095,2023,
AL,0,2024,1,2,2377128,2024,
