obs_id,likes
moonshotai.Kimi-K2-Thinking,1528
baidu.ERNIE-4.5-21B-A3B-Thinking,770
zai-org.GLM-4.1V-9B-Thinking,757
baidu.ERNIE-4.5-VL-28B-A3B-Thinking,510
WeiboAI.VibeThinker-1.5B,503
Qwen.Qwen3-4B-Thinking-2507,489
ServiceNow-AI.Apriel-1.5-15b-Thinker,459
Qwen.Qwen3-Next-80B-A3B-Thinking,454
moonshotai.Kimi-VL-A3B-Thinking,442
Qwen.Qwen3-235B-A22B-Thinking-2507,384
LLM360.K2-Think,362
Qwen.Qwen3-VL-235B-A22B-Thinking,344
moonshotai.Kimi-VL-A3B-Thinking-2506,326
Qwen.Qwen3-30B-A3B-Thinking-2507,325
Qwen.Qwen3-Omni-30B-A3B-Thinking,234
numind.NuMarkdown-8B-Thinking,216
a-m-team.AM-Thinking-v1,200
ServiceNow-AI.Apriel-1.6-15b-Thinker,194
open-thoughts.OpenThinker-32B,175
Qwen.Qwen3-VL-30B-A3B-Thinking,163
allenai.Olmo-3-32B-Think,158
Qwen.Qwen3-VL-8B-Thinking,153
meituan-longcat.LongCat-Flash-Thinking,146
open-thoughts.OpenThinker-7B,138
open-thoughts.OpenThinker3-7B,130
miromind-ai.MiroThinker-v1.0-72B,130
unsloth.Qwen3-30B-A3B-Thinking-2507-GGUF,125
ServiceNow-AI.Apriel-Nemotron-15b-Thinker,122
Tiiny.SmallThinker-21BA3B-Instruct,110
unsloth.Kimi-K2-Thinking-GGUF,103
naver-hyperclovax.HyperCLOVAX-SEED-Think-14B,94
Qwen.Qwen3-VL-2B-Thinking,91
Qwen.Qwen3-VL-4B-Thinking,90
open-thoughts.OpenThinker-Agent-v1,83
Undi95.MistralThinker-v1.1,77
unsloth.Qwen3-235B-A22B-Thinking-2507-GGUF,77
unsloth.Qwen3-4B-Thinking-2507-GGUF,76
Qwen.Qwen3-VL-32B-Thinking,69
Qwen.Qwen3-235B-A22B-Thinking-2507-FP8,69
allenai.Olmo-3-7B-Think,67
FutureMa.Qwen3-8B-Drama-Thinking,67
ByteDance.Ouro-2.6B-Thinking,64
miromind-ai.MiroThinker-v1.0-8B,62
Nanbeige.Nanbeige4-3B-Thinking-2511,58
open-thoughts.OpenThinker2-32B,56
Tiiny.SmallThinker-4BA0.6B-Instruct,54
miromind-ai.MiroThinker-v1.0-30B,52
unsloth.Qwen3-Next-80B-A3B-Thinking-GGUF,52
FreeSEED-AI.gpt-oss-120b-mandarin-thinking,50
FunAudioLLM.ThinkSound,48
Qwen.Qwen3-30B-A3B-Thinking-2507-FP8,48
unsloth.Apriel-1.5-15b-Thinker-GGUF,46
Qwen.Qwen3-VL-30B-A3B-Thinking-FP8,45
ngxson.MiniThinky-v2-1B-Llama-3.2,42
Qwen.Qwen3-4B-Thinking-2507-FP8,42
unsloth.ERNIE-4.5-21B-A3B-Thinking-GGUF,41
unsloth.GLM-4.1V-9B-Thinking-GGUF,39
miromind-ai.MiroThinker-32B-DPO-v0.1,39
Qwen.Qwen3-Next-80B-A3B-Thinking-FP8,39
AllThingsIntel.Apollo-V0.1-4B-Thinking,38
Tiiny.SmallThinker-21BA3B-Instruct-GGUF,36
MaziyarPanahi.VibeThinker-1.5B-GGUF,35
allenai.Olmo-3.1-32B-Think,34
Tiiny.SmallThinker-4BA0.6B-Instruct-GGUF,31
gr0010.CustomThinker-0-8B,29
Qwen.Qwen3-VL-8B-Thinking-FP8,29
yairpatch.Qwen3-VL-30B-A3B-Thinking-GGUF,29
Intel.Qwen3-Next-80B-A3B-Thinking-int4-mixed-AutoRound,29
unsloth.Olmo-3-32B-Think-GGUF,28
unsloth.Qwen3-VL-235B-A22B-Thinking-GGUF,28
DavidAU.Qwen3-42B-A3B-2507-Thinking-Abliterated-uncensored-TOTAL-RECALL-v2-Medium-MASTER-CODER,27
remyxai.SpaceThinker-Qwen2.5VL-3B,27
ServiceNow-AI.Apriel-H1-15b-Thinker-SFT,27
Writer.palmyra-mini-thinking-b,27
mradermacher.VibeThinker-1.5B-GGUF,27
huihui-ai.Huihui-Qwen3-VL-8B-Thinking-abliterated,26
ByteDance.Ouro-1.4B-Thinking,26
Qwen.Qwen3-VL-4B-Thinking-FP8,26
Writer.palmyra-mini-thinking-a,26
DavidAU.DeepSeek-MOE-4X8B-R1-Distill-Llama-3.1-Deep-Thinker-Uncensored-24B-GGUF,25
ggml-org.Kimi-VL-A3B-Thinking-2506-GGUF,25
Qwen.Qwen3-VL-235B-A22B-Thinking-FP8,24
huihui-ai.Huihui-Qwen3-30B-A3B-Thinking-2507-abliterated,23
huihui-ai.Huihui-Qwen3-VL-4B-Thinking-abliterated,22
huihui-ai.Huihui-Qwen3-4B-Thinking-2507-abliterated,22
mlx-community.VibeThinker-1.5B-mlx-4bit,22
lixiaoxi45.WebThinker-QwQ-32B,21
ubergarm.Kimi-K2-Thinking-GGUF,21
unsloth.Qwen3-VL-30B-A3B-Thinking-GGUF,21
lmstudio-community.Qwen3-4B-Thinking-2507-GGUF,21
flashresearch.FlashResearch-4B-Thinking,20
a-m-team.AM-Thinking-v1-gguf,20
Qwen.Qwen3-VL-2B-Thinking-FP8,20
Qwen.Qwen3-Next-80B-A3B-Thinking-GGUF,19
open-thoughts.OpenThinker2-7B,19
Qwen.Qwen3-VL-32B-Thinking-FP8,18
cpatonn.Qwen3-Next-80B-A3B-Thinking-AWQ-4bit,18
ydeng9.OpenVLThinker-7B,17
huihui-ai.Huihui-Qwen3-VL-32B-Thinking-abliterated,17
miromind-ai.MiroThinker-32B-DPO-v0.2,17
gabriellarson.ERNIE-4.5-21B-A3B-Thinking-GGUF,16
unsloth.Qwen3-VL-4B-Thinking-GGUF,16
miromind-ai.MiroThinker-8B-SFT-v0.1,16
miromind-ai.MiroThinker-32B-SFT-v0.1,16
