author,likes,downloads,repo_count,date
Ai2,2.0,180.0,1,2025-06-04
Ai2,2.0,368.0,1,2025-06-11
Ai2,2.0,387.0,1,2025-06-18
Ai2,2.0,387.0,1,2025-06-25
Ai2,2.0,387.0,1,2025-07-02
Ai2,2.0,740.0,1,2025-07-09
Ai2,2.0,770.0,1,2025-07-16
Ai2,3.0,795.0,1,2025-07-23
Ai2,4.0,839.0,1,2025-07-30
Ai2,4.0,880.0,1,2025-08-06
Ai2,22.0,8101.0,4,2025-08-13
Ai2,25.0,24630.0,4,2025-08-20
Ai2,29.0,31584.0,4,2025-08-27
Ai2,31.0,51419.0,4,2025-09-03
Ai2,31.0,62253.0,4,2025-09-10
Ai2,33.0,70799.0,4,2025-09-17
Ai2,36.0,77283.0,4,2025-09-24
Ai2,36.0,90199.0,4,2025-10-01
Ai2,36.0,92973.0,4,2025-10-08
Ai2,37.0,97054.0,4,2025-10-15
Ai2,38.0,100679.0,4,2025-10-22
Ai2,40.0,106643.0,4,2025-10-29
Ai2,40.0,107585.0,4,2025-11-05
Ai2,40.0,107585.0,4,2025-11-12
Ai2,40.0,107585.0,4,2025-11-19
Ai2,41.0,131452.0,4,2025-11-26
Ai2,42.0,139812.0,4,2025-12-03
Ai2,42.0,146276.0,4,2025-12-10
Ai2,42.0,153934.0,4,2025-12-17
Ai2,42.0,155624.0,4,2025-12-24
BAAI,1.0,19.0,1,2025-12-10
BAAI,2.0,377.0,2,2025-12-17
BAAI,4.0,2431.0,3,2025-12-24
Hugging Face,58.0,162312.0,35,2025-02-26
Hugging Face,59.0,175328.0,35,2025-03-05
Hugging Face,59.0,183868.0,35,2025-03-12
Hugging Face,59.0,190972.0,35,2025-03-19
Hugging Face,60.0,247147.0,36,2025-03-26
Hugging Face,62.0,268663.0,38,2025-04-02
Hugging Face,65.0,289759.0,39,2025-04-09
Hugging Face,69.0,311433.0,40,2025-04-16
Hugging Face,72.0,321938.0,40,2025-04-23
Hugging Face,74.0,326012.0,40,2025-04-30
Hugging Face,77.0,345102.0,40,2025-05-07
Hugging Face,77.0,355351.0,40,2025-05-14
Hugging Face,79.0,383599.0,42,2025-05-21
Hugging Face,81.0,396357.0,43,2025-05-28
Hugging Face,87.0,429140.0,44,2025-06-04
Hugging Face,92.0,480280.0,45,2025-06-11
Hugging Face,95.0,493930.0,45,2025-06-18
Hugging Face,99.0,495183.0,46,2025-06-25
Hugging Face,99.0,495183.0,46,2025-07-02
Hugging Face,104.0,543900.0,47,2025-07-09
Hugging Face,108.0,563817.0,47,2025-07-16
Hugging Face,111.0,633939.0,48,2025-07-23
Hugging Face,116.0,648140.0,48,2025-07-30
Hugging Face,119.0,678984.0,50,2025-08-06
Hugging Face,123.0,687070.0,51,2025-08-13
Hugging Face,130.0,705456.0,53,2025-08-20
Hugging Face,133.0,718767.0,54,2025-08-27
Hugging Face,141.0,737942.0,56,2025-09-03
Hugging Face,145.0,759706.0,57,2025-09-10
Hugging Face,146.0,779243.0,57,2025-09-17
Hugging Face,155.0,800864.0,57,2025-09-24
Hugging Face,156.0,831456.0,58,2025-10-01
Hugging Face,158.0,843228.0,58,2025-10-08
Hugging Face,161.0,862270.0,58,2025-10-15
Hugging Face,168.0,893815.0,60,2025-10-22
Hugging Face,173.0,914356.0,60,2025-10-29
Hugging Face,174.0,1039263.0,61,2025-11-05
Hugging Face,174.0,1039263.0,61,2025-11-12
Hugging Face,174.0,1039263.0,61,2025-11-19
Hugging Face,194.0,1104403.0,61,2025-11-26
Hugging Face,210.0,1243174.0,63,2025-12-03
Hugging Face,228.0,1293878.0,64,2025-12-10
Hugging Face,239.0,1345093.0,64,2025-12-17
Hugging Face,245.0,1378761.0,64,2025-12-24
NVIDIA,4.0,106.0,3,2025-03-12
NVIDIA,13.0,6472.0,3,2025-03-19
NVIDIA,19.0,9532.0,3,2025-03-26
NVIDIA,21.0,12501.0,3,2025-04-02
NVIDIA,25.0,21810.0,3,2025-04-09
NVIDIA,26.0,26622.0,3,2025-04-16
NVIDIA,27.0,32516.0,3,2025-04-23
NVIDIA,28.0,35719.0,3,2025-04-30
NVIDIA,29.0,50634.0,3,2025-05-07
NVIDIA,169.0,1509437.0,6,2025-05-14
NVIDIA,176.0,1805372.0,6,2025-05-21
NVIDIA,179.0,2038632.0,6,2025-05-28
NVIDIA,182.0,2155698.0,6,2025-06-04
NVIDIA,194.0,2191342.0,8,2025-06-11
NVIDIA,202.0,2244515.0,8,2025-06-18
NVIDIA,206.0,2244515.0,8,2025-06-25
NVIDIA,206.0,2244515.0,8,2025-07-02
NVIDIA,216.0,2806041.0,9,2025-07-09
NVIDIA,221.0,2872778.0,9,2025-07-16
NVIDIA,229.0,3013457.0,9,2025-07-23
NVIDIA,239.0,3250329.0,9,2025-07-30
NVIDIA,243.0,3344273.0,9,2025-08-06
NVIDIA,252.0,3406652.0,9,2025-08-13
NVIDIA,261.0,3502875.0,9,2025-08-20
NVIDIA,267.0,3602915.0,10,2025-08-27
