author,likes,downloads,repo_count,date
Ai2,4.0,526.0,1,2025-07-09
Ai2,4.0,536.0,1,2025-07-16
Ai2,5.0,539.0,1,2025-07-23
Ai2,5.0,547.0,1,2025-07-30
Ai2,5.0,555.0,1,2025-08-06
Ai2,35.0,958.0,5,2025-08-13
Ai2,43.0,3530.0,5,2025-08-20
Ai2,49.0,4831.0,5,2025-08-27
Ai2,54.0,5641.0,5,2025-09-03
Ai2,57.0,6450.0,5,2025-09-10
Ai2,58.0,7729.0,5,2025-09-17
Ai2,59.0,8601.0,5,2025-09-24
Ai2,59.0,9439.0,5,2025-10-01
Ai2,59.0,10262.0,5,2025-10-08
Ai2,63.0,11009.0,5,2025-10-15
Ai2,67.0,13794.0,5,2025-10-22
Ai2,68.0,15550.0,5,2025-10-29
Ai2,69.0,17440.0,5,2025-11-05
Ai2,70.0,18940.0,5,2025-11-12
Ai2,71.0,20021.0,5,2025-11-19
Ai2,73.0,20823.0,5,2025-11-26
Ai2,73.0,21182.0,5,2025-12-03
Ai2,73.0,22024.0,5,2025-12-10
Ai2,74.0,22434.0,5,2025-12-17
Ai2,75.0,22759.0,5,2025-12-24
BAAI,107.0,5688.0,2,2025-07-09
BAAI,122.0,6711.0,2,2025-07-16
BAAI,139.0,7733.0,4,2025-07-23
BAAI,145.0,9092.0,4,2025-07-30
BAAI,147.0,10256.0,4,2025-08-06
BAAI,148.0,11030.0,4,2025-08-13
BAAI,149.0,12709.0,4,2025-08-20
BAAI,150.0,13795.0,4,2025-08-27
BAAI,152.0,16921.0,4,2025-09-03
BAAI,155.0,17548.0,4,2025-09-10
BAAI,161.0,18543.0,4,2025-09-17
BAAI,161.0,18990.0,4,2025-09-24
BAAI,170.0,19323.0,5,2025-10-01
BAAI,171.0,23959.0,5,2025-10-08
BAAI,172.0,25044.0,5,2025-10-15
BAAI,175.0,25464.0,5,2025-10-22
BAAI,177.0,26330.0,5,2025-10-29
BAAI,179.0,27209.0,5,2025-11-05
BAAI,180.0,27998.0,5,2025-11-12
BAAI,180.0,28756.0,5,2025-11-19
BAAI,180.0,29031.0,5,2025-11-26
BAAI,180.0,29397.0,5,2025-12-03
BAAI,180.0,30610.0,5,2025-12-10
BAAI,181.0,31266.0,5,2025-12-17
BAAI,184.0,31633.0,5,2025-12-24
Hugging Face,192.0,17489.0,4,2025-02-26
Hugging Face,212.0,21624.0,4,2025-03-05
Hugging Face,233.0,24663.0,5,2025-03-12
Hugging Face,253.0,31167.0,5,2025-03-19
Hugging Face,266.0,35774.0,6,2025-03-26
Hugging Face,280.0,39031.0,6,2025-04-02
Hugging Face,295.0,43444.0,6,2025-04-09
Hugging Face,307.0,47125.0,6,2025-04-16
Hugging Face,313.0,52824.0,6,2025-04-23
Hugging Face,323.0,54178.0,6,2025-04-30
Hugging Face,328.0,59338.0,6,2025-05-07
Hugging Face,335.0,60270.0,6,2025-05-14
Hugging Face,340.0,66064.0,6,2025-05-21
Hugging Face,378.0,69879.0,7,2025-05-28
Hugging Face,378.0,69879.0,7,2025-06-04
Hugging Face,378.0,69879.0,7,2025-06-11
Hugging Face,378.0,69879.0,7,2025-06-18
Hugging Face,378.0,69879.0,7,2025-06-25
Hugging Face,378.0,69879.0,7,2025-07-02
Hugging Face,578.0,123415.0,7,2025-07-09
Hugging Face,584.0,130914.0,7,2025-07-16
Hugging Face,595.0,140852.0,8,2025-07-23
Hugging Face,605.0,149089.0,8,2025-07-30
Hugging Face,613.0,158922.0,8,2025-08-06
Hugging Face,620.0,165179.0,8,2025-08-13
Hugging Face,633.0,174969.0,8,2025-08-20
Hugging Face,642.0,181947.0,8,2025-08-27
Hugging Face,651.0,197900.0,8,2025-09-03
Hugging Face,663.0,213357.0,8,2025-09-10
Hugging Face,672.0,226200.0,8,2025-09-17
Hugging Face,687.0,241105.0,9,2025-09-24
Hugging Face,697.0,247757.0,12,2025-10-01
Hugging Face,699.0,252506.0,12,2025-10-08
Hugging Face,703.75,258434.375,10,2025-10-15
Hugging Face,708.5,264362.75,10,2025-10-22
Hugging Face,713.25,270291.125,10,2025-10-29
Hugging Face,718.0,276219.5,10,2025-11-05
Hugging Face,722.75,282147.875,10,2025-11-12
Hugging Face,727.5,288076.25,10,2025-11-19
Hugging Face,732.25,294004.625,10,2025-11-26
Hugging Face,737.0,299933.0,17,2025-12-03
Hugging Face,751.0,312238.0,17,2025-12-10
Hugging Face,758.0,324316.0,17,2025-12-17
Hugging Face,760.0,330123.0,17,2025-12-24
NVIDIA,24.0,112.0,1,2025-03-12
NVIDIA,222.0,1242.0,1,2025-03-19
NVIDIA,253.0,2038.0,1,2025-03-26
NVIDIA,260.0,2724.0,1,2025-04-02
NVIDIA,271.0,3763.0,1,2025-04-09
NVIDIA,279.0,4626.0,1,2025-04-16
NVIDIA,287.0,5596.0,1,2025-04-23
NVIDIA,288.0,5963.0,1,2025-04-30
NVIDIA,296.0,7510.0,1,2025-05-07
NVIDIA,303.0,8051.0,1,2025-05-14
NVIDIA,310.0,10811.0,1,2025-05-21
NVIDIA,313.0,12114.0,1,2025-05-28
NVIDIA,313.0,12114.0,1,2025-06-04
NVIDIA,313.0,12114.0,1,2025-06-11
NVIDIA,313.0,12114.0,1,2025-06-18
NVIDIA,313.0,12114.0,1,2025-06-25
NVIDIA,313.0,12114.0,1,2025-07-02
NVIDIA,399.0,21919.0,2,2025-07-09
NVIDIA,411.0,23354.0,2,2025-07-16
NVIDIA,417.0,24754.0,2,2025-07-23
NVIDIA,419.0,25703.0,2,2025-07-30
NVIDIA,426.0,26601.0,2,2025-08-06
NVIDIA,428.0,27417.0,2,2025-08-13
NVIDIA,436.0,29290.0,2,2025-08-20
NVIDIA,440.0,30855.0,2,2025-08-27
NVIDIA,445.0,32994.0,2,2025-09-03
NVIDIA,450.0,34322.0,2,2025-09-10
NVIDIA,456.0,36108.0,2,2025-09-17
NVIDIA,457.0,37914.0,2,2025-09-24
NVIDIA,461.0,38750.0,2,2025-10-01
NVIDIA,463.0,40032.0,2,2025-10-08
NVIDIA,466.0,41365.0,2,2025-10-15
NVIDIA,470.0,42696.0,2,2025-10-22
NVIDIA,477.0,44566.0,2,2025-10-29
NVIDIA,483.0,47592.0,2,2025-11-05
NVIDIA,489.0,49671.0,2,2025-11-12
NVIDIA,497.0,52555.0,2,2025-11-19
NVIDIA,499.0,55476.0,2,2025-11-26
NVIDIA,502.0,57546.0,2,2025-12-03
NVIDIA,508.0,60254.0,2,2025-12-10
NVIDIA,517.0,66240.0,4,2025-12-17
NVIDIA,525.0,71525.0,4,2025-12-24
Shanghai AI Lab,1.0,1330.0,1,2025-07-16
Shanghai AI Lab,1.0,1338.0,1,2025-07-23
Shanghai AI Lab,4.0,1410.0,2,2025-07-30
Shanghai AI Lab,4.0,1457.0,2,2025-08-06
Shanghai AI Lab,5.0,1502.0,2,2025-08-13
Shanghai AI Lab,6.0,1542.0,2,2025-08-20
Shanghai AI Lab,6.0,1551.0,2,2025-08-27
Shanghai AI Lab,17.0,1861.0,4,2025-09-03
Shanghai AI Lab,25.0,1994.0,5,2025-09-10
Shanghai AI Lab,169.0,2175.0,12,2025-09-17
Shanghai AI Lab,185.0,2544.0,12,2025-09-24
Shanghai AI Lab,186.0,2772.0,12,2025-10-01
Shanghai AI Lab,190.0,2867.0,12,2025-10-08
Shanghai AI Lab,193.0,3044.0,12,2025-10-15
Shanghai AI Lab,193.0,3244.0,12,2025-10-22
Shanghai AI Lab,196.0,3495.0,12,2025-10-29
Shanghai AI Lab,196.0,4040.0,12,2025-11-05
Shanghai AI Lab,198.0,4896.0,12,2025-11-12
Shanghai AI Lab,198.0,5374.0,12,2025-11-19
Shanghai AI Lab,201.0,5842.0,12,2025-11-26
Shanghai AI Lab,204.0,6066.0,12,2025-12-03
Shanghai AI Lab,206.0,6855.0,12,2025-12-10
Shanghai AI Lab,206.0,7159.0,12,2025-12-17
Shanghai AI Lab,216.0,7371.0,12,2025-12-24
physical-intelligence,82.0,0.0,1,2025-02-26
physical-intelligence,85.0,0.0,1,2025-03-05
physical-intelligence,86.0,0.0,1,2025-03-12
physical-intelligence,89.0,0.0,1,2025-03-19
physical-intelligence,90.0,0.0,1,2025-03-26
physical-intelligence,92.0,0.0,1,2025-04-02
physical-intelligence,93.0,0.0,1,2025-04-09
physical-intelligence,96.0,0.0,1,2025-04-16
physical-intelligence,99.0,0.0,1,2025-04-23
physical-intelligence,102.0,0.0,1,2025-04-30
physical-intelligence,105.0,0.0,1,2025-05-07
physical-intelligence,105.0,0.0,1,2025-05-14
physical-intelligence,108.0,0.0,1,2025-05-21
physical-intelligence,111.0,0.0,1,2025-05-28
physical-intelligence,111.0,0.0,1,2025-06-04
physical-intelligence,111.0,0.0,1,2025-06-11
physical-intelligence,111.0,0.0,1,2025-06-18
physical-intelligence,111.0,0.0,1,2025-06-25
physical-intelligence,111.0,0.0,1,2025-07-02
physical-intelligence,123.0,0.0,1,2025-07-09
physical-intelligence,125.0,0.0,1,2025-07-16
physical-intelligence,125.0,0.0,1,2025-07-23
physical-intelligence,127.0,0.0,1,2025-07-30
physical-intelligence,128.0,0.0,1,2025-08-06
physical-intelligence,129.0,0.0,1,2025-08-13
physical-intelligence,131.0,0.0,1,2025-08-20
physical-intelligence,132.0,0.0,1,2025-08-27
physical-intelligence,135.0,0.0,1,2025-09-03
physical-intelligence,138.0,0.0,1,2025-09-10
physical-intelligence,139.0,0.0,1,2025-09-17
physical-intelligence,139.0,0.0,1,2025-09-24
physical-intelligence,142.0,0.0,1,2025-10-01
physical-intelligence,144.0,0.0,1,2025-10-08
physical-intelligence,145.0,0.0,1,2025-10-15
physical-intelligence,145.0,0.0,1,2025-10-22
physical-intelligence,148.0,0.0,1,2025-10-29
physical-intelligence,149.0,0.0,1,2025-11-05
physical-intelligence,149.0,0.0,1,2025-11-12
physical-intelligence,152.0,0.0,1,2025-11-19
physical-intelligence,153.0,0.0,1,2025-11-26
physical-intelligence,153.0,0.0,1,2025-12-03
physical-intelligence,155.0,0.0,1,2025-12-10
physical-intelligence,155.0,0.0,1,2025-12-17
physical-intelligence,161.0,0.0,1,2025-12-24
unitreerobotics,42.0,0.0,2,2025-09-17
unitreerobotics,53.0,0.0,2,2025-09-24
unitreerobotics,54.0,0.0,2,2025-10-01
unitreerobotics,54.0,0.0,2,2025-10-08
unitreerobotics,54.0,0.0,2,2025-10-15
unitreerobotics,54.0,0.0,2,2025-10-22
unitreerobotics,54.0,0.0,2,2025-10-29
unitreerobotics,56.0,0.0,2,2025-11-05
unitreerobotics,56.0,0.0,2,2025-11-12
unitreerobotics,56.0,0.0,2,2025-11-19
unitreerobotics,57.0,0.0,2,2025-11-26
unitreerobotics,57.0,0.0,2,2025-12-03
unitreerobotics,58.0,0.0,2,2025-12-10
unitreerobotics,58.0,0.0,2,2025-12-17
unitreerobotics,59.0,0.0,2,2025-12-24
