month,NVIDIA,Tencent,airbnb,alibaba,codecrafters-io,deepseek-ai,facebook (+research),github,google,hashicorp,huggingface,microsoft,openai,tensorflow,vercel
2025-05,0,0,0,0,0,0,0,5,0,0,7,100,7,0,11
2025-06,0,0,1,0,0,0,4,7,1,1,7,463,12,0,15
2025-07,0,3,4,0,0,0,4,11,2,1,8,827,34,0,16
2025-08,29,3,4,0,0,0,6,15,8,1,11,1171,61,0,22
2025-09,31,3,4,0,0,0,6,17,9,1,15,1435,95,0,28
2025-10,31,3,4,0,0,0,8,35,13,1,16,1716,154,0,29
2025-11,40,3,4,4,0,0,9,55,41,1,24,2049,199,1,38
2025-12,42,3,5,5,0,2,20,59,59,5,30,2415,221,3,42
2026-01,44,3,6,13,0,2,29,66,80,7,60,2990,280,3,102
2026-02,77,4,6,20,0,2,56,75,126,14,118,3558,452,5,194
2026-03,166,4,6,44,0,4,102,93,190,23,173,4420,662,34,280
2026-04,292,8,6,55,0,4,141,106,232,34,241,5222,926,37,351
