month,NVIDIA,Tencent,airbnb,alibaba,codecrafters-io,deepseek-ai,facebook (+research),github,google,hashicorp,huggingface,microsoft,openai,tensorflow,vercel
2025-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,1.03,0.84,2.01,0.0,1.63
2025-06,0.0,0.0,4.17,0.0,0.0,0.0,0.32,0.51,0.06,0.05,0.0,3.27,3.21,0.0,0.58
2025-07,0.0,2.38,14.29,0.0,0.0,0.0,0.0,1.21,0.05,0.0,0.13,2.78,8.09,0.0,0.14
2025-08,5.43,0.0,0.0,0.0,0.0,0.0,0.16,1.35,0.3,0.0,0.39,2.72,2.84,0.0,0.87
2025-09,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.05,0.0,0.53,1.92,4.46,0.0,0.9
2025-10,0.0,0.0,0.0,0.0,0.0,0.0,0.19,5.19,0.22,0.0,0.12,2.25,7.81,0.0,0.13
2025-11,1.13,0.0,0.0,5.06,0.0,0.0,0.11,5.92,1.65,0.0,1.2,2.62,7.46,1.16,1.71
2025-12,0.26,0.0,3.45,0.75,0.0,22.22,1.36,1.48,0.95,0.37,0.91,3.11,3.33,1.56,0.86
2026-01,0.22,0.0,2.5,7.48,0.0,0.0,0.87,2.3,0.97,0.17,3.98,4.34,5.74,0.0,7.24
2026-02,3.16,2.17,0.0,6.42,0.0,0.0,2.13,3.16,2.11,0.48,6.94,4.05,12.28,1.02,8.75
2026-03,8.82,0.0,0.0,6.5,0.0,22.22,3.3,5.22,2.61,0.56,5.54,5.11,13.9,13.24,8.01
2026-04,11.14,5.26,0.0,5.29,0.0,0.0,3.05,4.14,1.87,0.64,7.95,3.96,13.85,1.85,6.4
