owner,category,sum_stars,agent_total,human_total,all_total,agent_share
microsoft,company,3987876,5222,158623,163845,0.0318715859501358
google,company,2125373,232,23710,23942,0.009690084370562192
facebook,company,1088762,105,12820,12925,0.008123791102514507
facebookresearch,company-research-lab,963668,36,814,850,0.042352941176470586
alibaba,company,886875,55,1814,1869,0.029427501337613696
openai,company,868717,926,9428,10354,0.08943403515549546
github,company-subsidiary,692037,106,3807,3913,0.027089189879887555
huggingface,company,690204,241,9061,9302,0.0259084067942378
Tencent,company,554939,8,944,952,0.008403361344537815
vercel,company,521506,351,8924,9275,0.03784366576819407
tensorflow,company-subsidiary,505376,37,1509,1546,0.023932729624838292
codecrafters-io,company,505056,0,10,10,0.0
dotnet,company-subsidiary,471625,4286,22315,26601,0.16112176233976166
NVIDIA,company,409390,292,8461,8753,0.033359990860276474
deepseek-ai,company,409357,4,57,61,0.06557377049180328
airbnb,company,394933,6,320,326,0.018404907975460124
hashicorp,company,340135,34,18652,18686,0.001819544043669057
langchain-ai,company,330959,163,4880,5043,0.032322030537378546
angular,company-subsidiary,312395,22,7448,7470,0.0029451137884872825
square,company,302477,12,755,767,0.01564537157757497
bytedance,company,300670,3,139,142,0.02112676056338028
apple,company,289033,7,2654,2661,0.0026305900037579856
google-research,company-research-lab,274828,2,27,29,0.06896551724137931
PaddlePaddle,company-subsidiary,257931,50,8111,8161,0.006126700159294204
flutter,company-subsidiary,257728,26,13824,13850,0.0018772563176895306
Azure,company-subsidiary,255095,3355,41488,44843,0.07481658229824052
aws,company-subsidiary,254408,14,11760,11774,0.0011890606420927466
golang,company-subsidiary,253723,8,918,926,0.008639308855291577
cloudflare,company,246974,7,2172,2179,0.0032124827902707664
Netflix,company,244118,55,1660,1715,0.03206997084548105
GoogleCloudPlatform,company-subsidiary,241674,72,14812,14884,0.004837409298575652
aws-samples,company-subsidiary,239597,0,93,93,0.0
JetBrains,company,233453,189,3172,3361,0.05623326390955073
spring-projects,company-subsidiary,233116,22,3232,3254,0.006760909649661954
elastic,company,230522,1117,56038,57155,0.019543347038754266
android,company-subsidiary,230196,11,692,703,0.015647226173541962
redis,company,221782,23,1961,1984,0.011592741935483871
google-deepmind,company-research-lab,221121,8,53,61,0.13114754098360656
twitter,company,219626,0,114,114,0.0
grafana,company,217562,575,21904,22479,0.025579429689932827
n8n-io,company,208597,365,7905,8270,0.044135429262394194
spatie,company,207265,36,783,819,0.04395604395604396
charmbracelet,company,206993,80,640,720,0.1111111111111111
ant-design,company-subsidiary,194573,286,2628,2914,0.09814687714481812
awslabs,company-subsidiary,192053,30,4486,4516,0.006643046944198406
tailwindlabs,company,182471,20,684,704,0.028409090909090908
QwenLM,company-subsidiary,179619,87,1758,1845,0.04715447154471545
Shopify,company,177032,55,2064,2119,0.02595563945257197
Unity-Technologies,company,167358,3,563,566,0.00530035335689046
GoogleChromeLabs,company-subsidiary,167316,11,395,406,0.027093596059113302
