owner,parent,category,sum_stars,agent_total,human_total,all_total,agent_share,is_subsidiary
microsoft,microsoft,company,3987876,5222,158623,163845,0.0318715859501358,no
google,google,company,2125373,232,23710,23942,0.009690084370562192,no
facebook,facebook,company,1088762,105,12820,12925,0.008123791102514507,no
facebookresearch,facebook,company-research-lab,963668,36,814,850,0.042352941176470586,yes
alibaba,alibaba,company,886875,55,1814,1869,0.029427501337613696,no
openai,openai,company,868717,926,9428,10354,0.08943403515549546,no
github,microsoft,company-subsidiary,692037,106,3807,3913,0.027089189879887555,yes
huggingface,huggingface,company,690204,241,9061,9302,0.0259084067942378,no
Tencent,Tencent,company,554939,8,944,952,0.008403361344537815,no
vercel,vercel,company,521506,351,8924,9275,0.03784366576819407,no
tensorflow,google,company-subsidiary,505376,37,1509,1546,0.023932729624838292,yes
codecrafters-io,codecrafters-io,company,505056,0,10,10,0.0,no
dotnet,microsoft,company-subsidiary,471625,4286,22315,26601,0.16112176233976166,yes
NVIDIA,NVIDIA,company,409390,292,8461,8753,0.033359990860276474,no
deepseek-ai,deepseek-ai,company,409357,4,57,61,0.06557377049180328,no
airbnb,airbnb,company,394933,6,320,326,0.018404907975460124,no
symfony,symfony,community,358590,10,4135,4145,0.0024125452352231603,no
hashicorp,ibm,company,340135,34,18652,18686,0.001819544043669057,yes
langchain-ai,langchain-ai,company,330959,163,4880,5043,0.032322030537378546,no
angular,google,company-subsidiary,312395,22,7448,7470,0.0029451137884872825,yes
square,square,company,302477,12,755,767,0.01564537157757497,no
bytedance,bytedance,company,300670,3,139,142,0.02112676056338028,no
apple,apple,company,289033,7,2654,2661,0.0026305900037579856,no
google-research,google-research,company-research-lab,274828,2,27,29,0.06896551724137931,no
PaddlePaddle,baidu,company-subsidiary,257931,50,8111,8161,0.006126700159294204,yes
flutter,google,company-subsidiary,257728,26,13824,13850,0.0018772563176895306,yes
Azure,microsoft,company-subsidiary,255095,3355,41488,44843,0.07481658229824052,yes
aws,amazon,company-subsidiary,254408,14,11760,11774,0.0011890606420927466,yes
golang,google,company-subsidiary,253723,8,918,926,0.008639308855291577,yes
cloudflare,cloudflare,company,246974,7,2172,2179,0.0032124827902707664,no
Netflix,Netflix,company,244118,55,1660,1715,0.03206997084548105,no
GoogleCloudPlatform,google,company-subsidiary,241674,72,14812,14884,0.004837409298575652,yes
aws-samples,amazon,company-subsidiary,239597,0,93,93,0.0,yes
laravel,laravel,community,236982,68,5067,5135,0.013242453748782863,no
JetBrains,JetBrains,company,233453,189,3172,3361,0.05623326390955073,no
spring-projects,broadcom,company-subsidiary,233116,22,3232,3254,0.006760909649661954,yes
elastic,elastic,company,230522,1117,56038,57155,0.019543347038754266,no
android,google,company-subsidiary,230196,11,692,703,0.015647226173541962,yes
redis,redis,company,221782,23,1961,1984,0.011592741935483871,no
google-deepmind,google,company-research-lab,221121,8,53,61,0.13114754098360656,yes
twitter,twitter,company,219626,0,114,114,0.0,no
grafana,grafana,company,217562,575,21904,22479,0.025579429689932827,no
n8n-io,n8n-io,company,208597,365,7905,8270,0.044135429262394194,no
spatie,spatie,company,207265,36,783,819,0.04395604395604396,no
charmbracelet,charmbracelet,company,206993,80,640,720,0.1111111111111111,no
ant-design,alibaba,company-subsidiary,194573,286,2628,2914,0.09814687714481812,yes
awslabs,amazon,company-subsidiary,192053,30,4486,4516,0.006643046944198406,yes
tailwindlabs,tailwindlabs,company,182471,20,684,704,0.028409090909090908,no
QwenLM,alibaba,company-subsidiary,179619,87,1758,1845,0.04715447154471545,yes
Shopify,Shopify,company,177032,55,2064,2119,0.02595563945257197,no
