week,agent_prs,all_prs,agent_share
2025-05-01,1573,297514,0.005287146151105494
2025-06-01,4294,367358,0.01168887025735114
2025-07-01,3632,299256,0.012136765845964658
2025-08-01,4602,291698,0.01577659085766786
2025-09-01,5770,377012,0.015304552640234264
2025-10-01,6246,308976,0.02021516234270623
2025-11-01,9031,303915,0.02971554546501489
2025-12-01,11270,325414,0.034632806209935654
2026-01-01,12497,325743,0.03836460031374427
2026-02-01,20871,365791,0.057057171991656434
2026-03-01,33699,488218,0.06902449315674555
