month,agent_total,agent_merged,agent_closed,agent_open,agent_draft,agent_merged_share,agent_closed_share,agent_open_share,agent_draft_share,human_total,human_merged,human_closed,human_open,human_draft,human_merged_share,human_closed_share,human_open_share,human_draft_share,all_total,all_merged,all_closed,all_open,all_draft,all_merged_share,all_closed_share,all_open_share,all_draft_share,agent_share
2025-05-01,141,92,36,7,6,0.6524822695035462,0.2553191489361702,0.04964539007092199,0.0425531914893617,47012,37237,8157,1274,344,0.7920743639921722,0.17350889134689015,0.027099463966646812,0.007317280694290819,47153,37329,8193,1281,350,0.7916569465357454,0.17375352575657965,0.027166882276843468,0.007422645430831549,0.002990265730706424
2025-06-01,351,264,72,15,0,0.7521367521367521,0.20512820512820512,0.042735042735042736,0.0,47398,37314,8507,1262,315,0.787248407105785,0.17948014684163888,0.026625596016709566,0.006645850035866492,47749,37578,8579,1277,315,0.7869903034618526,0.17966868416092482,0.026744015581478146,0.006596996795744414,0.007350939286686632
2025-07-01,323,231,85,5,2,0.7151702786377709,0.2631578947368421,0.015479876160990712,0.006191950464396285,51545,40860,8885,1433,367,0.7927054030458822,0.1723736540886604,0.027800950625666895,0.007119992239790474,51868,41091,8970,1438,369,0.7922225649726228,0.17293899899745507,0.027724223027685662,0.007114213002236447,0.006227346340711036
2025-08-01,441,296,123,12,10,0.671201814058957,0.2789115646258503,0.027210884353741496,0.022675736961451247,46575,36114,8548,1529,384,0.7753945249597424,0.18353193773483628,0.032828770799785294,0.00824476650563607,47016,36410,8671,1541,394,0.7744172196698996,0.1844265781861494,0.03277607622936873,0.00838012591458227,0.00937978560490046
2025-09-01,322,179,129,9,5,0.5559006211180124,0.40062111801242234,0.027950310559006212,0.015527950310559006,46846,36244,8725,1462,415,0.7736839858258976,0.1862485591085685,0.03120864107928105,0.008858813986252828,47168,36423,8854,1471,420,0.7721972523744912,0.1877120081411126,0.031186397557666213,0.008904341926729986,0.006826662143826323
2025-10-01,467,274,178,13,2,0.5867237687366167,0.3811563169164882,0.027837259100642397,0.004282655246252677,51409,38945,10179,1885,400,0.7575521795794511,0.19800035013324516,0.03666673150615651,0.00778073878114727,51876,39219,10357,1898,402,0.7560143418922045,0.1996491633896214,0.03658724651091063,0.007749248207263475,0.009002236101472742
2025-11-01,509,298,189,18,4,0.5854616895874263,0.3713163064833006,0.03536345776031434,0.007858546168958742,44533,33879,8278,1941,435,0.7607616823479217,0.1858846248849168,0.04358565558125435,0.00976803718590708,45042,34177,8467,1959,439,0.7587806935748856,0.18798010745526397,0.04349274010923138,0.009746458860618978,0.011300563918120865
2025-12-01,860,550,257,34,19,0.6395348837209303,0.2988372093023256,0.03953488372093023,0.022093023255813953,44760,33354,8700,2228,478,0.7451742627345844,0.19436997319034852,0.04977658623771224,0.01067917783735478,45620,33904,8957,2262,497,0.7431828145550198,0.19633932485751862,0.04958351600175362,0.010894344585708022,0.018851380973257344
2026-01-01,1186,804,320,46,16,0.6779089376053963,0.26981450252951095,0.0387858347386172,0.013490725126475547,50068,36925,9585,2948,610,0.7374970040744587,0.191439642086762,0.05887992330430614,0.012183430534473117,51254,37729,9905,2994,626,0.7361181566316776,0.19325320950559957,0.05841495297927966,0.012213680883443243,0.02313965739259375
2026-02-01,2602,1769,633,140,60,0.6798616448885473,0.24327440430438124,0.053804765564950036,0.023059185242121444,52910,37648,10253,4105,904,0.7115479115479115,0.19378189378189378,0.07758457758457758,0.017085617085617087,55512,39417,10886,4245,964,0.7100626891482923,0.19610174376711342,0.0764699524427151,0.017365614641879232,0.04687274823461594
2026-03-01,4062,2756,888,305,113,0.6784835056622354,0.21861152141802068,0.07508616445100935,0.027818808468734614,63580,43758,12178,6315,1329,0.6882352941176471,0.19153821956590122,0.09932368669392891,0.020902799622522807,67642,46514,13066,6620,1442,0.6876496851068863,0.19316401052600454,0.09786818840365454,0.02131811596345466,0.06005144732562609
