month,agent_total,agent_merged,agent_closed,agent_open,agent_draft,agent_merged_share,agent_closed_share,agent_open_share,agent_draft_share,human_total,human_merged,human_closed,human_open,human_draft,human_merged_share,human_closed_share,human_open_share,human_draft_share,all_total,all_merged,all_closed,all_open,all_draft,all_merged_share,all_closed_share,all_open_share,all_draft_share,agent_share
2025-04-01,7,1,1,4,1,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285,326287,260725,54592,9143,1827,0.799066466025309,0.16731282582511714,0.028021343173341262,0.005599364976232581,326294,260726,54593,9147,1828,0.7990523883368986,0.16731230117623982,0.02803300091328679,0.005602309573574752,2.1453045413032417e-05
2025-05-01,1559,942,506,46,65,0.6042334830019244,0.32456703014753047,0.029506093649775498,0.04169339320076972,321188,254258,55459,9689,1782,0.7916173705119743,0.17266834377374,0.030166133230382208,0.005548152483903508,322747,255200,55965,9735,1847,0.7907122297031421,0.17340207654912362,0.03016294496927934,0.00572274877845495,0.004830408958100308
2025-06-01,3753,2609,922,109,113,0.6951771915800693,0.2456701305622169,0.029043431921129764,0.030109245936584067,310443,244938,53123,10474,1908,0.78899508122264,0.171119980157388,0.033738882822289436,0.0061460557976826665,314196,247547,54045,10583,2021,0.7878744477969166,0.17201046480540808,0.03368279672561077,0.006432290672064571,0.011944773326204026
2025-07-01,3846,2281,1333,98,134,0.593083723348934,0.3465938637545502,0.02548101924076963,0.034841393655746226,333069,260117,59338,11498,2116,0.7809703094553981,0.17815527713476786,0.03452137545073243,0.006353037959101568,336915,262398,60671,11596,2250,0.7788255197898579,0.1800780612320615,0.034418176691450364,0.006678242286630159,0.011415342148613151
2025-08-01,5004,2927,1683,140,254,0.5849320543565147,0.3363309352517986,0.027977617905675458,0.05075939248601119,311312,241572,56529,11007,2204,0.7759803669630467,0.18158310633705094,0.03535681245824125,0.007079714241661099,316316,244499,58212,11147,2458,0.7729580546036242,0.18403115871470302,0.035240076379316886,0.007770710302355872,0.015819623414560124
2025-09-01,4798,2973,1476,112,237,0.6196331804918717,0.30762817840766987,0.02334305960817007,0.049395581492288454,325567,258630,53368,11275,2294,0.794398695199452,0.1639232477493112,0.03463188836706423,0.007046168684172536,330365,261603,54844,11387,2531,0.7918605179120064,0.16601032191666792,0.03446793697879618,0.007661223192529475,0.014523330255929048
2025-10-01,6921,4567,1910,214,230,0.6598757404999278,0.2759716803930068,0.030920387227279293,0.033232191879786155,344444,269789,58096,14036,2523,0.7832593977540616,0.16866602408519238,0.04074972999965161,0.007324848161094402,351365,274356,60006,14250,2753,0.7808290524098872,0.17077967355883483,0.04055611685853742,0.007835157172740597,0.01969746559845175
2025-11-01,9414,5727,3059,249,379,0.6083492670490759,0.3249415763756108,0.026449968132568516,0.04025918844274485,309850,241329,51934,13990,2597,0.7788575116992092,0.16761013393577537,0.04515087945780216,0.008381474907213167,319264,247056,54993,14239,2976,0.7738298085596873,0.17224929838628847,0.0445994537436103,0.009321439310413952,0.029486569108950585
2025-12-01,10233,6309,3270,247,407,0.6165347405452947,0.31955438287892113,0.024137594058438384,0.03977328251734584,297701,230395,49449,15171,2686,0.7739140950147967,0.16610290190493146,0.05096052750914508,0.009022475571126735,307934,236704,52719,15418,3093,0.7686841985620295,0.17120227061643079,0.05006917066644151,0.01004436015509817,0.03323114693408328
2026-01-01,13269,8667,3723,393,486,0.6531765769839476,0.2805787926746552,0.029617906398372147,0.036626723943025095,335732,257804,55051,19469,3408,0.7678862902553227,0.1639730499326844,0.0579897060750837,0.010150953736909201,349001,266471,58774,19862,3894,0.763525032879562,0.16840639425101933,0.05691101171629881,0.011157561153119906,0.038019948366910125
2026-02-01,20865,14211,5101,885,668,0.6810927390366642,0.24447639587826503,0.04241552839683681,0.032015336688233885,351436,264250,60499,22576,4111,0.7519150001707281,0.1721479871157195,0.0642392925027601,0.011697720210792292,372301,278461,65600,23461,4779,0.7479458824983011,0.17620151436606402,0.06301621537411933,0.012836387761515548,0.056043362762925694
2026-03-01,30465,21278,6408,1861,918,0.6984408337436402,0.2103397341211226,0.06108649269653701,0.030132939438700147,415436,304814,72491,32296,5835,0.7337207175112412,0.17449378484291203,0.07774001290210766,0.014045484743739107,445901,326092,78899,34157,6753,0.7313103132758169,0.17694286399895942,0.07660220542227983,0.015144617302943928,0.06832234060923838
2026-04-01,28562,20410,4898,2165,1089,0.7145858133183951,0.1714865905748897,0.07580001400462152,0.03812758210209369,394483,289523,61152,36490,7318,0.7339302327349975,0.15501808696445726,0.09250081752572355,0.01855086277482173,423045,309933,66050,38655,8407,0.7326241889160727,0.15612996253353661,0.0913732581640251,0.019872590386365515,0.06751527615265515
2026-05-01,42984,30690,5011,5304,1979,0.7139865996649917,0.11657826167876419,0.12339475153545505,0.04604038712078913,379153,260660,52232,55999,10262,0.6874797245439176,0.13775969067896074,0.14769499384153625,0.02706559093558537,422137,291350,57243,61303,12241,0.6901787808223396,0.13560289668993716,0.1452206274266411,0.028997695061082067,0.1018247630508579
