month,agent_total,agent_merged,agent_closed,agent_open,agent_draft,agent_merged_share,agent_closed_share,agent_open_share,agent_draft_share,human_total,human_merged,human_closed,human_open,human_draft,human_merged_share,human_closed_share,human_open_share,human_draft_share,all_total,all_merged,all_closed,all_open,all_draft,all_merged_share,all_closed_share,all_open_share,all_draft_share,agent_share
2023-01-01,3,0,0,3,0,0.0,0.0,1.0,0.0,360056,291516,60942,6777,821,0.8096407225542693,0.16925700446597197,0.018822072122114338,0.0022802008576443666,360059,291516,60942,6780,821,0.8096339766538262,0.16925559422205805,0.018830247265031564,0.0022801818590842057,8.331967816385647e-06
2023-02-01,0,0,0,0,0,0.0,0.0,0.0,0.0,352893,286536,58958,6526,873,0.8119628329266945,0.16707047178606546,0.01849285760839688,0.0024738376788431622,352893,286536,58958,6526,873,0.8119628329266945,0.16707047178606546,0.01849285760839688,0.0024738376788431622,0.0
2023-03-01,2,0,1,1,0,0.0,0.5,0.5,0.0,399441,323492,66827,8110,1012,0.8098617818401216,0.1673013035717415,0.02030337396511625,0.0025335406230206714,399443,323492,66828,8111,1012,0.8098577268846869,0.16730296938486844,0.020305775792791463,0.002533527937653182,5.006972208800755e-06
2023-04-01,2,1,1,0,0,0.5,0.5,0.0,0.0,341994,278931,55641,6554,868,0.8156020281057562,0.16269583676906613,0.01916407890196904,0.0025380562232085943,341996,278932,55642,6554,868,0.8156001824582744,0.16269780933110328,0.019163966830021403,0.0025380413806009427,5.848021614287887e-06
2023-05-01,1,0,0,0,1,0.0,0.0,0.0,1.0,356613,292383,56496,6768,966,0.8198887870043997,0.1584238376054715,0.018978556586551808,0.0027088188035769866,356614,292383,56496,6768,967,0.819886487911299,0.15842339336088881,0.01897850336778702,0.0027116153600251253,2.80415238885742e-06
2023-06-01,1,0,0,1,0,0.0,0.0,1.0,0.0,347244,281252,57931,7147,914,0.8099549596249324,0.1668308163711972,0.020582069092626512,0.002632154911243967,347245,281252,57931,7148,914,0.8099526271076617,0.166830335929963,0.02058488963124019,0.0026321473311350777,2.879811084392864e-06
2023-07-01,0,0,0,0,0,0.0,0.0,0.0,0.0,338647,274753,56047,6918,929,0.8113256576907517,0.16550272112258488,0.020428351646404663,0.0027432695402587353,338647,274753,56047,6918,929,0.8113256576907517,0.16550272112258488,0.020428351646404663,0.0027432695402587353,0.0
2023-08-01,3,1,1,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,361279,294194,58512,7613,960,0.8143124842573192,0.1619579327887865,0.02107235682118252,0.0026572261327118376,361282,294195,58513,7614,960,0.8143084903205806,0.16195935584944723,0.021074949762235593,0.0026572040677365605,8.303762711676751e-06
2023-09-01,3,0,0,2,1,0.0,0.0,0.6666666666666666,0.3333333333333333,341923,278565,55496,6892,970,0.8147009706863826,0.16230554832520772,0.020156584962111354,0.0028368960262983188,341926,278565,55496,6894,971,0.8146938226399865,0.16230412428420185,0.020162257330533506,0.002839795745278218,8.773828255236513e-06
2023-10-01,4,1,0,2,1,0.25,0.0,0.5,0.25,375430,301592,64283,8441,1114,0.8033241882641238,0.17122499533867833,0.022483552193484805,0.0029672642037130758,375434,301593,64283,8443,1115,0.8033182929622783,0.1712231710500381,0.022488639814188378,0.0029698961734952083,1.0654336048413302e-05
2023-11-01,3,1,1,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,345633,280794,55768,8015,1056,0.8124050654885384,0.16135033402481824,0.02318933666634841,0.003055263820294937,345636,280795,55769,8016,1056,0.8124009073128956,0.16135182677730328,0.023192028608131098,0.0030552373016699648,8.679651425198764e-06
2023-12-01,3,1,0,2,0,0.3333333333333333,0.0,0.6666666666666666,0.0,292938,237714,47079,7212,933,0.8114822931814923,0.16071318845626037,0.02461954406734531,0.0031849742949019927,292941,237715,47079,7214,933,0.8114773964723272,0.16071154259731482,0.02462611925268228,0.0031849416776757095,1.0240970024680738e-05
2024-01-01,1,0,0,1,0,0.0,0.0,1.0,0.0,348005,283223,56232,7396,1154,0.8138475021910605,0.16158388528900447,0.021252568210226863,0.0033160443097081937,348006,283223,56232,7397,1154,0.8138451635891335,0.16158342097550044,0.021255380654356535,0.003316034781009523,2.8735136750515795e-06
2024-02-01,4,0,1,3,0,0.0,0.25,0.75,0.0,349152,277469,62980,7533,1170,0.79469400146641,0.1803798918522592,0.021575130602144624,0.0033509760791861423,349156,277469,62981,7536,1170,0.7946848972951919,0.1803806894339493,0.021583475581115605,0.0033509376897432664,1.145619722989151e-05
2024-03-01,4,2,0,1,1,0.5,0.0,0.25,0.25,359727,282496,68306,7740,1185,0.7853066353095541,0.18988288340880724,0.021516316540042865,0.0032941647415957102,359731,282498,68306,7741,1186,0.7853034628653077,0.18988077202131592,0.02151885714603412,0.003296907967342264,1.1119419788675427e-05
2024-04-01,1,0,0,0,1,0.0,0.0,0.0,1.0,356129,275318,71847,7734,1230,0.7730850337939342,0.20174431175220214,0.021716849793192917,0.003453804660670712,356130,275318,71847,7734,1231,0.7730828629994665,0.2017437452615618,0.021716788813073876,0.0034566029258978463,2.8079633841574704e-06
2024-05-01,2,1,0,1,0,0.5,0.0,0.5,0.0,343284,275790,57594,8659,1241,0.8033872828328731,0.16777362184080818,0.025224012770767062,0.0036150825555516714,343286,275791,57594,8660,1241,0.8033855152846314,0.16777264438398304,0.025226778837470796,0.003615061493914695,5.826045920893949e-06
2024-06-01,3,0,0,2,1,0.0,0.0,0.6666666666666666,0.3333333333333333,314390,253096,53030,7154,1110,0.8050383281911002,0.16867584846846273,0.02275517669137059,0.003530646649066446,314393,253096,53030,7156,1111,0.8050306463566301,0.16867423893025607,0.022761321021778476,0.003533793691335367,9.542197186324123e-06
2024-07-01,6,2,1,3,0,0.3333333333333333,0.16666666666666666,0.5,0.0,336209,271841,54896,8178,1294,0.8085476593428492,0.16327938871356804,0.02432415551041168,0.0038487964331710336,336215,271843,54897,8181,1294,0.8085391787992802,0.16327944916199455,0.024332644290111984,0.0038487277486132384,1.7845723718453966e-05
2024-08-01,5,2,1,1,1,0.4,0.2,0.2,0.2,324076,261585,53554,7493,1444,0.8071717745220257,0.16525136079191302,0.023121119737345562,0.004455744948715734,324081,261587,53555,7494,1445,0.8071654925774729,0.16525189690231762,0.023123848667462765,0.0044587618527466896,1.542824170500585e-05
2024-09-01,0,0,0,0,0,0.0,0.0,0.0,0.0,329447,261877,57421,8844,1305,0.794898724225748,0.17429510664841386,0.026844985688138,0.003961183437700146,329447,261877,57421,8844,1305,0.794898724225748,0.17429510664841386,0.026844985688138,0.003961183437700146,0.0
2024-10-01,4,2,2,0,0,0.5,0.5,0.0,0.0,358861,284423,63956,9049,1433,0.7925714970420302,0.17821942200462018,0.02521589138970242,0.0039931895636472065,358865,284425,63958,9049,1433,0.7925682359661711,0.17822300865227872,0.02521561032700319,0.003993145054546975,1.1146252769147172e-05
2024-11-01,8,3,0,3,2,0.375,0.0,0.375,0.25,313754,252955,51354,8096,1349,0.8062207971850558,0.16367600094341428,0.02580365509284344,0.004299546778686487,313762,252958,51354,8099,1351,0.8062098023342533,0.16367182769105246,0.025812558563497172,0.004305811411197022,2.54970327828099e-05
2024-12-01,6,2,1,2,1,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,295373,237321,48794,7892,1366,0.803462063221757,0.16519451676354982,0.026718758992866645,0.00462466102182664,295379,237323,48795,7894,1367,0.8034525135503878,0.1651945466671632,0.026724987219809128,0.004627952562639863,2.0312886156429535e-05
2025-01-01,5,5,0,0,0,1.0,0.0,0.0,0.0,338040,273241,55176,8045,1578,0.808309667494971,0.16322328718494852,0.023798958703112057,0.004668086616968406,338045,273246,55176,8045,1578,0.8083125027732995,0.1632208729607005,0.02379860669437501,0.00466801757162508,1.4790930201600379e-05
2025-02-01,6,1,0,4,1,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,339136,267268,61957,8353,1558,0.7880850160407624,0.18269071994715985,0.024630236837139084,0.004594027174938667,339142,267269,61957,8357,1559,0.7880740220910415,0.18268748783695327,0.024641595555843866,0.004596894516161372,1.7691704359825677e-05
2025-03-01,11,6,1,3,1,0.5454545454545454,0.09090909090909091,0.2727272727272727,0.09090909090909091,384430,296670,75816,10105,1839,0.7717139661316754,0.19721665842936295,0.026285669692791926,0.004783705746169654,384441,296676,75817,10108,1840,0.771707492176953,0.19721361665379084,0.026292721119755696,0.004786170049500444,2.8612973122013522e-05
2025-04-01,7,1,1,4,1,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285,326287,260725,54592,9143,1827,0.799066466025309,0.16731282582511714,0.028021343173341262,0.005599364976232581,326294,260726,54593,9147,1828,0.7990523883368986,0.16731230117623982,0.02803300091328679,0.005602309573574752,2.1453045413032417e-05
2025-05-01,1559,942,506,46,65,0.6042334830019244,0.32456703014753047,0.029506093649775498,0.04169339320076972,321188,254258,55459,9689,1782,0.7916173705119743,0.17266834377374,0.030166133230382208,0.005548152483903508,322747,255200,55965,9735,1847,0.7907122297031421,0.17340207654912362,0.03016294496927934,0.00572274877845495,0.004830408958100308
2025-06-01,3753,2609,922,109,113,0.6951771915800693,0.2456701305622169,0.029043431921129764,0.030109245936584067,310443,244938,53123,10474,1908,0.78899508122264,0.171119980157388,0.033738882822289436,0.0061460557976826665,314196,247547,54045,10583,2021,0.7878744477969166,0.17201046480540808,0.03368279672561077,0.006432290672064571,0.011944773326204026
2025-07-01,3846,2281,1333,98,134,0.593083723348934,0.3465938637545502,0.02548101924076963,0.034841393655746226,333069,260117,59338,11498,2116,0.7809703094553981,0.17815527713476786,0.03452137545073243,0.006353037959101568,336915,262398,60671,11596,2250,0.7788255197898579,0.1800780612320615,0.034418176691450364,0.006678242286630159,0.011415342148613151
2025-08-01,5004,2927,1683,140,254,0.5849320543565147,0.3363309352517986,0.027977617905675458,0.05075939248601119,311312,241572,56529,11007,2204,0.7759803669630467,0.18158310633705094,0.03535681245824125,0.007079714241661099,316316,244499,58212,11147,2458,0.7729580546036242,0.18403115871470302,0.035240076379316886,0.007770710302355872,0.015819623414560124
2025-09-01,4798,2973,1476,112,237,0.6196331804918717,0.30762817840766987,0.02334305960817007,0.049395581492288454,325567,258630,53368,11275,2294,0.794398695199452,0.1639232477493112,0.03463188836706423,0.007046168684172536,330365,261603,54844,11387,2531,0.7918605179120064,0.16601032191666792,0.03446793697879618,0.007661223192529475,0.014523330255929048
2025-10-01,6921,4567,1910,214,230,0.6598757404999278,0.2759716803930068,0.030920387227279293,0.033232191879786155,344444,269789,58096,14036,2523,0.7832593977540616,0.16866602408519238,0.04074972999965161,0.007324848161094402,351365,274356,60006,14250,2753,0.7808290524098872,0.17077967355883483,0.04055611685853742,0.007835157172740597,0.01969746559845175
2025-11-01,9414,5727,3059,249,379,0.6083492670490759,0.3249415763756108,0.026449968132568516,0.04025918844274485,309850,241329,51934,13990,2597,0.7788575116992092,0.16761013393577537,0.04515087945780216,0.008381474907213167,319264,247056,54993,14239,2976,0.7738298085596873,0.17224929838628847,0.0445994537436103,0.009321439310413952,0.029486569108950585
2025-12-01,10233,6309,3270,247,407,0.6165347405452947,0.31955438287892113,0.024137594058438384,0.03977328251734584,297701,230395,49449,15171,2686,0.7739140950147967,0.16610290190493146,0.05096052750914508,0.009022475571126735,307934,236704,52719,15418,3093,0.7686841985620295,0.17120227061643079,0.05006917066644151,0.01004436015509817,0.03323114693408328
2026-01-01,13269,8667,3723,393,486,0.6531765769839476,0.2805787926746552,0.029617906398372147,0.036626723943025095,335732,257804,55051,19469,3408,0.7678862902553227,0.1639730499326844,0.0579897060750837,0.010150953736909201,349001,266471,58774,19862,3894,0.763525032879562,0.16840639425101933,0.05691101171629881,0.011157561153119906,0.038019948366910125
2026-02-01,20865,14211,5101,885,668,0.6810927390366642,0.24447639587826503,0.04241552839683681,0.032015336688233885,351436,264250,60499,22576,4111,0.7519150001707281,0.1721479871157195,0.0642392925027601,0.011697720210792292,372301,278461,65600,23461,4779,0.7479458824983011,0.17620151436606402,0.06301621537411933,0.012836387761515548,0.056043362762925694
2026-03-01,30465,21278,6408,1861,918,0.6984408337436402,0.2103397341211226,0.06108649269653701,0.030132939438700147,415436,304814,72491,32296,5835,0.7337207175112412,0.17449378484291203,0.07774001290210766,0.014045484743739107,445901,326092,78899,34157,6753,0.7313103132758169,0.17694286399895942,0.07660220542227983,0.015144617302943928,0.06832234060923838
2026-04-01,28562,20410,4898,2165,1089,0.7145858133183951,0.1714865905748897,0.07580001400462152,0.03812758210209369,394483,289523,61152,36490,7318,0.7339302327349975,0.15501808696445726,0.09250081752572355,0.01855086277482173,423045,309933,66050,38655,8407,0.7326241889160727,0.15612996253353661,0.0913732581640251,0.019872590386365515,0.06751527615265515
2026-05-01,42984,30690,5011,5304,1979,0.7139865996649917,0.11657826167876419,0.12339475153545505,0.04604038712078913,379153,260660,52232,55999,10262,0.6874797245439176,0.13775969067896074,0.14769499384153625,0.02706559093558537,422137,291350,57243,61303,12241,0.6901787808223396,0.13560289668993716,0.1452206274266411,0.028997695061082067,0.1018247630508579
