month,agent_total,agent_merged,agent_closed,agent_open,agent_draft,agent_merged_share,agent_closed_share,agent_open_share,agent_draft_share,human_total,human_merged,human_closed,human_open,human_draft,human_merged_share,human_closed_share,human_open_share,human_draft_share,all_total,all_merged,all_closed,all_open,all_draft,all_merged_share,all_closed_share,all_open_share,all_draft_share,agent_share
2025-05-01,1549,936,502,46,65,0.6042608134280181,0.3240800516462234,0.029696578437701744,0.04196255648805681,319797,253045,54798,10062,1892,0.791267585374472,0.17135245171155453,0.0314637097908986,0.005916253123074951,321346,253981,55300,10108,1957,0.7903661473925302,0.1720886521070746,0.031455191600331105,0.006090008900064106,0.004820349405313899
2025-06-01,3751,2608,920,108,115,0.6952812583311117,0.24526792855238602,0.02879232204745401,0.030658491069048253,310816,245110,52828,10853,2025,0.7886016163904046,0.16996551014104808,0.03491776485123031,0.006515108617316998,314567,247718,53748,10961,2140,0.787488833857334,0.1708634408567968,0.03484472306376702,0.006803002222102127,0.011924327726684617
2025-07-01,3839,2275,1328,96,140,0.59260224016671,0.3459234175566554,0.025006512112529303,0.036467830164105236,333473,260258,58964,11997,2254,0.7804469927100545,0.17681791329432966,0.03597592608696956,0.006759167908646277,337312,262533,60292,12093,2394,0.7783091025519401,0.17874252917180533,0.03585108149131961,0.007097286784935016,0.011381154539417513
2025-08-01,4993,2916,1664,141,272,0.5840176246745443,0.3332665732024835,0.028239535349489284,0.05447626677348288,311721,241695,56126,11580,2320,0.7753568094546085,0.18005203370963138,0.03714860404015129,0.007442552795608894,316714,244611,57790,11721,2592,0.7723403449168651,0.18246746275819825,0.03700815246563145,0.00818403985930524,0.015765011966632356
2025-09-01,4790,2967,1456,112,255,0.6194154488517746,0.30396659707724427,0.02338204592901879,0.05323590814196242,325895,258629,52886,11941,2439,0.7935960969023765,0.16227926172540236,0.0366406357876003,0.007484005584620814,330685,261596,54342,12053,2694,0.791073075585527,0.16433161467862165,0.03644858399987904,0.0081467257359723,0.014485083992318975
2025-10-01,6913,4561,1893,210,249,0.6597714451034283,0.27383191089252135,0.030377549544336756,0.03601909445971358,344890,269775,57463,14933,2719,0.7822059207283482,0.16661254312969354,0.04329786308678129,0.007883673055177013,351803,274336,59356,15143,2968,0.7798000585554984,0.1687194253602158,0.04304397631629065,0.008436539767995157,0.019650201959619445
2025-11-01,9374,5712,3029,231,402,0.6093449967996586,0.32312780029869853,0.024642628547045017,0.042884574354597825,310260,241199,51047,15149,2865,0.777409269644814,0.16452974924257074,0.04882679043382969,0.009234190678785534,319634,246911,54076,15380,3267,0.7724803994568789,0.16918100076963027,0.04811753443000432,0.010221065343486612,0.02932729309147337
2025-12-01,10207,6289,3222,268,428,0.6161457823062604,0.3156657196041932,0.026256490643675908,0.04193200744587048,297998,230054,48305,16624,3015,0.7719984697883878,0.1620984033449889,0.05578560929939127,0.010117517567231995,308205,236343,51527,16892,3443,0.7668370078356938,0.1671841793611395,0.05480767670868415,0.01117113609448257,0.033117567852565664
2026-01-01,13210,8614,3643,412,541,0.6520817562452688,0.275775927327782,0.031188493565480698,0.040953822861468585,336147,257290,53376,21643,3838,0.7654091811023154,0.15878767325009593,0.06438552181039843,0.011417623837190277,349357,265904,57019,22055,4379,0.7611240078200809,0.16321127099213698,0.06313026502975466,0.012534456158027462,0.037812323783407806
2026-02-01,20774,14134,4954,947,739,0.6803696928853374,0.23847116588042747,0.0455858284393954,0.035573312794839704,351568,262833,57996,25930,4809,0.7476021708460383,0.16496381923269468,0.07375529058389842,0.013678719337368589,372342,276967,62950,26877,5548,0.7438510831439913,0.16906499938228833,0.0721836376234752,0.014900279850245205,0.05579279264761966
2026-03-01,30179,20979,6088,2033,1079,0.695152258192783,0.20172967957851487,0.06736472381457305,0.03575333841412903,415499,301247,68462,38633,7157,0.7250246089641612,0.1647705529977208,0.09297976649763297,0.017225071540485054,445678,322226,74550,40666,8236,0.7230018084805622,0.167273233141416,0.0912452488119225,0.018479709566099293,0.06771480755164042
