month,agent_total,agent_merged,agent_closed,agent_open,agent_draft,agent_merged_share,agent_closed_share,agent_open_share,agent_draft_share,human_total,human_merged,human_closed,human_open,human_draft,human_merged_share,human_closed_share,human_open_share,human_draft_share,all_total,all_merged,all_closed,all_open,all_draft,all_merged_share,all_closed_share,all_open_share,all_draft_share,agent_share,imputed
2025-05-01,1550,938,502,45,65,0.6051612903225806,0.3238709677419354,0.0290322580645161,0.0419354838709677,319549,252943,54989,9791,1826,0.7915624833750067,0.1720831546961498,0.0306400583322119,0.0057143035966315,321099,253881,55491,9836,1891,0.7906626928143656,0.1728158605289957,0.030632297204289,0.0058891494523495,0.0048271716822537,False
2025-06-01,3752,2609,922,108,113,0.695362473347548,0.2457356076759062,0.0287846481876332,0.0301172707889125,310633,245057,52995,10612,1969,0.7888955777396478,0.170603252069162,0.0341625004426445,0.0063386697485457,314385,247666,53917,10720,2082,0.7877793151708892,0.1714999125276333,0.034098318940153,0.0066224533613244,0.0119344116290535,False
2025-07-01,3838,2278,1330,95,135,0.5935383011985409,0.3465346534653465,0.0247524752475247,0.0351745700885878,333221,260170,59173,11687,2191,0.7807731205416225,0.1775788440704517,0.035072819540185,0.0065752158477406,337059,262448,60503,11782,2326,0.7786411281111022,0.1795026983406465,0.0349553045609225,0.0069008689873286,0.0113867305130555,False
2025-08-01,4999,2921,1679,141,258,0.5843168633726745,0.3358671734346869,0.0282056411282256,0.0516103220644128,311479,241631,56391,11217,2240,0.775753742627914,0.1810427027183213,0.0360120585978509,0.0071914960559138,316478,244552,58070,11358,2498,0.7727298579996081,0.1834882677468892,0.0358887505608604,0.0078931236926421,0.0157957267171809,False
2025-09-01,4796,2974,1470,110,242,0.6201000834028357,0.3065054211843203,0.0229357798165137,0.0504587155963302,325724,258664,53174,11534,2352,0.7941201753631909,0.1632486399528435,0.0354103474106912,0.0072208372732743,330520,261638,54644,11644,2594,0.7915950623260317,0.1653273629432409,0.0352293355923998,0.0078482391383274,0.0145104683528984,False
2025-10-01,6917,4566,1899,212,240,0.6601127656498482,0.2745409859765794,0.0306491253433569,0.0346971230302154,344625,269809,57854,14359,2603,0.7829060573086688,0.1678752266956837,0.0416655785273848,0.0075531374682626,351542,274375,59753,14571,2843,0.7804899556809712,0.1699740002617041,0.0414488169265692,0.0080872271307553,0.0196761695615317,False
2025-11-01,9394,5721,3047,241,385,0.6090057483500106,0.3243559718969555,0.0256546731956568,0.040983606557377,310080,241366,51659,14367,2688,0.7783991228070175,0.1665989422084623,0.0463332043343653,0.0086687306501548,319474,247087,54706,14608,3073,0.7734181811352411,0.1712377220055466,0.0457251607329547,0.0096189361262575,0.0294045837845959,False
2025-12-01,10220,6301,3242,264,413,0.6165362035225049,0.3172211350293542,0.0258317025440313,0.0404109589041095,297871,230329,49018,15680,2844,0.7732508367716227,0.1645611690966895,0.0526402368810659,0.0095477572506219,308091,236630,52260,15944,3257,0.7680522962371508,0.169625208136557,0.0517509437146817,0.0105715519116105,0.0331720173585077,False
2026-01-01,13239,8645,3690,394,510,0.6529949391948032,0.2787219578518015,0.0297605559332275,0.0385225470201676,335911,257663,54549,20119,3580,0.767057345546886,0.1623912286290118,0.0598938409281029,0.0106575848959992,349150,266308,58239,20513,4090,0.7627323499928398,0.1668022339968494,0.0587512530431046,0.011714162967206,0.0379178003723328,False
2026-02-01,20822,14189,5051,895,687,0.6814427048314283,0.242579963500144,0.0429833829603304,0.0329939487080972,351640,263926,59667,23685,4362,0.7505573882379707,0.1696820611989535,0.0673558184506882,0.0124047321123876,372462,278115,64718,24580,5049,0.7466936224366513,0.1737573228946845,0.0659933093845815,0.0135557452840826,0.0559036895038957,False
2026-03-01,30391,21198,6319,1903,971,0.6975091309927282,0.2079233983745187,0.0626172222039419,0.0319502484288111,415707,303926,71154,34321,6306,0.7311062839932934,0.1711638245206359,0.0825605534667446,0.0151693380193261,446098,325124,77473,36224,7277,0.7288174347340719,0.1736681177678447,0.0812018883743034,0.0163125591237799,0.0681262861523701,False
2026-04-01,28342,20239,4715,2231,1157,0.7140992167101827,0.1663608778491285,0.0787170982993437,0.040822807141345,394970,287314,59042,40501,8113,0.7274324632250551,0.1494847709952654,0.1025419652125477,0.0205408005671316,423312,307553,63757,42732,9270,0.7265397626337076,0.1506146766451222,0.1009468193672752,0.021898741353895,0.066952980307669,False
2026-05-01,39127,25814,4407,6466,2440,0.6597490224141896,0.11263322002709127,0.16525672809057684,0.062361029468142204,382041,246017,46412,75566,14046,0.6439544446800213,0.12148434330346743,0.19779552456411748,0.03676568745239385,421168,271831,50819,82032,16486,0.6454217794324355,0.12066206359457508,0.19477263229875014,0.03914352467423926,0.09290117007939824,True
