granularity,period,sector,n_agent,openalex_ai
year,2020,All,368,421150
year,2020,Computer Science,271,421150
year,2020,Social Sciences,70,421150
year,2020,Engineering,97,421150
year,2020,Decision Sciences,22,421150
year,2020,Medicine,15,421150
year,2020,Psychology,38,421150
year,2020,"Business, Management and Accounting",15,421150
year,2020,Neuroscience,22,421150
year,2021,All,500,427508
year,2021,Computer Science,384,427508
year,2021,Social Sciences,91,427508
year,2021,Engineering,152,427508
year,2021,Decision Sciences,39,427508
year,2021,Medicine,21,427508
year,2021,Psychology,64,427508
year,2021,"Business, Management and Accounting",20,427508
year,2021,Neuroscience,35,427508
year,2022,All,523,421930
year,2022,Computer Science,373,421930
year,2022,Social Sciences,112,421930
year,2022,Engineering,112,421930
year,2022,Decision Sciences,53,421930
year,2022,Medicine,25,421930
year,2022,Psychology,75,421930
year,2022,"Business, Management and Accounting",34,421930
year,2022,Neuroscience,47,421930
year,2023,All,941,485942
year,2023,Computer Science,701,485942
year,2023,Social Sciences,178,485942
year,2023,Engineering,160,485942
year,2023,Decision Sciences,91,485942
year,2023,Medicine,47,485942
year,2023,Psychology,130,485942
year,2023,"Business, Management and Accounting",50,485942
year,2023,Neuroscience,51,485942
year,2024,All,3156,497199
year,2024,Computer Science,2321,497199
year,2024,Social Sciences,501,497199
year,2024,Engineering,601,497199
year,2024,Decision Sciences,329,497199
year,2024,Medicine,165,497199
year,2024,Psychology,231,497199
year,2024,"Business, Management and Accounting",301,497199
year,2024,Neuroscience,83,497199
year,2025,All,16541,635202
year,2025,Computer Science,12472,635202
year,2025,Social Sciences,3101,635202
year,2025,Engineering,2631,635202
year,2025,Decision Sciences,1915,635202
year,2025,Medicine,1626,635202
year,2025,Psychology,1270,635202
year,2025,"Business, Management and Accounting",1354,635202
year,2025,Neuroscience,702,635202
year,2026,All,10396,259409
year,2026,Computer Science,8830,259409
year,2026,Social Sciences,2772,259409
year,2026,Engineering,1322,259409
year,2026,Decision Sciences,1244,259409
year,2026,Medicine,1014,259409
year,2026,Psychology,930,259409
year,2026,"Business, Management and Accounting",509,259409
year,2026,Neuroscience,598,259409
quarter,2020Q1,All,107,167495
quarter,2020Q1,Computer Science,79,167495
quarter,2020Q1,Social Sciences,17,167495
quarter,2020Q1,Engineering,33,167495
quarter,2020Q1,Decision Sciences,10,167495
quarter,2020Q1,Medicine,3,167495
quarter,2020Q1,Psychology,7,167495
quarter,2020Q1,"Business, Management and Accounting",6,167495
quarter,2020Q1,Neuroscience,4,167495
quarter,2020Q2,All,81,78598
quarter,2020Q2,Computer Science,60,78598
quarter,2020Q2,Social Sciences,15,78598
quarter,2020Q2,Engineering,21,78598
quarter,2020Q2,Decision Sciences,5,78598
quarter,2020Q2,Medicine,1,78598
quarter,2020Q2,Psychology,6,78598
quarter,2020Q2,"Business, Management and Accounting",3,78598
quarter,2020Q2,Neuroscience,5,78598
quarter,2020Q3,All,81,78860
quarter,2020Q3,Computer Science,59,78860
quarter,2020Q3,Social Sciences,22,78860
quarter,2020Q3,Engineering,22,78860
quarter,2020Q3,Decision Sciences,3,78860
quarter,2020Q3,Medicine,7,78860
quarter,2020Q3,Psychology,13,78860
quarter,2020Q3,"Business, Management and Accounting",4,78860
quarter,2020Q3,Neuroscience,7,78860
quarter,2020Q4,All,99,96197
quarter,2020Q4,Computer Science,73,96197
quarter,2020Q4,Social Sciences,16,96197
quarter,2020Q4,Engineering,21,96197
quarter,2020Q4,Decision Sciences,4,96197
quarter,2020Q4,Medicine,4,96197
quarter,2020Q4,Psychology,12,96197
quarter,2020Q4,"Business, Management and Accounting",2,96197
quarter,2020Q4,Neuroscience,6,96197
quarter,2021Q1,All,125,163226
quarter,2021Q1,Computer Science,92,163226
quarter,2021Q1,Social Sciences,21,163226
quarter,2021Q1,Engineering,43,163226
quarter,2021Q1,Decision Sciences,6,163226
quarter,2021Q1,Medicine,7,163226
quarter,2021Q1,Psychology,14,163226
quarter,2021Q1,"Business, Management and Accounting",7,163226
quarter,2021Q1,Neuroscience,10,163226
quarter,2021Q2,All,123,87061
quarter,2021Q2,Computer Science,95,87061
quarter,2021Q2,Social Sciences,24,87061
quarter,2021Q2,Engineering,32,87061
quarter,2021Q2,Decision Sciences,13,87061
quarter,2021Q2,Medicine,5,87061
quarter,2021Q2,Psychology,11,87061
quarter,2021Q2,"Business, Management and Accounting",4,87061
quarter,2021Q2,Neuroscience,8,87061
quarter,2021Q3,All,104,83608
quarter,2021Q3,Computer Science,88,83608
quarter,2021Q3,Social Sciences,23,83608
quarter,2021Q3,Engineering,30,83608
quarter,2021Q3,Decision Sciences,8,83608
quarter,2021Q3,Medicine,1,83608
quarter,2021Q3,Psychology,15,83608
quarter,2021Q3,"Business, Management and Accounting",2,83608
quarter,2021Q3,Neuroscience,7,83608
quarter,2021Q4,All,148,93613
quarter,2021Q4,Computer Science,109,93613
quarter,2021Q4,Social Sciences,23,93613
quarter,2021Q4,Engineering,47,93613
quarter,2021Q4,Decision Sciences,12,93613
quarter,2021Q4,Medicine,8,93613
quarter,2021Q4,Psychology,24,93613
quarter,2021Q4,"Business, Management and Accounting",7,93613
quarter,2021Q4,Neuroscience,10,93613
quarter,2022Q1,All,148,156187
quarter,2022Q1,Computer Science,100,156187
quarter,2022Q1,Social Sciences,39,156187
quarter,2022Q1,Engineering,29,156187
quarter,2022Q1,Decision Sciences,14,156187
quarter,2022Q1,Medicine,5,156187
quarter,2022Q1,Psychology,25,156187
quarter,2022Q1,"Business, Management and Accounting",14,156187
