period,sector,agent_share
2020Q1,All,0.0006388250395534196
2020Q1,Computer Science,0.0004716558703244873
2020Q1,Social Sciences,0.00010149556703185169
2020Q1,Engineering,0.00019702080659124153
2020Q1,Decision Sciences,5.9703274724618645e-05
2020Q1,Medicine,1.7910982417385594e-05
2020Q1,Psychology,4.1792292307233054e-05
2020Q1,"Business, Management and Accounting",3.582196483477119e-05
2020Q1,Neuroscience,2.3881309889847457e-05
2020Q2,All,0.0010305605740604086
2020Q2,Computer Science,0.0007633782030077101
2020Q2,Social Sciences,0.00019084455075192753
2020Q2,Engineering,0.0002671823710526985
2020Q2,Decision Sciences,6.361485025064251e-05
2020Q2,Medicine,1.2722970050128502e-05
2020Q2,Psychology,7.6337820300771e-05
2020Q2,"Business, Management and Accounting",3.81689101503855e-05
2020Q2,Neuroscience,6.361485025064251e-05
2020Q3,All,0.0010271366979457267
2020Q3,Computer Science,0.0007481612985036774
2020Q3,Social Sciences,0.0002789753994420492
2020Q3,Engineering,0.0002789753994420492
2020Q3,Decision Sciences,3.80420999239158e-05
2020Q3,Medicine,8.87648998224702e-05
2020Q3,Psychology,0.0001648490996703018
2020Q3,"Business, Management and Accounting",5.07227998985544e-05
2020Q3,Neuroscience,8.87648998224702e-05
2020Q4,All,0.0010291381228104827
2020Q4,Computer Science,0.0007588594238905579
2020Q4,Social Sciences,0.00016632535318149215
2020Q4,Engineering,0.00021830202605070844
2020Q4,Decision Sciences,4.158133829537304e-05
2020Q4,Medicine,4.158133829537304e-05
2020Q4,Psychology,0.00012474401488611912
2020Q4,"Business, Management and Accounting",2.079066914768652e-05
2020Q4,Neuroscience,6.237200744305956e-05
2021Q1,All,0.0007658093686054917
2021Q1,Computer Science,0.0005636356952936419
2021Q1,Social Sciences,0.00012865597392572263
2021Q1,Engineering,0.00026343842280028914
2021Q1,Decision Sciences,3.6758849693063606e-05
2021Q1,Medicine,4.288532464190754e-05
2021Q1,Psychology,8.577064928381508e-05
2021Q1,"Business, Management and Accounting",4.288532464190754e-05
2021Q1,Neuroscience,6.126474948843934e-05
2021Q2,All,0.0014128025177748934
2021Q2,Computer Science,0.001091188936492804
2021Q2,Social Sciences,0.0002756687839560768
2021Q2,Engineering,0.00036755837860810237
2021Q2,Decision Sciences,0.00014932059130954157
2021Q2,Medicine,5.7430996657515995e-05
2021Q2,Psychology,0.00012634819264653518
2021Q2,"Business, Management and Accounting",4.5944797326012796e-05
2021Q2,Neuroscience,9.188959465202559e-05
2021Q3,All,0.0012439001052530858
2021Q3,Computer Science,0.0010525308582910726
