market,round_type,n_rounds,usd_total,syndication_share_rounds,syndication_share_usd,fragmentation_share_rounds,fragmentation_share_usd
US (states),Pre-Seed,11856,8416623238,0.2684,0.4688,0.4755,0.4331
US (states),Seed,27326,92978425015,0.4577,0.6256,0.3847,0.4359
US (states),Series A,14050,262332865868,0.6019,0.6762,0.3579,0.5083
US (states),Series B,7292,283911337917,0.6648,0.7633,0.3389,0.4872
US (states),Series C,3457,232886261861,0.7142,0.8098,0.3205,0.4993
US (states),Series D+,2933,399349743260,0.7204,0.8143,0.3386,0.4716
US (states),Corporate,558,110553537545,0.0932,0.0586,0.7849,0.5417
US (states),Series (unknown),6566,199035568336,0.3468,0.6201,0.5449,0.523
US (states),Other,2,10486198978,1.0,1.0,0.0,0.3579
EU-27 (member states),Pre-Seed,5387,3326286056,0.1168,0.2883,0.3106,0.1464
EU-27 (member states),Seed,11729,25620734762,0.1692,0.3019,0.1994,0.1548
EU-27 (member states),Series A,3729,44746274622,0.3162,0.4166,0.1853,0.176
EU-27 (member states),Series B,1389,46112391601,0.414,0.5103,0.2052,0.1763
EU-27 (member states),Series C,503,36880763813,0.4235,0.5028,0.2485,0.1429
EU-27 (member states),Series D+,297,41650861127,0.3367,0.3151,0.3502,0.1269
EU-27 (member states),Corporate,244,9271598858,0.0246,0.1534,0.5697,0.3062
EU-27 (member states),Series (unknown),4157,54616727889,0.1431,0.2649,0.2033,0.1914
EU+ (EU-27 + UK + EFTA),Pre-Seed,8244,5388664262,0.151,0.3665,0.336,0.2193
EU+ (EU-27 + UK + EFTA),Seed,19000,42163158667,0.2187,0.3799,0.2057,0.2101
EU+ (EU-27 + UK + EFTA),Series A,5974,76550678986,0.3848,0.4827,0.2084,0.2474
EU+ (EU-27 + UK + EFTA),Series B,2247,75958263612,0.5024,0.5801,0.2279,0.2651
EU+ (EU-27 + UK + EFTA),Series C,841,58730994964,0.5232,0.5963,0.2568,0.2362
EU+ (EU-27 + UK + EFTA),Series D+,481,62433207607,0.526,0.5516,0.3243,0.2491
EU+ (EU-27 + UK + EFTA),Corporate,430,18779060031,0.0419,0.1084,0.5558,0.2814
EU+ (EU-27 + UK + EFTA),Series (unknown),6473,92568835654,0.1808,0.3022,0.2133,0.2509
