iso_a,iso_b,country_a,country_b,joint_rounds,joint_usd,rounds_a,rounds_b,coinvest_rate
US,US,United States,United States,56587,1658358029365,99925,99925,0.5663
US,XX,United States,Rest of world,30824,1110234455112,99925,,0.3085
GB,US,United Kingdom,United States,11625,572125977721,24190,99925,0.1033
GB,XX,United Kingdom,Rest of world,7164,407722198004,24190,,0.2962
GB,GB,United Kingdom,United Kingdom,6859,163632352159,24190,24190,0.2835
DE,US,Germany,United States,5386,162853691105,10360,99925,0.0513
FR,FR,France,France,3718,58807212352,9141,9141,0.4067
FR,US,France,United States,3577,126239839177,9141,99925,0.0339
DE,XX,Germany,Rest of world,3141,100962127171,10360,,0.3032
DE,DE,Germany,Germany,3125,50900686833,10360,10360,0.3016
DE,GB,Germany,United Kingdom,2785,83770130012,10360,24190,0.0877
CH,US,Switzerland,United States,2642,116102915496,5094,99925,0.0258
NL,US,Netherlands,United States,2229,80640401725,4832,99925,0.0217
FR,XX,France,Rest of world,1892,79961196384,9141,,0.207
FR,GB,France,United Kingdom,1787,63373552837,9141,24190,0.0567
CH,XX,Switzerland,Rest of world,1696,75110738062,5094,,0.3329
NL,XX,Netherlands,Rest of world,1544,56732497233,4832,,0.3195
ES,ES,Spain,Spain,1270,8481206585,3895,3895,0.3261
ES,US,Spain,United States,1246,65244660098,3895,99925,0.0121
CH,GB,Switzerland,United Kingdom,1226,51172006462,5094,24190,0.0437
SE,US,Sweden,United States,1215,49592426504,3463,99925,0.0119
CH,DE,Switzerland,Germany,1124,36613079731,5094,10360,0.0784
GB,NL,United Kingdom,Netherlands,1116,39887243399,24190,4832,0.04
DE,FR,Germany,France,1078,33956807211,10360,9141,0.0585
SE,SE,Sweden,Sweden,1009,16880615558,3463,3463,0.2914
CH,CH,Switzerland,Switzerland,914,17662837951,5094,5094,0.1794
LU,US,Luxembourg,United States,819,42830164113,1521,99925,0.0081
ES,XX,Spain,Rest of world,814,55953390248,3895,,0.209
BE,US,Belgium,United States,806,27890013811,2578,99925,0.0079
NL,NL,Netherlands,Netherlands,805,16324073727,4832,4832,0.1666
GB,SE,United Kingdom,Sweden,791,33488521135,24190,3463,0.0294
DK,US,Denmark,United States,787,35470761411,1707,99925,0.0078
IT,IT,Italy,Italy,723,47451827788,2326,2326,0.3108
DE,NL,Germany,Netherlands,682,22910306030,10360,4832,0.047
SE,XX,Sweden,Rest of world,627,28645230928,3463,,0.1811
ES,GB,Spain,United Kingdom,626,55331105127,3895,24190,0.0228
IT,US,Italy,United States,618,68359946039,2326,99925,0.0061
CH,FR,Switzerland,France,583,20901286247,5094,9141,0.0427
IE,US,Ireland,United States,577,14486800520,1263,99925,0.0057
BE,BE,Belgium,Belgium,563,6310254014,2578,2578,0.2184
LU,XX,Luxembourg,Rest of world,550,33976997422,1521,,0.3616
BE,XX,Belgium,Rest of world,522,20095578531,2578,,0.2025
DE,SE,Germany,Sweden,511,19500160980,10360,3463,0.0384
AT,US,Austria,United States,496,8563315647,1168,99925,0.0049
BE,FR,Belgium,France,491,12452012706,2578,9141,0.0437
FR,NL,France,Netherlands,459,23683690249,9141,4832,0.034
AT,DE,Austria,Germany,454,5865485963,1168,10360,0.041
DK,GB,Denmark,United Kingdom,432,17487045079,1707,24190,0.017
FI,US,Finland,United States,427,8979386310,1532,99925,0.0042
FI,FI,Finland,Finland,420,4207479937,1532,1532,0.2742
BE,GB,Belgium,United Kingdom,418,14377569491,2578,24190,0.0159
PT,US,Portugal,United States,404,5796301835,1019,99925,0.004
AT,GB,Austria,United Kingdom,401,5922425154,1168,24190,0.0161
GB,LU,United Kingdom,Luxembourg,390,11953308233,24190,1521,0.0154
DE,ES,Germany,Spain,385,7965117921,10360,3895,0.0278
EE,US,Estonia,United States,375,7045217438,1114,99925,0.0037
CH,NL,Switzerland,Netherlands,369,17718827138,5094,4832,0.0386
DK,XX,Denmark,Rest of world,355,20115117610,1707,,0.208
ES,FR,Spain,France,354,10454862217,3895,9141,0.0279
IT,XX,Italy,Rest of world,335,59358169864,2326,,0.144
GB,IT,United Kingdom,Italy,332,57077775738,24190,2326,0.0127
PT,XX,Portugal,Rest of world,321,5492921540,1019,,0.315
GB,IE,United Kingdom,Ireland,318,5098862603,24190,1263,0.0127
FI,GB,Finland,United Kingdom,317,4794678524,1532,24190,0.0125
CZ,US,Czechia,United States,317,7193825774,961,99925,0.0032
DK,DK,Denmark,Denmark,312,3432490839,1707,1707,0.1828
IE,XX,Ireland,Rest of world,305,7759141821,1263,,0.2415
BE,DE,Belgium,Germany,300,9419704992,2578,10360,0.0237
DE,LU,Germany,Luxembourg,299,13333131454,10360,1521,0.0258
BE,NL,Belgium,Netherlands,298,7484920908,2578,4832,0.0419
NO,US,Norway,United States,297,11984925904,938,99925,0.003
PL,US,Poland,United States,281,3247832152,1223,99925,0.0028
