iso_investor,investor_country,iso_partner,partner,joint_rounds,joint_usd,investor_rounds_total,share_of_investor_rounds
AT,Austria,SOLO,No located co-investor,125,404792554,1168,0.107
AT,Austria,AT,Austria (same country),191,1375209152,1168,0.1635
AT,Austria,BE,Belgium,26,527050677,1168,0.0223
AT,Austria,BG,Bulgaria,8,57748523,1168,0.0068
AT,Austria,HR,Croatia,1,5000000,1168,0.0009
AT,Austria,CY,Cyprus,7,71086388,1168,0.006
AT,Austria,CZ,Czechia,38,316237110,1168,0.0325
AT,Austria,DK,Denmark,35,517463108,1168,0.03
AT,Austria,EE,Estonia,15,134766403,1168,0.0128
AT,Austria,FI,Finland,34,506873457,1168,0.0291
AT,Austria,FR,France,160,3598131964,1168,0.137
AT,Austria,DE,Germany,454,5865485963,1168,0.3887
AT,Austria,GR,Greece,13,430160800,1168,0.0111
AT,Austria,HU,Hungary,11,92327146,1168,0.0094
AT,Austria,IS,Iceland,2,12801817,1168,0.0017
AT,Austria,IE,Ireland,18,217170122,1168,0.0154
AT,Austria,IT,Italy,29,494956220,1168,0.0248
AT,Austria,LI,Liechtenstein,10,743645378,1168,0.0086
AT,Austria,LT,Lithuania,3,70076613,1168,0.0026
AT,Austria,LU,Luxembourg,41,566040450,1168,0.0351
AT,Austria,MT,Malta,3,13500000,1168,0.0026
AT,Austria,NL,Netherlands,83,813514298,1168,0.0711
AT,Austria,NO,Norway,17,130782586,1168,0.0146
AT,Austria,PL,Poland,21,120438895,1168,0.018
AT,Austria,PT,Portugal,24,272995927,1168,0.0205
AT,Austria,RO,Romania,8,66492688,1168,0.0068
AT,Austria,SK,Slovakia,2,18173700,1168,0.0017
AT,Austria,SI,Slovenia,2,25000000,1168,0.0017
AT,Austria,ES,Spain,77,1686770714,1168,0.0659
AT,Austria,SE,Sweden,61,823390429,1168,0.0522
AT,Austria,CH,Switzerland,127,2621505092,1168,0.1087
AT,Austria,GB,United Kingdom,401,5922425154,1168,0.3433
AT,Austria,US,United States,496,8563315647,1168,0.4247
AT,Austria,XX,Rest of world,251,4519167682,1168,0.2149
BE,Belgium,SOLO,No located co-investor,649,2670187918,2578,0.2517
BE,Belgium,AT,Austria,26,527050677,2578,0.0101
