market,year,n_rounds,usd_total,syndication_share_rounds,syndication_share_usd,fragmentation_share_rounds,fragmentation_share_usd
US (states),2000,2388,46712186953,0.585,0.7474,0.4242,0.5782
US (states),2001,1036,19241015377,0.5405,0.6803,0.3938,0.5088
US (states),2002,969,12704289260,0.5212,0.629,0.387,0.4891
US (states),2003,1007,11710103388,0.5104,0.5765,0.3674,0.5073
US (states),2004,1221,15724953152,0.5152,0.6412,0.3874,0.5035
US (states),2005,1524,18647166785,0.4718,0.5784,0.3615,0.5232
US (states),2006,1815,21164441023,0.4601,0.6241,0.3416,0.5035
US (states),2007,2352,27236653048,0.4384,0.5839,0.3546,0.5016
US (states),2008,2212,25160323652,0.4146,0.5799,0.363,0.4881
US (states),2009,1798,17467217503,0.4177,0.558,0.3615,0.4626
US (states),2010,2287,21764755666,0.4014,0.5242,0.3743,0.4635
US (states),2011,3008,29396637735,0.4212,0.5778,0.3627,0.4989
US (states),2012,3858,29545471734,0.3976,0.5185,0.3463,0.4577
US (states),2013,4642,33736154834,0.3903,0.5592,0.3423,0.4554
US (states),2014,5395,54596410378,0.4195,0.6204,0.3446,0.4505
US (states),2015,5636,71275972770,0.4482,0.6904,0.3433,0.4472
US (states),2016,5416,59223159396,0.4234,0.5744,0.3639,0.3974
US (states),2017,5611,78646246533,0.4468,0.5836,0.3691,0.4031
US (states),2018,6342,118391541165,0.4407,0.5303,0.3876,0.4994
US (states),2019,6569,117076750695,0.4462,0.624,0.387,0.4484
US (states),2020,6835,140009323650,0.4847,0.6758,0.3922,0.4743
US (states),2021,9912,291463801645,0.5581,0.7897,0.4061,0.517
US (states),2022,8815,181328690817,0.5336,0.7389,0.4484,0.522
US (states),2023,6617,116443470603,0.4779,0.6406,0.4644,0.5415
US (states),2024,6242,161513304907,0.4995,0.7637,0.4167,0.5086
US (states),2025,6045,264578299837,0.5002,0.7132,0.4061,0.5008
US (states),2026,2426,367857085640,0.5025,0.8997,0.3743,0.5093
EU-27 (member states),2000,94,1293388005,0.0638,0.0627,0.5106,0.0668
EU-27 (member states),2001,60,506515888,0.1,0.0952,0.35,0.06
