skill,tier,year,month,date,postings
Autonomous System,dialogue_reasoning,2018,3,2018-03-01,2
Autonomous System,dialogue_reasoning,2018,5,2018-05-01,6
Autonomous System,dialogue_reasoning,2018,6,2018-06-01,10
Autonomous System,dialogue_reasoning,2018,9,2018-09-01,2
Autonomous System,dialogue_reasoning,2018,10,2018-10-01,1
Autonomous System,dialogue_reasoning,2018,11,2018-11-01,7
Autonomous System,dialogue_reasoning,2018,12,2018-12-01,2
Autonomous System,dialogue_reasoning,2019,2,2019-02-01,1
Autonomous System,dialogue_reasoning,2019,3,2019-03-01,1
Autonomous System,dialogue_reasoning,2019,4,2019-04-01,3
Autonomous System,dialogue_reasoning,2019,6,2019-06-01,1
Autonomous System,dialogue_reasoning,2019,7,2019-07-01,4
Autonomous System,dialogue_reasoning,2019,8,2019-08-01,5
Autonomous System,dialogue_reasoning,2019,9,2019-09-01,4
Autonomous System,dialogue_reasoning,2019,10,2019-10-01,9
Autonomous System,dialogue_reasoning,2019,11,2019-11-01,4
Autonomous System,dialogue_reasoning,2019,12,2019-12-01,7
Autonomous System,dialogue_reasoning,2020,1,2020-01-01,9
Autonomous System,dialogue_reasoning,2020,2,2020-02-01,10
Autonomous System,dialogue_reasoning,2020,3,2020-03-01,7
Autonomous System,dialogue_reasoning,2020,4,2020-04-01,2
Autonomous System,dialogue_reasoning,2020,6,2020-06-01,2
Autonomous System,dialogue_reasoning,2020,7,2020-07-01,2
Autonomous System,dialogue_reasoning,2020,8,2020-08-01,2
Autonomous System,dialogue_reasoning,2020,9,2020-09-01,7
Autonomous System,dialogue_reasoning,2020,10,2020-10-01,8
Autonomous System,dialogue_reasoning,2020,11,2020-11-01,10
Autonomous System,dialogue_reasoning,2020,12,2020-12-01,5
Autonomous System,dialogue_reasoning,2021,1,2021-01-01,10
Autonomous System,dialogue_reasoning,2021,2,2021-02-01,9
Autonomous System,dialogue_reasoning,2021,3,2021-03-01,13
Autonomous System,dialogue_reasoning,2021,4,2021-04-01,10
Autonomous System,dialogue_reasoning,2021,5,2021-05-01,28
Autonomous System,dialogue_reasoning,2021,6,2021-06-01,1
Autonomous System,dialogue_reasoning,2021,7,2021-07-01,4
Autonomous System,dialogue_reasoning,2021,8,2021-08-01,5
Autonomous System,dialogue_reasoning,2021,9,2021-09-01,6
Autonomous System,dialogue_reasoning,2021,10,2021-10-01,9
Autonomous System,dialogue_reasoning,2021,11,2021-11-01,9
Autonomous System,dialogue_reasoning,2021,12,2021-12-01,23
Autonomous System,dialogue_reasoning,2022,1,2022-01-01,4
Autonomous System,dialogue_reasoning,2022,2,2022-02-01,16
Autonomous System,dialogue_reasoning,2022,3,2022-03-01,25
Autonomous System,dialogue_reasoning,2022,4,2022-04-01,28
Autonomous System,dialogue_reasoning,2022,5,2022-05-01,35
Autonomous System,dialogue_reasoning,2022,6,2022-06-01,14
Autonomous System,dialogue_reasoning,2022,7,2022-07-01,25
Autonomous System,dialogue_reasoning,2022,8,2022-08-01,10
Autonomous System,dialogue_reasoning,2022,9,2022-09-01,36
Autonomous System,dialogue_reasoning,2022,10,2022-10-01,34
Autonomous System,dialogue_reasoning,2022,11,2022-11-01,37
Autonomous System,dialogue_reasoning,2022,12,2022-12-01,8
Autonomous System,dialogue_reasoning,2023,1,2023-01-01,16
Autonomous System,dialogue_reasoning,2023,2,2023-02-01,23
Autonomous System,dialogue_reasoning,2023,3,2023-03-01,20
Autonomous System,dialogue_reasoning,2023,4,2023-04-01,32
Autonomous System,dialogue_reasoning,2023,5,2023-05-01,440
Autonomous System,dialogue_reasoning,2023,6,2023-06-01,155
Autonomous System,dialogue_reasoning,2023,7,2023-07-01,15
Autonomous System,dialogue_reasoning,2023,8,2023-08-01,12
Autonomous System,dialogue_reasoning,2023,9,2023-09-01,49
Autonomous System,dialogue_reasoning,2023,10,2023-10-01,26
Autonomous System,dialogue_reasoning,2023,11,2023-11-01,11
Autonomous System,dialogue_reasoning,2023,12,2023-12-01,9
Autonomous System,dialogue_reasoning,2024,1,2024-01-01,18
Autonomous System,dialogue_reasoning,2024,2,2024-02-01,15
Autonomous System,dialogue_reasoning,2024,3,2024-03-01,21
Autonomous System,dialogue_reasoning,2024,4,2024-04-01,21
Autonomous System,dialogue_reasoning,2024,5,2024-05-01,13
Autonomous System,dialogue_reasoning,2024,6,2024-06-01,4
Autonomous System,dialogue_reasoning,2024,7,2024-07-01,7
Autonomous System,dialogue_reasoning,2024,8,2024-08-01,1
Autonomous System,dialogue_reasoning,2024,9,2024-09-01,9
Autonomous System,dialogue_reasoning,2024,10,2024-10-01,12
Autonomous System,dialogue_reasoning,2024,11,2024-11-01,24
Autonomous System,dialogue_reasoning,2024,12,2024-12-01,15
Autonomous System,dialogue_reasoning,2025,1,2025-01-01,10
Autonomous System,dialogue_reasoning,2025,2,2025-02-01,5
Autonomous System,dialogue_reasoning,2025,3,2025-03-01,20
Autonomous System,dialogue_reasoning,2025,4,2025-04-01,13
Autonomous System,dialogue_reasoning,2025,5,2025-05-01,7
Autonomous System,dialogue_reasoning,2025,6,2025-06-01,11
Autonomous System,dialogue_reasoning,2025,7,2025-07-01,9
Autonomous System,dialogue_reasoning,2025,8,2025-08-01,4
Autonomous System,dialogue_reasoning,2025,9,2025-09-01,13
Autonomous System,dialogue_reasoning,2025,10,2025-10-01,16
Autonomous System,dialogue_reasoning,2025,11,2025-11-01,11
Autonomous System,dialogue_reasoning,2025,12,2025-12-01,5
Bot Framework,dialogue_reasoning,2018,3,2018-03-01,3
Bot Framework,dialogue_reasoning,2018,4,2018-04-01,3
Bot Framework,dialogue_reasoning,2018,5,2018-05-01,8
Bot Framework,dialogue_reasoning,2018,6,2018-06-01,2
Bot Framework,dialogue_reasoning,2018,7,2018-07-01,3
Bot Framework,dialogue_reasoning,2018,8,2018-08-01,34
Bot Framework,dialogue_reasoning,2018,9,2018-09-01,4
Bot Framework,dialogue_reasoning,2018,10,2018-10-01,7
Bot Framework,dialogue_reasoning,2018,11,2018-11-01,15
Bot Framework,dialogue_reasoning,2018,12,2018-12-01,9
Bot Framework,dialogue_reasoning,2019,1,2019-01-01,8
Bot Framework,dialogue_reasoning,2019,2,2019-02-01,14
Bot Framework,dialogue_reasoning,2019,3,2019-03-01,23
Bot Framework,dialogue_reasoning,2019,4,2019-04-01,22
Bot Framework,dialogue_reasoning,2019,5,2019-05-01,10
Bot Framework,dialogue_reasoning,2019,6,2019-06-01,16
Bot Framework,dialogue_reasoning,2019,7,2019-07-01,22
Bot Framework,dialogue_reasoning,2019,8,2019-08-01,12
Bot Framework,dialogue_reasoning,2019,9,2019-09-01,25
Bot Framework,dialogue_reasoning,2019,10,2019-10-01,28
Bot Framework,dialogue_reasoning,2019,11,2019-11-01,13
Bot Framework,dialogue_reasoning,2019,12,2019-12-01,11
Bot Framework,dialogue_reasoning,2020,1,2020-01-01,14
Bot Framework,dialogue_reasoning,2020,2,2020-02-01,11
Bot Framework,dialogue_reasoning,2020,3,2020-03-01,21
Bot Framework,dialogue_reasoning,2020,4,2020-04-01,18
Bot Framework,dialogue_reasoning,2020,5,2020-05-01,16
Bot Framework,dialogue_reasoning,2020,6,2020-06-01,18
Bot Framework,dialogue_reasoning,2020,7,2020-07-01,40
Bot Framework,dialogue_reasoning,2020,8,2020-08-01,25
Bot Framework,dialogue_reasoning,2020,9,2020-09-01,32
Bot Framework,dialogue_reasoning,2020,10,2020-10-01,23
Bot Framework,dialogue_reasoning,2020,11,2020-11-01,22
Bot Framework,dialogue_reasoning,2020,12,2020-12-01,23
Bot Framework,dialogue_reasoning,2021,1,2021-01-01,34
Bot Framework,dialogue_reasoning,2021,2,2021-02-01,17
Bot Framework,dialogue_reasoning,2021,3,2021-03-01,37
Bot Framework,dialogue_reasoning,2021,4,2021-04-01,44
Bot Framework,dialogue_reasoning,2021,5,2021-05-01,49
Bot Framework,dialogue_reasoning,2021,6,2021-06-01,25
Bot Framework,dialogue_reasoning,2021,7,2021-07-01,12
Bot Framework,dialogue_reasoning,2021,8,2021-08-01,28
Bot Framework,dialogue_reasoning,2021,9,2021-09-01,26
Bot Framework,dialogue_reasoning,2021,10,2021-10-01,19
Bot Framework,dialogue_reasoning,2021,11,2021-11-01,17
Bot Framework,dialogue_reasoning,2021,12,2021-12-01,22
Bot Framework,dialogue_reasoning,2022,1,2022-01-01,21
Bot Framework,dialogue_reasoning,2022,2,2022-02-01,25
Bot Framework,dialogue_reasoning,2022,3,2022-03-01,42
Bot Framework,dialogue_reasoning,2022,4,2022-04-01,30
Bot Framework,dialogue_reasoning,2022,5,2022-05-01,31
Bot Framework,dialogue_reasoning,2022,6,2022-06-01,30
Bot Framework,dialogue_reasoning,2022,7,2022-07-01,29
Bot Framework,dialogue_reasoning,2022,8,2022-08-01,34
Bot Framework,dialogue_reasoning,2022,9,2022-09-01,22
Bot Framework,dialogue_reasoning,2022,10,2022-10-01,21
Bot Framework,dialogue_reasoning,2022,11,2022-11-01,25
Bot Framework,dialogue_reasoning,2022,12,2022-12-01,29
Bot Framework,dialogue_reasoning,2023,1,2023-01-01,32
Bot Framework,dialogue_reasoning,2023,2,2023-02-01,32
Bot Framework,dialogue_reasoning,2023,3,2023-03-01,23
Bot Framework,dialogue_reasoning,2023,4,2023-04-01,23
Bot Framework,dialogue_reasoning,2023,5,2023-05-01,39
Bot Framework,dialogue_reasoning,2023,6,2023-06-01,27
Bot Framework,dialogue_reasoning,2023,7,2023-07-01,14
Bot Framework,dialogue_reasoning,2023,8,2023-08-01,20
Bot Framework,dialogue_reasoning,2023,9,2023-09-01,25
Bot Framework,dialogue_reasoning,2023,10,2023-10-01,25
Bot Framework,dialogue_reasoning,2023,11,2023-11-01,12
Bot Framework,dialogue_reasoning,2023,12,2023-12-01,29
Bot Framework,dialogue_reasoning,2024,1,2024-01-01,57
Bot Framework,dialogue_reasoning,2024,2,2024-02-01,24
Bot Framework,dialogue_reasoning,2024,3,2024-03-01,23
Bot Framework,dialogue_reasoning,2024,4,2024-04-01,32
Bot Framework,dialogue_reasoning,2024,5,2024-05-01,25
Bot Framework,dialogue_reasoning,2024,6,2024-06-01,35
Bot Framework,dialogue_reasoning,2024,7,2024-07-01,34
Bot Framework,dialogue_reasoning,2024,8,2024-08-01,16
Bot Framework,dialogue_reasoning,2024,9,2024-09-01,11
Bot Framework,dialogue_reasoning,2024,10,2024-10-01,25
Bot Framework,dialogue_reasoning,2024,11,2024-11-01,23
Bot Framework,dialogue_reasoning,2024,12,2024-12-01,8
Bot Framework,dialogue_reasoning,2025,1,2025-01-01,39
Bot Framework,dialogue_reasoning,2025,2,2025-02-01,12
Bot Framework,dialogue_reasoning,2025,3,2025-03-01,26
Bot Framework,dialogue_reasoning,2025,4,2025-04-01,59
Bot Framework,dialogue_reasoning,2025,5,2025-05-01,23
Bot Framework,dialogue_reasoning,2025,6,2025-06-01,25
Bot Framework,dialogue_reasoning,2025,7,2025-07-01,24
Bot Framework,dialogue_reasoning,2025,8,2025-08-01,18
Bot Framework,dialogue_reasoning,2025,9,2025-09-01,52
Bot Framework,dialogue_reasoning,2025,10,2025-10-01,35
Bot Framework,dialogue_reasoning,2025,11,2025-11-01,23
Bot Framework,dialogue_reasoning,2025,12,2025-12-01,5
ChatGPT,llm_stack,2022,12,2022-12-01,15
ChatGPT,llm_stack,2023,1,2023-01-01,53
ChatGPT,llm_stack,2023,2,2023-02-01,231
ChatGPT,llm_stack,2023,3,2023-03-01,202
ChatGPT,llm_stack,2023,4,2023-04-01,265
ChatGPT,llm_stack,2023,5,2023-05-01,529
ChatGPT,llm_stack,2023,6,2023-06-01,550
ChatGPT,llm_stack,2023,7,2023-07-01,499
ChatGPT,llm_stack,2023,8,2023-08-01,437
ChatGPT,llm_stack,2023,9,2023-09-01,388
ChatGPT,llm_stack,2023,10,2023-10-01,1426
ChatGPT,llm_stack,2023,11,2023-11-01,1076
ChatGPT,llm_stack,2023,12,2023-12-01,675
ChatGPT,llm_stack,2024,1,2024-01-01,1308
ChatGPT,llm_stack,2024,2,2024-02-01,933
ChatGPT,llm_stack,2024,3,2024-03-01,977
ChatGPT,llm_stack,2024,4,2024-04-01,846
ChatGPT,llm_stack,2024,5,2024-05-01,724
ChatGPT,llm_stack,2024,6,2024-06-01,745
ChatGPT,llm_stack,2024,7,2024-07-01,715
ChatGPT,llm_stack,2024,8,2024-08-01,800
ChatGPT,llm_stack,2024,9,2024-09-01,971
ChatGPT,llm_stack,2024,10,2024-10-01,782
ChatGPT,llm_stack,2024,11,2024-11-01,768
ChatGPT,llm_stack,2024,12,2024-12-01,1086
ChatGPT,llm_stack,2025,1,2025-01-01,2142
ChatGPT,llm_stack,2025,2,2025-02-01,1745
ChatGPT,llm_stack,2025,3,2025-03-01,1581
ChatGPT,llm_stack,2025,4,2025-04-01,1772
ChatGPT,llm_stack,2025,5,2025-05-01,1913
ChatGPT,llm_stack,2025,6,2025-06-01,1963
ChatGPT,llm_stack,2025,7,2025-07-01,2539
ChatGPT,llm_stack,2025,8,2025-08-01,2864
ChatGPT,llm_stack,2025,9,2025-09-01,2859
ChatGPT,llm_stack,2025,10,2025-10-01,3087
ChatGPT,llm_stack,2025,11,2025-11-01,4012
ChatGPT,llm_stack,2025,12,2025-12-01,1029
ChatGPT,llm_stack,2026,1,2026-01-01,53
Cognitive Automation,dialogue_reasoning,2018,3,2018-03-01,5
Cognitive Automation,dialogue_reasoning,2018,4,2018-04-01,2
Cognitive Automation,dialogue_reasoning,2018,5,2018-05-01,2
Cognitive Automation,dialogue_reasoning,2018,6,2018-06-01,8
Cognitive Automation,dialogue_reasoning,2018,7,2018-07-01,20
Cognitive Automation,dialogue_reasoning,2018,8,2018-08-01,10
Cognitive Automation,dialogue_reasoning,2018,9,2018-09-01,5
Cognitive Automation,dialogue_reasoning,2018,10,2018-10-01,11
Cognitive Automation,dialogue_reasoning,2018,11,2018-11-01,11
Cognitive Automation,dialogue_reasoning,2018,12,2018-12-01,9
Cognitive Automation,dialogue_reasoning,2019,1,2019-01-01,10
Cognitive Automation,dialogue_reasoning,2019,2,2019-02-01,17
Cognitive Automation,dialogue_reasoning,2019,3,2019-03-01,22
Cognitive Automation,dialogue_reasoning,2019,4,2019-04-01,16
Cognitive Automation,dialogue_reasoning,2019,5,2019-05-01,16
Cognitive Automation,dialogue_reasoning,2019,6,2019-06-01,18
