Region,Metric,AI Index,aif_group_label
Inner London (UKI1),Publications,65.04106776,No match
Inner London (UKI1),Investments,100,No match
Inner London (UKI1),Patents,74.75728155,No match
Île de France (FR10),Publications,100,NUTS-2 match
Île de France (FR10),Patents,80.30513176,NUTS-2 match
Île de France (FR10),Investments,51.02905342,NUTS-2 match
Oberbayern (DE21),Publications,30.27957669,Country match
Oberbayern (DE21),Investments,30.29376706,Country match
Oberbayern (DE21),Patents,100,Country match
Noord-Brabant (NL41),Investments,1.791033064,No match
Noord-Brabant (NL41),Patents,89.04299584,No match
Noord-Brabant (NL41),Publications,9.208655821,No match
Stockholm (SE11),Patents,67.12898752,Country match
Stockholm (SE11),Publications,14.93050071,Country match
Stockholm (SE11),Investments,10.49333878,Country match
Stuttgart (DE11),Publications,10.18401516,NUTS-2 match
Stuttgart (DE11),Investments,0.565571459,NUTS-2 match
Stuttgart (DE11),Patents,54.50762829,NUTS-2 match
Berlin (DE30),Publications,21.21702733,Country match
Berlin (DE30),Investments,22.5646742,Country match
Berlin (DE30),Patents,20.94313454,Country match
Karlsruhe (DE12),Investments,8.940763188,Country match
Karlsruhe (DE12),Patents,35.64493759,Country match
Karlsruhe (DE12),Publications,17.05891644,Country match
Zürich (CH04),Publications,23.16774601,No match
Zürich (CH04),Investments,8.009076867,No match
Zürich (CH04),Patents,27.60055479,No match
"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)",Publications,24.2023377,No match
"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)",Investments,7.843088193,No match
"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)",Patents,24.82662968,No match
Helsinki-Uusimaa (FI1B),Patents,29.12621359,Country match
Helsinki-Uusimaa (FI1B),Publications,14.12494077,Country match
Helsinki-Uusimaa (FI1B),Investments,6.279775613,Country match
East Anglia (UKH1),Publications,22.01863845,No match
East Anglia (UKH1),Investments,6.318059908,No match
East Anglia (UKH1),Patents,20.38834951,No match
Comunidad de Madrid (ES30),Patents,11.37309293,Country match
Comunidad de Madrid (ES30),Investments,6.415985003,Country match
Comunidad de Madrid (ES30),Publications,28.90933502,Country match
Southern and Eastern (IE02),Publications,16.51003001,No match
Southern and Eastern (IE02),Investments,10.09904226,No match
Southern and Eastern (IE02),Patents,16.50485437,No match
Köln (DEA2),Investments,1.667569443,NUTS-2 match
Köln (DEA2),Publications,23.27041542,NUTS-2 match
Köln (DEA2),Patents,17.3370319,NUTS-2 match
Lombardia (ITC4),Publications,26.70194282,Country match
Lombardia (ITC4),Patents,11.23439667,Country match
Lombardia (ITC4),Investments,3.845063611,Country match
Rhône-Alpes (FR71),Investments,2.030841471,Country match
Rhône-Alpes (FR71),Patents,14.84049931,Country match
Rhône-Alpes (FR71),Publications,24.62486179,Country match
Darmstadt (DE71),Publications,12.76259675,Country match
Darmstadt (DE71),Patents,22.19140083,Country match
Darmstadt (DE71),Investments,0.949495156,Country match
Région lémanique (CH01),Publications,18.53972516,No match
Région lémanique (CH01),Patents,14.84049931,No match
Région lémanique (CH01),Investments,1.63500606,No match
Mittelfranken (DE25),Publications,6.586637182,Country match
Mittelfranken (DE25),Investments,0.826102019,Country match
Mittelfranken (DE25),Patents,27.46185853,Country match
