geo,AIF domain,"RCA (publications,patents, investments)","AI penetration (publications, patents, investments)",AIF designation
Attiki (EL30),agriculture and food,14.75685995,29.00282566,FALSE
Cataluña (ES51),agriculture and food,14.32382539,7.611231952,TRUE
Emilia-Romagna (ITH5),agriculture and food,20.04995243,13.754039,TRUE
Köln (DEA2),agriculture and food,11.75377211,9.05913484,FALSE
Luxembourg (LU00),agriculture and food,9.307071623,0,FALSE
Pohjois- ja Itä-Suomi (FI1D),agriculture and food,8.472353217,1.369863014,FALSE
Stuttgart (DE11),agriculture and food,11.63421162,4.733841348,FALSE
Vzhodna Slovenija (SI01),agriculture and food,15.62939691,0,TRUE
Wielkopolskie (PL41),agriculture and food,28.97204465,1.002506266,FALSE
Wien (AT13),agriculture and food,10.29571531,3.355126718,TRUE
Yugozapaden (BG41),agriculture and food,25.02442873,2.499866815,FALSE
Île de France (FR10),agriculture and food,9.74343893,3.557168885,TRUE
Östra Mellansverige (SE12),agriculture and food,14.20648371,2.968712459,TRUE
Attiki (EL30),finance and business,20.76327107,15.69656182,FALSE
Cataluña (ES51),finance and business,15.21446278,8.798216597,TRUE
Emilia-Romagna (ITH5),finance and business,5.345653405,30.16900702,TRUE
Köln (DEA2),finance and business,9.315472257,8.816187894,TRUE
Luxembourg (LU00),finance and business,18.22467644,11.70488164,TRUE
Pohjois- ja Itä-Suomi (FI1D),finance and business,5.488368488,13.68451219,FALSE
Stuttgart (DE11),finance and business,8.430444521,10.26869756,TRUE
Vzhodna Slovenija (SI01),finance and business,14.53255054,32.7141308,FALSE
Wielkopolskie (PL41),finance and business,17.84870743,29.27293107,FALSE
Wien (AT13),finance and business,11.06673708,10.15378204,TRUE
Yugozapaden (BG41),finance and business,26.3327159,9.831908322,FALSE
Île de France (FR10),finance and business,12.96502907,14.65074289,TRUE
Östra Mellansverige (SE12),finance and business,15.55514766,7.27222514,TRUE
Attiki (EL30),health and life sciences,27.79384753,11.80692151,TRUE
Cataluña (ES51),health and life sciences,37.68270811,8.358463099,TRUE
Emilia-Romagna (ITH5),health and life sciences,34.53794855,4.561450505,TRUE
Köln (DEA2),health and life sciences,27.63181294,12.94353855,TRUE
