,Region,"AI Index (publications, patents, investments)","Compute Index (total compute, median energy efficiency)",aif_group_label,annotate_geo
0,Burgenland (AT) (AT11),0.5718965882240139,0.0,Country match,False
1,Niederösterreich (AT12),2.990934584868439,0.0,Country match,False
2,Wien (AT13),9.741935497194396,0.0,NUTS-2 match,False
3,Kärnten (AT21),0.6935663017933877,0.0,Country match,False
4,Steiermark (AT22),4.015616158847887,0.0,Country match,False
5,Oberösterreich (AT31),2.784908295582003,0.0,Country match,False
6,Salzburg (AT32),1.1582112776185363,0.0,Country match,False
7,Tirol (AT33),1.872488150192823,0.0,Country match,False
8,Vorarlberg (AT34),0.7831504168299687,0.0,Country match,False
9,Prov. Limburg (BE) (BE22),0.6254449551416196,0.0,No match,False
10,Prov. Luxembourg (BE) (BE34),0.0,0.0,No match,False
11,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest (BE10),5.5874824336762074,0.0,No match,False
12,Prov. Antwerpen (BE21),3.4268854928531645,0.0,No match,False
13,Prov. Oost-Vlaanderen (BE23),3.794484654811027,0.0,No match,False
14,Prov. Vlaams-Brabant (BE24),5.966317560139473,0.0,No match,False
15,Prov. West-Vlaanderen (BE25),0.5180449500927349,0.0,No match,False
16,Prov. Brabant Wallon (BE31),1.4495259884511293,0.0,No match,False
17,Prov. Hainaut (BE32),0.5852873495860375,0.0,No match,False
18,Prov. Liège (BE33),1.1666184499749472,0.0,No match,False
19,Prov. Namur (BE35),0.3280772907574606,0.0,No match,False
20,Severozapaden (BG31),0.0078976465013426,0.0,Country match,False
21,Severen tsentralen (BG32),0.2250829252882641,0.0,Country match,False
22,Severoiztochen (BG33),0.22792300891143455,0.0,Country match,False
23,Yugoiztochen (BG34),0.18691096719844155,0.0,Country match,False
24,Yugozapaden (BG41),2.323600034517982,0.0,NUTS-2 match,False
25,Yuzhen tsentralen (BG42),0.0552835255093982,0.0,Country match,False
26,Région lémanique (CH01),11.671743509413515,0.0,No match,False
27,Espace Mittelland (CH02),5.124293006769046,0.0,No match,False
28,Nordwestschweiz (CH03),9.21433662230694,0.0,No match,False
29,Zürich (CH04),19.592459221187365,0.0,No match,False
30,Ostschweiz (CH05),3.90498002774637,0.0,No match,False
31,Zentralschweiz (CH06),2.398654305852902,0.0,No match,False
32,Ticino (CH07),1.4561224426933137,84.3227619010199,No match,True
33,Kýpros (CY00),2.6966749571703605,0.0,No match,False
34,Praha (CZ01),5.738745150298556,0.0,Partner country,False
35,Střední Čechy (CZ02),0.201714946735979,0.0,Partner country,False
36,Jihozápad (CZ03),0.4610210068633944,0.0,Partner country,False
37,Severozápad (CZ04),0.053967251092507766,0.0,Partner country,False
38,Severovýchod (CZ05),0.5467269472627976,0.0,Partner country,False
39,Jihovýchod (CZ06),1.8371896691106295,0.0,Partner country,False
40,Střední Morava (CZ07),0.7042385617900186,0.0,Partner country,False
41,Moravskoslezsko (CZ08),0.7893794233881074,8.994050990696826,Partner country,False
42,Stuttgart (DE11),21.75240497203713,11.744768357156678,NUTS-2 match,True
43,Karlsruhe (DE12),20.548205739339892,12.277681100366475,Country match,False
44,Freiburg (DE13),6.143056686166567,0.0,Country match,False
45,Tübingen (DE14),7.231952497274494,0.0,Country match,False
46,Oberbayern (DE21),53.524447915609585,11.910726641554726,Country match,True
47,Niederbayern (DE22),2.1681632031306077,0.0,Country match,False
48,Oberpfalz (DE23),2.5235408650811055,0.0,Country match,False
49,Oberfranken (DE24),2.5305998920566295,0.0,Country match,False
50,Mittelfranken (DE25),11.624865910160507,0.0,Country match,False
51,Unterfranken (DE26),1.4797593960306508,0.0,Country match,False
52,Schwaben (DE27),3.431954972662844,0.0,Country match,False
53,Berlin (DE30),21.574945354897732,12.212359601814866,Country match,False
54,Brandenburg (DE40),4.854085503968021,0.0,Country match,False
55,Bremen (DE50),1.6425950587007436,0.0,Country match,False
56,Hamburg (DE60),4.98405093439047,0.0,Country match,False
57,Darmstadt (DE71),11.967830911436325,13.548044371492955,Country match,False
58,Gießen (DE72),1.7147313124267332,0.0,Country match,False
59,Kassel (DE73),0.8324141069391314,0.0,Country match,False
60,Mecklenburg-Vorpommern (DE80),0.6977879214278011,0.0,Country match,False
61,Braunschweig (DE91),4.505004873318902,0.0,Country match,False
62,Hannover (DE92),5.172750989228675,0.0,Country match,False
63,Lüneburg (DE93),1.0959198560123582,0.0,Country match,False
64,Weser-Ems (DE94),1.8434625058887109,0.0,Country match,False
65,Düsseldorf (DEA1),8.417823580684429,0.0,Country match,False
66,Köln (DEA2),14.091672253115059,62.29856339300256,NUTS-2 match,True
67,Münster (DEA3),1.9807740129892855,0.0,Country match,False
68,Detmold (DEA4),3.1366246835115823,0.0,Country match,False
69,Arnsberg (DEA5),5.284772321913622,0.0,Country match,False
70,Koblenz (DEB1),0.8289172599944056,0.0,Country match,False
71,Trier (DEB2),0.7357809684318326,0.0,Country match,False
72,Rheinhessen-Pfalz (DEB3),7.409111525357214,0.0,Country match,False
73,Saarland (DEC0),3.4023247658372195,0.0,Country match,False
74,Dresden (DED2),3.336876585323566,5.928541786448465,Country match,False
75,Chemnitz (DED4),1.0883800316825976,0.0,Country match,False
76,Leipzig (DED5),2.0697218250130254,0.0,Country match,False
77,Sachsen-Anhalt (DEE0),1.3243809043494474,0.0,Country match,False
78,Schleswig-Holstein (DEF0),3.47018061355486,0.0,Country match,False
79,Thüringen (DEG0),3.8406523164533346,0.0,Country match,False
80,Hovedstaden (DK01),9.734992083936715,0.0,Partner country,False
81,Sjælland (DK02),0.19430091863139298,0.0,Partner country,False
82,Syddanmark (DK03),1.4844773974177545,0.0,Partner country,False
83,Midtjylland (DK04),2.5605703292085216,0.0,Partner country,False
84,Nordjylland (DK05),2.6871167149471007,0.0,Partner country,False
85,Eesti (EE00),3.1818345987513106,0.0,Partner country,False
86,"Anatoliki Makedonia, Thraki (EL11)",0.5844258410993524,0.0,Country match,False
87,Kentriki Makedonia (EL12),2.5795963470521257,0.0,Country match,False
88,Dytiki Makedonia (EL13),0.28431527404833357,0.0,Country match,False
89,Thessalia (EL14),0.3777707576475544,0.0,Country match,False
90,Ipeiros (EL21),0.5529977355698533,0.0,Country match,False
91,Ionia Nisia (EL22),0.41660085294582216,0.0,Country match,False
92,Dytiki Ellada (EL23),1.6616093249334212,0.0,Country match,False
93,Sterea Ellada (EL24),0.02171852787869215,0.0,Country match,False
94,Peloponnisos (EL25),0.34971457839821707,0.0,Country match,False
95,Attiki (EL30),5.400417105166216,0.0,NUTS-2 match,False
96,Voreio Aigaio (EL41),0.5844258410993524,0.0,Country match,False
97,Notio Aigaio (EL42),0.0,0.0,Country match,False
98,Kriti (EL43),1.1706553980432093,0.0,Country match,False
99,Galicia (ES11),1.7212575592771786,0.0,Country match,False
100,Principado de Asturias (ES12),0.7940891796768513,0.0,Country match,False
101,Cantabria (ES13),0.3748713555960606,0.0,Country match,False
102,País Vasco (ES21),3.08757367790303,0.0,Country match,False
103,Comunidad Foral de Navarra (ES22),0.48989173318428286,0.0,Country match,False
104,La Rioja (ES23),0.351607749785617,0.0,Country match,False
105,Aragón (ES24),0.6383930921918601,0.0,Country match,False
106,Comunidad de Madrid (ES30),15.566137649214497,0.0,Country match,False
107,Castilla y León (ES41),1.7901167763610697,0.0,Country match,False
108,Castilla-La Mancha (ES42),0.5174583263138116,0.0,Country match,False
109,Extremadura (ES43),0.4504908115282709,0.0,Country match,False
110,Cataluña (ES51),10.874466436549495,52.6750392527031,NUTS-2 match,True
111,Comunidad Valenciana (ES52),3.893592593108694,0.0,Country match,False
112,Illes Balears (ES53),0.6796598120478645,0.0,Country match,False
113,Andalucía (ES61),7.532848492163217,0.0,Country match,False
114,Región de Murcia (ES62),0.6844626967830253,0.0,Country match,False
115,Ciudad Autónoma de Melilla (ES64),0.0,0.0,Country match,False
116,Canarias (ES70),0.6214572285609049,0.0,Country match,False
117,Länsi-Suomi (FI19),3.8517168150500827,0.0,Country match,False
118,Helsinki-Uusimaa (FI1B),16.510309991089986,57.907832035236034,Country match,True
