Site,Country/Region,Market/Zone,Month/Year,Metric,Price,Source (hyperlink),Source title,Source URL
Northern Sweden (SE1),EU,SE1 (Nord Pool),Aug 2025,Wholesale Day-Ahead avg,31,Nord Pool � Day-Ahead monthly (SE1),Nord Pool � Day-Ahead monthly (SE1),https://www.nordpoolgroup.com/en/market-data1/#/nordic/table
Linköping (SE),EU,SE3 (Nord Pool),Aug 2025,Wholesale Day-Ahead avg,43.55,Nord Pool � Day-Ahead monthly (SE3),Nord Pool � Day-Ahead monthly (SE3),https://www.nordpoolgroup.com/en/market-data1/#/nordic/table
Kajaani (FI),EU,FI (Nord Pool),Aug 2025,Wholesale Day-Ahead avg,55.34,Nord Pool � Day-Ahead monthly (FI),Nord Pool � Day-Ahead monthly (FI),https://www.nordpoolgroup.com/en/market-data1/#/nordic/table
Jülich (DE),EU,DE-LU (EPEX SPOT),Aug 2025,Wholesale Day-Ahead avg,76.99,EPEX SPOT � Monthly Power Trading Results (Aug 2025),EPEX SPOT � Monthly Power Trading Results (Aug 2025),https://www.epexspot.com/en/press-media/press-area#monthly-power-trading-results
Bissen (LU),EU,DE-LU (EPEX SPOT),Aug 2025,Wholesale Day-Ahead avg,76.99,EPEX SPOT � Monthly Power Trading Results (Aug 2025),EPEX SPOT � Monthly Power Trading Results (Aug 2025),https://www.epexspot.com/en/press-media/press-area#monthly-power-trading-results
Vienna (AT),EU,AT (EPEX SPOT),Aug 2025,Wholesale Day-Ahead avg,74.29,EPEX SPOT � Monthly Power Trading Results (Aug 2025),EPEX SPOT � Monthly Power Trading Results (Aug 2025),https://www.epexspot.com/en/press-media/press-area#monthly-power-trading-results
Poznań (PL),EU,PL (EPEX SPOT),Aug 2025,Wholesale Day-Ahead avg,89.58,EPEX SPOT � Monthly Power Trading Results (Aug 2025),EPEX SPOT � Monthly Power Trading Results (Aug 2025),https://www.epexspot.com/en/press-media/press-area#monthly-power-trading-results
Barcelona (ES),EU,ES (OMIE/MIBEL),Aug 2025,Wholesale Day-Ahead avg,68.44,OMIE � Informe mensual (Agosto 2025),OMIE � Informe mensual (Agosto 2025),https://www.omie.es/mercados-y-productos/informes
Bologna (IT),EU,IT PUN (GME),Aug 2025,Wholesale Day-Ahead avg (PUN),108.79,GME � Prezzo Unico Nazionale (mensile),GME � Prezzo Unico Nazionale (mensile),https://www.mercatoelettrico.org/it/
Athens (EL),EU,EL (HEnEx),Aug 2025,Wholesale Day-Ahead avg,69.5,HEnEx � Electricity & NGAS Markets Monthly Report (Aug 2025),HEnEx � Electricity & NGAS Markets Monthly Report (Aug 2025),https://www.enexgroup.gr/en/markets-statistics/statistics-market-reports/monthly-reports/
Sofia (BG),EU,BG (IBEX),Aug 2025,Wholesale Day-Ahead avg (baseload),75.83,IBEX � Monthly Market Report (Aug 2025),IBEX � Monthly Market Report (Aug 2025),https://ibex.bg/en/market-data/trading-reports/
Northern Virginia (US),US,PJM (energy only),H1 2025 baseline,"Wholesale LMP (avg, energy)",47,PJM IMM � State of the Market 2025 Q2 (H1),PJM IMM � State of the Market 2025 Q2 (H1),https://www.monitoringanalytics.com/reports/
Dallas (US),US,ERCOT (energy only),2025 context,Wholesale DA hub (indicative),32,ERCOT � Monthly Operational Overview,ERCOT � Monthly Operational Overview,https://www.ercot.com/market-reports
Boston (US),US,ISO-NE (DA hub),Aug 2025,Wholesale DA hub avg,39,ISO-NE � Monthly Market Reports (Aug 2025),ISO-NE � Monthly Market Reports (Aug 2025),https://www.iso-ne.com/markets/market-data/
Zhongwei (CN),CN,Ningxia (industrial/DC tariff),2025,Industrial/DC tariff (~�0.36/kWh),43,NDRC / local notices � Ningxia DC tariff context,NDRC / local notices � Ningxia DC tariff context,https://www.ndrc.gov.cn/
Ulanqab (CN),CN,Inner Mongolia (industrial/DC tariff),2025,Industrial/DC tariff (~�0.32/kWh),39,Inner Mongolia gov/industry reports � DC tariff levels,Inner Mongolia gov/industry reports � DC tariff levels,https://www.nmg.gov.cn/
