key,UKI1,FR10,DE21,NL41,SE11,DE11,DE30,DE12,CH04,UKJ1,FI1B,UKH1,ES30,IE02,DEA2,ITC4,FR71,DE71,CH01,DE25
UKI1,-1,2.23,-0.55,-1,-0.52,-0.84,-0.1,-1,0.97,4.12,-0.79,2.22,-0.73,0.06,-0.31,-0.45,-1,-0.54,0.23,-1
FR10,2.23,-1,3,-0.83,0.42,-0.42,-1,-0.66,0.31,0.28,1.91,-0.63,-0.55,-1,-0.42,-0.77,6.81,-0.61,-0.17,-0.81
DE21,-0.55,3,-1,-1,-0.66,2.64,2.25,3.03,-0.31,-0.85,2.27,-0.04,-0.68,-0.53,1.85,-0.84,-1,1.43,-1,10.93
NL41,-1,-0.83,-1,-1,-1,-0.6,-1,-1,-1,-1,-1,-1,-0.6,-1,-0.69,-1,-1,-1,-0.66,-1
SE11,-0.52,0.42,-0.66,-1,-1,-0.84,-0.77,0.2,-0.56,-0.74,2.46,-0.56,1.51,-0.46,2.95,-1,-1,-0.3,-0.75,-0.56
DE11,-0.84,-0.42,2.64,-0.6,-0.84,-1,2.3,20.81,0.83,-0.73,-0.56,-1,-1,0.12,0.67,-0.71,-0.72,1.16,-0.48,0.37
DE30,-0.1,-1,2.25,-1,-0.77,2.3,-1,2.17,2,-0.5,-0.64,-0.64,-1,-1,4.26,-1,-1,2.67,-0.53,0.12
DE12,-1,-0.66,3.03,-1,0.2,20.81,2.17,-1,0.82,-1,-1,-0.7,1.1,-0.19,0.62,-1,-1,9.75,-1,2.33
CH04,0.97,0.31,-0.31,-1,-0.56,0.83,2,0.82,-1,-0.07,-0.66,-0.65,0.58,-1,0.15,0.6,-0.51,1.32,3.39,-0.29
UKJ1,4.12,0.28,-0.85,-1,-0.74,-0.73,-0.5,-1,-0.07,-1,-0.56,0.79,-1,-1,0.55,-1,-1,-0.48,-1,-1
FI1B,-0.79,1.91,2.27,-1,2.46,-0.56,-0.64,-1,-0.66,-0.56,-1,-1,-1,-0.53,0.82,-1,-1,-0.63,-1,-1
UKH1,2.22,-0.63,-0.04,-1,-0.56,-1,-0.64,-0.7,-0.65,0.79,-1,-1,-1,-1,-1,-1,-1,-1,-0.16,-1
ES30,-0.73,-0.55,-0.68,-0.6,1.51,-1,-1,1.1,0.58,-1,-1,-1,-1,-0.07,0.76,-1,-1,-1,-0.27,-1
IE02,0.06,-1,-0.53,-1,-0.46,0.12,-1,-0.19,-1,-1,-0.53,-1,-0.07,-1,0.68,-0.05,-1,0.13,-0.32,-1
DEA2,-0.31,-0.42,1.85,-0.69,2.95,0.67,4.26,0.62,0.15,0.55,0.82,-1,0.76,0.68,-1,-1,-0.46,2.77,0.44,0.15
ITC4,-0.45,-0.77,-0.84,-1,-1,-0.71,-1,-1,0.6,-1,-1,-1,-1,-0.05,-1,-1,-1,-1,-0.25,-1
FR71,-1,6.81,-1,-1,-1,-0.72,-1,-1,-0.51,-1,-1,-1,-1,-1,-0.46,-1,-1,-1,8.09,-1
DE71,-0.54,-0.61,1.43,-1,-0.3,1.16,2.67,9.75,1.32,-0.48,-0.63,-1,-1,0.13,2.77,-1,-1,-1,-1,1.69
CH01,0.23,-0.17,-1,-0.66,-0.75,-0.48,-0.53,-1,3.39,-1,-1,-0.16,-0.27,-0.32,0.44,-0.25,8.09,-1,-1,-1
DE25,-1,-0.81,10.93,-1,-0.56,0.37,0.12,2.33,-0.29,-1,-1,-1,-1,-1,0.15,-1,-1,1.69,-1,-1
