key,AT13,BG41,FI1D,FR10,DE11,DEA2,EL30,ITH5,LU00,PL41,ES51,SI01,SE12
AT13,-1,-1,-1,-0.78,1.25,-1,-1,-1,-1,-1,-0.18,-1,1.16
BG41,-1,-1,-1,-1,-0.34,-1,-1,-1,-1,-1,-1,-1,-1
FI1D,-1,-1,-1,-0.28,-1,-1,-1,-1,-1,-1,-1,-1,-1
FR10,-0.78,-1,-0.28,-1,-0.42,-0.42,-0.51,-1,-0.75,-1,-0.57,-1,-0.79
DE11,1.25,-0.34,-1,-0.42,-1,0.67,-1,-1,-1,-1,-0.72,-1,-1
DEA2,-1,-1,-1,-0.42,0.67,-1,-1,-1,-1,-1,1.16,-1,1.49
EL30,-1,-1,-1,-0.51,-1,-1,-1,-1,-1,-1,-1,-1,-1
ITH5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LU00,-1,-1,-1,-0.75,-1,-1,-1,-1,-1,-1,-1,-1,-1
PL41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ES51,-0.18,-1,-1,-0.57,-0.72,1.16,-1,-1,-1,-1,-1,-1,-1
SI01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SE12,1.16,-1,-1,-0.79,-1,1.49,-1,-1,-1,-1,-1,-1,-1
