key,UKI1,FR10,DE21,NL41,SE11,DE11,DE30,DE12,CH04,UKJ1,FI1B,UKH1,ES30,IE02,DEA2,ITC4,FR71,DE71,CH01,DE25
AT13,-1,-0.78,0.88,-1,-1,1.25,0.09,-0.59,-1,2.79,-1,-1,-1,-1,-1,-1,-1,-0.43,-0.31,1.01
BG41,-1,-1,-1,-1,-1,-0.34,0.54,-0.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FI1D,-1,-0.28,-0.83,-1,-1,-1,-1,-1,-1,-1,5.21,0.16,-1,-1,-1,-1,-1,-0.3,-1,-1
FR10,2.23,-1,3,-0.83,0.42,-0.42,-1,-0.66,0.31,0.28,1.91,-0.63,-0.55,-1,-0.42,-0.77,6.81,-0.61,-0.17,-0.81
DE11,-0.84,-0.42,2.64,-0.6,-0.84,-1,2.3,20.81,0.83,-0.73,-0.56,-1,-1,0.12,0.67,-0.71,-0.72,1.16,-0.48,0.37
DEA2,-0.31,-0.42,1.85,-0.69,2.95,0.67,4.26,0.62,0.15,0.55,0.82,-1,0.76,0.68,-1,-1,-0.46,2.77,0.44,0.15
EL30,-0.39,-0.51,-1,-1,-0.69,-1,0.44,-1,-1,0.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ITH5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.94,-1,-1,-1,-0.37
LU00,-1,-0.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PL41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ES51,1.09,-0.57,-0.07,-0.62,-1,-0.72,-1,-0.21,-0.51,-1,-1,-1,3.39,1.44,1.16,0.8,0.54,-0.45,0.31,-1
SI01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SE12,-1,-0.79,-0.24,-1,30.79,-1,-1,1.22,-0.55,-0.35,-0.57,-1,-1,-1,1.49,-1,-1,-1,-1,-1
