Region,Metric,Advanced AI Skills Demand,aif_group_label
Île de France (FR10),Share of vacancies,23.26787603,NUTS-2 match
Île de France (FR10),Number of vacancies,100,NUTS-2 match
Lisboa (PT17),Number of vacancies,45.58505408,Partner country
Lisboa (PT17),Share of vacancies,71.41082926,Partner country
Cataluña (ES51),Number of vacancies,52.4287119,NUTS-2 match
Cataluña (ES51),Share of vacancies,59.8818389,NUTS-2 match
Berlin (DE30),Share of vacancies,48.21674462,Country match
Berlin (DE30),Number of vacancies,63.79547689,Country match
Oberbayern (DE21),Number of vacancies,63.24483776,Country match
Oberbayern (DE21),Share of vacancies,42.95792444,Country match
Ιόνια Νησιά (EL62),Share of vacancies,100,Country match
Ιόνια Νησιά (EL62),Number of vacancies,2.379547689,Country match
Comunidad de Madrid (ES30),Share of vacancies,57.37591064,Country match
Comunidad de Madrid (ES30),Number of vacancies,44.36578171,Country match
Eastern and Midland (IE06),Number of vacancies,39.33136676,No match
Eastern and Midland (IE06),Share of vacancies,57.80242766,No match
Warszawski stołeczny (PL91),Share of vacancies,58.19585666,Country match
Warszawski stołeczny (PL91),Number of vacancies,36.46017699,Country match
Hovedstaden (DK01),Share of vacancies,58.72874179,Partner country
Hovedstaden (DK01),Number of vacancies,24.93608653,Partner country
Gelderland (NL22),Number of vacancies,39.86234022,No match
Gelderland (NL22),Share of vacancies,42.06583929,No match
Utrecht (NL31),Number of vacancies,33.56932153,No match
Utrecht (NL31),Share of vacancies,47.07353109,No match
Noord-Holland (NL32),Share of vacancies,34.48775466,No match
Noord-Holland (NL32),Number of vacancies,40.05899705,No match
Stockholm (SE11),Number of vacancies,35.94886922,Country match
Stockholm (SE11),Share of vacancies,33.36422326,Country match
Liechtenstein (LI00),Share of vacancies,68.22712574,No match
Liechtenstein (LI00),Number of vacancies,0.629301868,No match
Pomorskie (PL63),Share of vacancies,47.29315348,Country match
Pomorskie (PL63),Number of vacancies,16.69616519,Country match
Köln (DEA2),Share of vacancies,31.93608328,NUTS-2 match
Köln (DEA2),Number of vacancies,26.7453294,NUTS-2 match
Norte (PT11),Share of vacancies,39.75422216,Partner country
Norte (PT11),Number of vacancies,17.62045231,Partner country
Karlsruhe (DE12),Number of vacancies,25.99803343,Country match
Karlsruhe (DE12),Share of vacancies,30.90287601,Country match
Stuttgart (DE11),Share of vacancies,23.89331478,NUTS-2 match
Stuttgart (DE11),Number of vacancies,31.28810226,NUTS-2 match
