value,Region,Country,AI factory site
5096,Île de France (FR10),France,TRUE
3255,Berlin (DE30),Germany,FALSE
3227,Oberbayern (DE21),Germany,FALSE
2677,Cataluña (ES51),Spain,TRUE
2267,Comunidad de Madrid (ES30),Spain,FALSE
1865,Warszawski stołeczny (PL91),Poland,FALSE
1864,Rhône-Alpes (FRK2n),France,FALSE
1839,Stockholm (SE11),Sweden,FALSE
1602,Stuttgart (DE11),Germany,TRUE
1371,Köln (DEA2),Germany,TRUE
1333,Karlsruhe (DE12),Germany,FALSE
1205,Lombardia (ITC4),Italy,FALSE
1198,Bourgogne (FRC1),France,FALSE
981,Hamburg (DE60),Germany,FALSE
972,Darmstadt (DE71),Germany,FALSE
945,Hannover (DE92),Germany,FALSE
913,Tübingen (DE14),Germany,FALSE
863, (FRJ2),France,FALSE
860,Pomorskie (PL63),Poland,FALSE
821,Düsseldorf (DEA1),Germany,FALSE
768,Małopolskie (PL21),Poland,FALSE
745,Wien (AT13),Austria,TRUE
659, (FRF1),France,FALSE
658, (FRH0),France,FALSE
657, (FRJ1),France,FALSE
629,Wielkopolskie (PL41),Poland,TRUE
610,Sydsverige (SE22),Sweden,FALSE
596, (FRL0),France,FALSE
584,Västsverige (SE23),Sweden,FALSE
580,Mittelfranken (DE25),Germany,FALSE
572,Andalucía (ES61),Spain,FALSE
560,Thüringen (DEG0),Germany,FALSE
556,Oberösterreich (AT31),Austria,FALSE
548, (FRG0),France,FALSE
501,Östra Mellansverige (SE12),Sweden,TRUE
499, (FRI1),France,FALSE
458,Freiburg (DE13),Germany,FALSE
453,Dresden (DED2),Germany,FALSE
447,Śląskie (PL22),Poland,FALSE
424,Braunschweig (DE91),Germany,FALSE
413,Arnsberg (DEA5),Germany,FALSE
400,Rheinhessen-Pfalz (DEB3),Germany,FALSE
400, (FRK1),France,FALSE
393, (FRE1),France,FALSE
381,Lazio (ITI4),Italy,FALSE
376,Brandenburg (DE40),Germany,FALSE
350,Bremen (DE50),Germany,FALSE
341,Dolnośląskie (PL51),Poland,FALSE
337,Oberpfalz (DE23),Germany,FALSE
335,Kujawsko-Pomorskie (PL61),Poland,FALSE
320,Schleswig-Holstein (DEF0),Germany,FALSE
305,Niederbayern (DE22),Germany,FALSE
301,Detmold (DEA4),Germany,FALSE
296,Steiermark (AT22),Austria,FALSE
295,Oberfranken (DE24),Germany,FALSE
292,Réunion (FRY4),France,FALSE
286,País Vasco (ES21),Spain,FALSE
280,Sachsen-Anhalt (DEE0),Germany,FALSE
279, (FRI3),France,FALSE
264, (FRF3),France,FALSE
252,Yugozapaden (BG41),Bulgaria,TRUE
250,Luxembourg (LU00),Luxembourg,TRUE
248, (PL81),Poland,FALSE
245,Leipzig (DED5),Germany,FALSE
244,Liguria (ITC3),Italy,FALSE
237,Schwaben (DE27),Germany,FALSE
230,Lüneburg (DE93),Germany,FALSE
222,Unterfranken (DE26),Germany,FALSE
220,Övre Norrland (SE33),Sweden,FALSE
219,Emilia-Romagna (ITH5),Italy,TRUE
217,Weser-Ems (DE94),Germany,FALSE
212, (FRB0),France,FALSE
211, (FRE2),France,FALSE
208,Mecklenburg-Vorpommern (DE80),Germany,FALSE
203,Tirol (AT33),Austria,FALSE
200, (PL82),Poland,FALSE
199, (FRF2),France,FALSE
194,Piemonte (ITC1),Italy,FALSE
194,Chemnitz (DED4),Germany,FALSE
185,Kassel (DE73),Germany,FALSE
184,Attiki (EL30),Greece,TRUE
182,Veneto (ITH3),Italy,FALSE
181, (FRD1),France,FALSE
177,Koblenz (DEB1),Germany,FALSE
170,Comunidad Valenciana (ES52),Spain,FALSE
166,Zachodniopomorskie (PL42),Poland,FALSE
164, (PL84),Poland,FALSE
162,Helsinki-Uusimaa (FI1B),Finland,FALSE
159, (FRD2),France,FALSE
139, (FRC2),France,FALSE
132,Ιόνια Νησιά (EL62),Greece,FALSE
128,Toscana (ITI1),Italy,FALSE
126,Puglia (ITF4),Italy,FALSE
123,Kärnten (AT21),Austria,FALSE
123,Saarland (DEC0),Germany,FALSE
117,Trier (DEB2),Germany,FALSE
110,Castilla y León (ES41),Spain,FALSE
105,Opolskie (PL52),Poland,FALSE
101,Niederösterreich (AT12),Austria,FALSE
100,Campania (ITF3),Italy,FALSE
97,Norra Mellansverige (SE31),Sweden,FALSE
97, (PL92),Poland,FALSE
92,Småland med öarna (SE21),Sweden,FALSE
89,Lubuskie (PL43),Poland,FALSE
88,Galicia (ES11),Spain,FALSE
86,Sicilia (ITG1),Italy,FALSE
84, (PL72),Poland,FALSE
82,Friuli-Venezia Giulia (ITH4),Italy,FALSE
82, (PL71),Poland,FALSE
81,Mellersta Norrland (SE32),Sweden,FALSE
74, (FRM0),France,FALSE
74,Provincia Autonoma di Trento (ITH2),Italy,FALSE
73,Länsi-Suomi (FI19),Finland,FALSE
69,Provincia Autonoma di Bolzano/Bozen (ITH1),Italy,FALSE
65,Castilla-La Mancha (ES42),Spain,FALSE
63,Münster (DEA3),Germany,FALSE
61,Principado de Asturias (ES12),Spain,FALSE
56,Aragón (ES24),Spain,FALSE
53,Canarias (ES70),Spain,FALSE
49,Comunidad Foral de Navarra (ES22),Spain,FALSE
48,Burgenland (AT) (AT11),Austria,FALSE
48,Extremadura (ES43),Spain,FALSE
46,Región de Murcia (ES62),Spain,FALSE
40,Salzburg (AT32),Austria,FALSE
37,Cantabria (ES13),Spain,FALSE
35,Abruzzo (ITF1),Italy,FALSE
35,Gießen (DE72),Germany,FALSE
32, (EL52),Greece,FALSE
31,Etelä-Suomi (FI1C),Finland,FALSE
31,Illes Balears (ES53),Spain,FALSE
28, (FRI2),France,FALSE
23,Notio Aigaio (EL42),Greece,FALSE
23,Yuzhen tsentralen (BG42),Bulgaria,FALSE
23,Calabria (ITF6),Italy,FALSE
22,Severen tsentralen (BG32),Bulgaria,FALSE
22,Pohjois- ja Itä-Suomi (FI1D),Finland,TRUE
20,Yugoiztochen (BG34),Bulgaria,FALSE
18,Kriti (EL43),Greece,FALSE
17,Warmińsko-Mazurskie (PL62),Poland,FALSE
16,Vzhodna Slovenija (SI02),Slovenia,FALSE
15,Marche (ITI3),Italy,FALSE
14, (EL61),Greece,FALSE
13,Vorarlberg (AT34),Austria,FALSE
12, (EL54),Greece,FALSE
12, (EL65),Greece,FALSE
12, (EL63),Greece,FALSE
11, (FRY5),France,FALSE
