month,nlp,cv,audio,multimodal,rl,tabular,other,all_total
2022-03-01,2102,98,84,1,0,226,903,3414
2022-04-01,334,110,13,1,0,66,136,660
2022-05-01,609,46,15,2,0,69,167,908
2022-06-01,535,116,107,2,0,88,551,1399
2022-07-01,541,73,16,1,0,92,375,1098
2022-08-01,542,72,14,3,0,48,328,1007
2022-09-01,488,266,34,3,0,146,488,1425
2022-10-01,763,550,29,12,0,295,468,2117
2022-11-01,876,344,68,13,0,168,556,2025
2022-12-01,546,369,127,4,0,301,459,1806
2023-01-01,1402,619,67,15,0,132,693,2928
2023-02-01,994,679,145,21,0,200,809,2848
2023-03-01,1196,741,102,15,0,313,1033,3400
2023-04-01,1941,604,386,18,0,1646,1000,5595
2023-05-01,2246,698,210,19,0,1363,967,5503
2023-06-01,1937,699,134,29,0,409,1089,4297
2023-07-01,2087,514,251,395,1,372,1253,4873
2023-08-01,3098,691,218,1367,5,454,2915,8748
2023-09-01,3089,659,219,692,2,426,1827,6914
2023-10-01,3852,718,300,34,4,984,2980,8872
2023-11-01,3601,896,662,60,0,471,1688,7378
2023-12-01,3298,912,878,134,0,476,2192,7890
2024-01-01,4754,832,1055,799,2,1037,3365,11844
2024-02-01,4443,828,816,98,5,852,3532,10574
2024-03-01,5664,860,643,122,8,879,3322,11498
2024-04-01,6137,1321,728,68,4,985,3112,12355
2024-05-01,7795,1348,1202,154,77,1477,3217,15270
2024-06-01,7316,1293,838,150,14,1639,2992,14242
2024-07-01,7626,1903,709,94,58,1854,2291,14535
2024-08-01,7835,1804,709,119,41,2888,2331,15727
2024-09-01,9255,1667,676,62,137,2016,2377,16190
2024-10-01,8466,1817,596,103,340,1986,3042,16350
2024-11-01,9224,1699,618,131,180,2051,3132,17035
2024-12-01,9132,1699,639,172,347,2139,5627,19755
2025-01-01,11644,1773,672,159,450,3357,2984,21039
2025-02-01,11750,2337,902,212,994,4234,3904,24333
2025-03-01,14107,2273,869,381,971,3244,5048,26893
2025-04-01,12899,2566,1096,277,1792,4979,4658,28267
2025-05-01,16565,2921,1358,469,1868,6549,5069,34799
2025-06-01,10520,2404,1074,456,3182,3762,4187,25585
2025-07-01,11115,3272,1580,372,2955,3227,4435,26956
2025-08-01,10773,2204,974,448,2396,4170,4634,25599
2025-09-01,12488,2988,967,439,2329,4362,5061,28634
2025-10-01,10521,3412,858,548,3135,3619,5834,27927
2025-11-01,14426,2548,779,616,4266,5032,12830,40497
2025-12-01,12961,2971,1189,565,4483,4556,57274,83999
2026-01-01,15426,3356,984,1015,5528,5204,105024,136537
2026-02-01,12642,3297,1070,578,5954,5026,63377,91944
2026-03-01,14226,4636,1272,902,6243,6537,15274,49090
2026-04-01,13438,5039,1362,1271,5430,9713,11055,47308
2026-05-01,5793,1888,549,873,2761,3652,4597,20113
