task,year,month,count,count_filter_likes,count_filter_downloads
Audio,2022,3,2006,688,1720
Audio,2022,4,284,42,183
Audio,2022,5,375,49,229
Audio,2022,6,262,56,189
Audio,2022,7,1249,39,562
Audio,2022,8,166,18,111
Audio,2022,9,191,51,142
Audio,2022,10,254,42,162
Audio,2022,11,437,56,252
Audio,2022,12,1157,302,746
Audio,2023,1,321,75,186
Audio,2023,2,475,48,244
Audio,2023,3,522,72,302
Audio,2023,4,448,56,232
Audio,2023,5,599,91,221
Audio,2023,6,625,101,251
Audio,2023,7,953,136,468
Audio,2023,8,1608,116,639
Audio,2023,9,2119,191,1390
Audio,2023,10,1077,79,196
Audio,2023,11,755,116,216
Audio,2023,12,851,94,207
Audio,2024,1,958,118,296
Audio,2024,2,867,110,265
Audio,2024,3,888,133,251
Audio,2024,4,1119,121,314
Audio,2024,5,1334,133,312
Audio,2024,6,1294,139,312
Audio,2024,7,1210,125,291
Audio,2024,8,509,72,124
Audio,2024,9,605,101,178
Audio,2024,10,763,111,257
Audio,2024,11,919,124,241
Audio,2024,12,830,101,236
Audio,2025,1,785,111,184
Audio,2025,2,924,140,258
Audio,2025,3,1110,208,322
Audio,2025,4,972,185,281
Audio,2025,5,1002,179,236
Audio,2025,6,845,154,193
Audio,2025,7,813,135,230
Audio,2025,8,726,142,155
Audio,2025,9,785,163,200
Audio,2025,10,678,141,204
Audio,2025,11,705,126,198
Audio,2025,12,984,195,243
Audio,2026,1,768,224,247
Audio,2026,2,1241,204,289
Audio,2026,3,1492,273,426
Audio,2026,4,1674,175,317
Computer Vision,2022,3,469,264,447
Computer Vision,2022,4,153,81,112
Computer Vision,2022,5,88,30,76
Computer Vision,2022,6,116,44,109
Computer Vision,2022,7,179,57,159
Computer Vision,2022,8,123,55,102
Computer Vision,2022,9,242,100,184
Computer Vision,2022,10,341,148,232
Computer Vision,2022,11,709,370,575
Computer Vision,2022,12,1411,560,1124
Computer Vision,2023,1,1503,648,1097
Computer Vision,2023,2,1121,387,789
Computer Vision,2023,3,1545,432,1146
Computer Vision,2023,4,1703,429,1247
Computer Vision,2023,5,1578,420,1023
Computer Vision,2023,6,1393,375,907
Computer Vision,2023,7,2008,547,1227
Computer Vision,2023,8,3300,830,1497
Computer Vision,2023,9,2742,976,1460
Computer Vision,2023,10,2194,615,1345
Computer Vision,2023,11,3177,657,1534
Computer Vision,2023,12,3567,770,2043
Computer Vision,2024,1,2467,846,1203
Computer Vision,2024,2,2756,615,1025
Computer Vision,2024,3,2573,625,1167
Computer Vision,2024,4,2362,556,1249
Computer Vision,2024,5,3308,721,1705
Computer Vision,2024,6,2970,697,1317
Computer Vision,2024,7,2717,545,1082
Computer Vision,2024,8,4838,923,1663
Computer Vision,2024,9,5364,987,1820
Computer Vision,2024,10,5249,1326,2228
Computer Vision,2024,11,5328,1048,2206
Computer Vision,2024,12,7312,1032,2192
Computer Vision,2025,1,6217,840,2034
Computer Vision,2025,2,6606,528,1798
Computer Vision,2025,3,8847,755,2183
Computer Vision,2025,4,6056,477,1494
Computer Vision,2025,5,5179,477,1236
Computer Vision,2025,6,5403,406,953
Computer Vision,2025,7,3830,524,892
Computer Vision,2025,8,3137,451,754
Computer Vision,2025,9,2998,404,821
Computer Vision,2025,10,3584,479,1127
Computer Vision,2025,11,1997,426,528
Computer Vision,2025,12,2054,500,560
Computer Vision,2026,1,2182,527,533
Computer Vision,2026,2,2905,485,503
Computer Vision,2026,3,3309,423,508
Computer Vision,2026,4,2609,313,346
Multimodal,2022,3,20,12,20
Multimodal,2022,4,5,1,5
Multimodal,2022,5,2,2,1
Multimodal,2022,6,5,3,3
Multimodal,2022,7,20,5,20
Multimodal,2022,8,18,5,16
Multimodal,2022,9,45,3,38
Multimodal,2022,10,28,4,21
Multimodal,2022,11,75,9,55
Multimodal,2022,12,33,7,30
Multimodal,2023,1,36,7,35
Multimodal,2023,2,60,15,48
Multimodal,2023,3,69,19,59
Multimodal,2023,4,117,24,84
Multimodal,2023,5,162,16,120
Multimodal,2023,6,138,17,105
Multimodal,2023,7,140,21,106
Multimodal,2023,8,196,6,150
Multimodal,2023,9,152,12,69
Multimodal,2023,10,213,16,71
Multimodal,2023,11,246,16,85
Multimodal,2023,12,272,34,99
Multimodal,2024,1,239,26,93
Multimodal,2024,2,244,31,91
Multimodal,2024,3,360,55,174
Multimodal,2024,4,442,64,190
Multimodal,2024,5,530,134,249
Multimodal,2024,6,437,114,218
