,authorid,preferred_name,institution,position,department,start,end,city,country,institution_merged,institution_merged2
0,~Xuehai_He1,True,University of California Santa Curz,PhD student,,2021.0,2025.0,Santa Curz,US,University of California Santa Curz,
1,~Anna_Gausen1,True,Imperial College London,PhD student,,2020.0,2025.0,London,GB,Imperial College London,
2,~Zheng_Zhang2,False,"University of California, Santa Barbara",Associate Professor,,2023.0,2025.0,Santa Barbara,US,"University of California, Santa Barbara",
3,~Jungyoon_Lee1,True,Université de Montréal,MS student,,2023.0,2025.0,Montreal,CA,Université de Montréal,
4,~Jungyoon_Lee1,True,"Montreal Institute for Learning Algorithms, University of Montreal, Université de Montréal",MS student,,2023.0,2025.0,,,Montreal Institute of Learning Algorithms,Montreal Institute of Learning Algorithms
5,~Aditi_Tiwari1,True,University of Illinois at Urbana-Champaign,PhD student,,2024.0,2029.0,Urbana,US,"Department of Computer Science, University of Illinois at Urbana Champaign","Department of Computer Science, University of Illinois at Urbana Champaign"
6,~Yue_Huang9,True,IBM Research,Intern,,2025.0,2025.0,,US,International Business Machines,
7,~Zijun_Yao2,True,"Department of Computer Science and Technology, Tsinghua University",PhD student,,2023.0,2026.0,Beijing,CN,"Tsinghua University, Beijing","Tsinghua University, Beijing"
8,~Enming_Zhang3,True,nanjing university,Undergrad student,,2020.0,2025.0,nanjing,CN,Nanjing University,
9,~Charig_Yang1,True,Reality Labs (Research),Intern,,2024.0,2025.0,,US,Reality Labs (Research),
10,~Liam_Holden_Parker1,True,"University of California, Berkeley",PhD student,,2024.0,2028.0,,US,"University of California, Berkeley",
11,~Yunkyung_Ko1,True,Korea University,Undergrad student,,2022.0,2026.0,Seoul,KR,Korea University,
12,~Yifei_Ji1,True,Shanghai Jiaotong University,Undergrad student,,2022.0,2026.0,Shanghai,CN,Shanghai Jiao Tong University,
13,~Thomas_Qin2,False,Independent,Researcher,,2025.0,2025.0,,US,Independent,
14,~Dahyeon_Lee1,False,Kangwon National University,MS student,,2024.0,2026.0,Chuncheon,KR,Kangwon National University,
15,~Helya_Hosseini1,True,"Department of Computer Science, University of Maryland, College Park",PhD student,,2023.0,2028.0,College Park,US,"University of Maryland, College Park",
16,~Teodora_Popordanoska1,True,KU Leuven,Postdoc,,2025.0,2026.0,,BE,KU Leuven,
17,~Teodora_Popordanoska1,True,KU Leuven,PhD student,,2020.0,2025.0,Leuven,BE,KU Leuven,
18,~Marc_Anton_Finzi1,True,Carnegie Mellon University,Postdoc,,2023.0,2025.0,,US,Carnegie Mellon University,
19,~Jiaqi_Li24,True,"The Chinese University of Hong Kong, Shenzhen",PhD student,,2024.0,2029.0,Shenzhen,CN,CUHK(Shenzhen),CUHK(Shenzhen)
20,~Xiuyuan_Zhang2,True,Peking University ,Associate Professor,,2024.0,2027.0,Beijing,CN,Peking University,
21,~Aseem_Srivastava1,True,"Indraprastha Institute of Information Technology, Delhi",PhD student,,2020.0,2025.0,New Delhi,IN,Indian Institute of Technology Delhi,
22,~Rahul_Raman2,True,New York University,MS student,,2023.0,2025.0,New York City,US,New York University,
23,~Sneheel_Sarangi1,True,New York University Abu Dhabi,Researcher,,2024.0,2025.0,Abu Dhabi,AE,New York University Abu Dhabi,
24,~Younghoo_Kwon1,True,Korea Advanced Institute of Science & Technology,PhD student,,2024.0,2029.0,,KR,Korea Advanced Institute of Science and Technology,
25,~Chong_Zhou2,True,Nanyang Technological University,PhD student,,2021.0,2025.0,Singapore,SG,Nanyang Technological University,
26,~Mehmet_Akcakaya1,False,University of Minnesota - Twin Cities,Associate Professor,,2020.0,2025.0,Minneapolis,US,University of Minnesota,
27,~Alex_Damian1,True,"Harvard University, Harvard University",Postdoc,,2025.0,2026.0,Cambridge,US,Harvard University,
28,~Alex_Damian1,True,Princeton University,PhD student,,2020.0,2025.0,Princeton,US,Princeton University,
29,~HaiYang_Li2,True,Tianjin University,MS student,,2024.0,2027.0,,CN,Tianjin University of Technology,Tianjin University of Technology
30,~Jiaqi_Deng3,True,University of Hong Kong,Undergrad student,,2020.0,2025.0,,HK,University of Hong Kong,
31,~Karl_Ridgeway1,True,Meta,Researcher,,2018.0,2025.0,Redmond,US,Meta,
32,~Ruizhe_Liu1,True,University of Hong Kong,PhD student,,2024.0,2028.0,,HK,University of Hong Kong,
33,~Anqi_Li4,True,Shanghai Jiaotong University,PhD student,,2025.0,2029.0,Shanghai,CN,Shanghai Jiao Tong University,
34,~Anqi_Li4,True,Beijing Jiaotong University,MS student,,2022.0,2025.0,Beijing,CN,Beijing Jiaotong University,
35,~Jenq-Neng_Hwang1,True,"University of Washington, Seattle",Full Professor,,1989.0,2027.0,Seattle,US,University of Washington,
36,~Hossein_Zakerinia1,True,Institute of Science and Technology,PhD student,,2021.0,2026.0,,AT,Institute of Science and Technology Austria,
37,~Adriaan_A._de_Clercq1,True,University of Chicago,PhD student,,2023.0,2028.0,Chicago,US,University of Chicago,
38,~Ming_Yang29,True,Peking University,Undergrad student,,2021.0,2025.0,,CN,Peking University,
39,~Jen-Yuan_Huang1,True,Peking University,MS student,,2022.0,2025.0,Beijing,CN,Peking University,
40,~Zewei_Li1,False,Huazhong University of Science and Technology,MS student,,2022.0,2025.0,Wuhan,CN,Huazhong University of Science and Technology,
41,~Maria_Trofimova1,False,Nebius,Researcher,,2023.0,2025.0,Amsterdam,NL,Nebius AI,
42,~Roberto_Santana1,True,Universidad del País Vasco,Researcher,,2013.0,2025.0,San Sebastian,ES,Universidad del País Vasco,
43,~Junha_Hyung1,True,Korea Advanced Institute of Science & Technology,PhD student,,2021.0,2025.0,Yuseong-gu,KR,Korea Advanced Institute of Science and Technology,
44,~Rafael_Moschopoulos1,True,Princeton University,Undergrad student,,2023.0,2027.0,Princeton,US,Princeton University,
45,~Yuqing_Huang3,True,Harbin Institute of Technology,PhD student,,2022.0,2026.0,Shenzhen,CN,Harbin Institute of Technology,
46,~Yuqing_Huang3,True,Peng Cheng Laboratory,PhD student,,2022.0,2026.0,Shenzhen,CN,Peng Cheng Laboratory,
47,~Xiaojian_Zhong1,True,ByteDance Inc.,Researcher,,2024.0,2025.0,Beijing,CN,ByteDance Inc.,
48,~tianrui_wang1,False,Tianjin University,PhD student,,2023.0,2027.0,Tianjin,CN,Tianjin University of Technology,Tianjin University of Technology
49,~Da_Yin2,True,"University of California, Los Angeles",PhD student,,2020.0,2025.0,,US,"University of California, Los Angeles",
50,~Klara_Nahrstedt1,True,University of Illinois at Urbana-Champaign,Full Professor,,2005.0,2025.0,Urbana,US,"Department of Computer Science, University of Illinois at Urbana Champaign","Department of Computer Science, University of Illinois at Urbana Champaign"
51,~Shourya_Verma1,True,Purdue University,PhD student,,2024.0,2028.0,West Lafayette,US,Purdue University,
52,~Ming_Zhang26,True,North China Electric Power University,Undergrad student,,2023.0,2027.0,Beijing,CN,North China Electric Power University,North China Electric Power University
53,~Samarth_Varshney1,True,Amazon,Researcher,,2022.0,2025.0,,US,Amazon,
54,~Le_Zhuo2,True,Shanghai Artificial Intelligence Laboratory,Researcher,,2024.0,2025.0,Shanghai,CN,Shanghai Artificial Intelligence Laboratory,
55,~Tairan_Huang3,True,Central South University,MS student,,2024.0,2027.0,Changsha,CN,Central South University,
56,~Giseung_Park1,True,Korea Advanced Institute of Science & Technology,Researcher,,2024.0,2025.0,,KR,Korea Advanced Institute of Science and Technology,
57,~Shitong_Xu1,True,University of Oxford,PhD student,,2023.0,2028.0,Oxford,GB,University of Oxford,
58,~Ziliang_Chen1,True,Pengcheng Laboratory,Assistant Professor,,2024.0,2025.0,Shenzhen,CN,Peng Cheng Laboratory,
59,~Yuxuan_Zhang27,True,National University of Singapore,MS student,,2023.0,2026.0,Singapore,SG,National University of Singapore,
60,~Yingying_Zhuang1,True,Amazon,Researcher,,2017.0,2025.0,San Francisco,US,Amazon,
61,~Shengda_Fan1,True,Renmin University of China,PhD student,,2024.0,2028.0,Beijing,CN,Renmin University of China,Renmin University of China
62,~Qidong_Liu2,True,Xi'an Jiaotong University,PhD student,,2021.0,2025.0,Xi'an,CN,Xi'an Jiaotong University,
63,~Chen_Tang5,True,University of Surrey,PhD student,,2021.0,2025.0,Guildford,GB,University of Surrey,
64,~Jaegi_Hwang1,True,LIGNex1,Researcher,,2023.0,2025.0,Seongnam,KR,LIGNex1,
65,~Inwoo_Hwang1,True,Seoul National University,PhD student,,2019.0,2025.0,,KR,Seoul National University,
66,~Ning_Lin2,True,Renmin University of China,MS student,,2024.0,2027.0,Beijing,CN,Renmin University of China,Renmin University of China
67,~Lukas_Hauzenberger1,True,Johannes Kepler Universität Linz,PhD student,,2023.0,2027.0,Linz,AT,", Johannes Kepler Universität Linz",
68,~Sarthak_Kumar_Maharana1,True,University of Texas at Dallas,PhD student,,2023.0,2028.0,Dallas,US,"University of Texas, Dallas",
69,~Eunbyung_Park1,True,Sungkyunkwan University,Assistant Professor,,2021.0,2025.0,,KR,Sungkyunkwan University,
70,~Ruoyao_Xiao2,False,University of the Chinese Academy of Sciences,MS student,,2022.0,2025.0,Beijing,CN,University of Chinese Academy of Sciences,
71,~Mehdi_Yazdani-Jahromi1,True,University of Central Florida,PhD student,,2021.0,2025.0,,US,University of Central Florida,
72,~Jianhai_Shu1,True,Tsinghua University,Undergrad student,,2022.0,2026.0,Beijing,CN,"Tsinghua University, Beijing","Tsinghua University, Beijing"
73,~Benben_Jiang1,True,"Tsinghua University, Tsinghua University",Associate Professor,,2023.0,2070.0,,CN,"Tsinghua University, Beijing","Tsinghua University, Beijing"
74,~Lining_Xing1,True,Jiangsu University of Technology,Full Professor,,2025.0,2025.0,Changzhou City,CN,Jiangsu University of Technology,
75,~Shihao_Li5,True,nanjing university,MS student,,2025.0,2028.0,Suzhou,CN,Nanjing University,
76,~Shihao_Li5,True,Shanghai University,Undergrad student,,2021.0,2025.0,Baoshan ,CN,Shanghai University,
77,~Ruikang_Liu1,True,"Tsinghua University, Tsinghua University",MS student,,2022.0,2025.0,Beijing,CN,"Tsinghua University, Beijing","Tsinghua University, Beijing"
78,~Hongyao_Tang1,True,"Montreal Institute for Learning Algorithms, University of Montreal, Université de Montréal",Postdoc,,2023.0,2025.0,,CA,Montreal Institute of Learning Algorithms,Montreal Institute of Learning Algorithms
