,id,forum,number,title,abstract,authors,authorids,venue,venueid,primary_area,pdf,cdate_iso,pdate_iso,mdate_iso,openreview_url,institutions
21,aVh9KRZdRk,aVh9KRZdRk,21497,Learning to grok: Emergence of in-context learning and skill composition in modular arithmetic tasks,"Large language models can solve tasks that were not present in the training set. This capability is believed to be due to in-context learning and skill composition. In this work, we study the emergence of in-context learning and skill composition in a collection of modular arithmetic tasks. Specifically, we consider a finite collection of linear modular functions $z = a  x + b  y \text{ mod } p$ labeled by the vector $(a, b) \in \mathbb{Z}_p^2$. We use some of these tasks for pre-training and the rest for out-of-distribution testing. We empirically show that a GPT-style transformer exhibits a transition from in-distribution to out-of-distribution generalization as the number of pre-training tasks increases. We find that the smallest model capable of out-of-distribution generalization requires two transformer blocks, while for deeper models, the out-of-distribution generalization phase is *transient*, necessitating early stopping. Finally, we perform an interpretability study of the pre-trained models, revealing highly structured representations in both attention heads and MLPs; and discuss the learned algorithms. Notably, we find an algorithmic shift in deeper models, as we go from few to many in-context examples.",Tianyu He; Darshil Doshi; Aritra Das; Andrey Gromov,~Tianyu_He2; ~Darshil_Doshi1; ~Aritra_Das1; ~Andrey_Gromov1,NeurIPS 2024 oral,NeurIPS.cc/2024/Conference,interpretability_and_explainability,/pdf/5737b58d308dafc16130635934df4276a7a574aa.pdf,2024-05-15T19:42:34.333000,2024-09-25T18:17:36.361000,2024-11-06T06:20:05.890000,https://openreview.net/forum?id=aVh9KRZdRk,"University of Maryland, College Park; University of Maryland, College Park; University of Maryland, College Park"
25,uSKzEaj9zJ,uSKzEaj9zJ,21440,Nonlocal Attention Operator: Materializing Hidden Knowledge Towards Interpretable Physics Discovery,"Despite recent popularity of attention-based neural architectures in core AI fields like natural language processing (NLP) and computer vision (CV), their potential in modeling complex physical systems remains under-explored. Learning problems in physical systems are often characterized as discovering operators that map between function spaces based on a few instances of function pairs. This task frequently presents a severely ill-posed PDE inverse problem. In this work, we propose a novel neural operator architecture based on the attention mechanism, which we coin Nonlocal Attention Operator (NAO), and explore its capability towards developing a foundation physical model. In particular, we show that the attention mechanism is equivalent to a double integral operator that enables nonlocal interactions among spatial tokens, with a data-dependent kernel characterizing the inverse mapping from data to the hidden parameter field of the underlying operator. As such, the attention mechanism extracts global prior information from training data generated by multiple systems, and suggests the exploratory space in the form of a nonlinear kernel map. Consequently, NAO can address ill-posedness and rank deficiency in inverse PDE problems by encoding regularization and achieving generalizability. Lastly, we empirically demonstrate the advantages of NAO over baseline neural models in terms of the generalizability to unseen data resolutions and system states. Our work not only suggests a novel neural operator architecture for learning an interpretable foundation model of physical systems, but also offers a new perspective towards understanding the attention mechanism.",Yue Yu; Ning Liu; Fei Lu; Tian Gao; Siavash Jafarzadeh; Stewart A Silling,~Yue_Yu3; ~Ning_Liu6; ~Fei_Lu2; ~Tian_Gao1; ~Siavash_Jafarzadeh1; ~Stewart_A_Silling1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,machine_learning_for_physical_sciences,/pdf/6cac3b157a00647405bf6878194d4c24024eac22.pdf,2024-05-15T19:37:08.327000,2024-09-25T18:17:35.522000,2024-11-06T06:20:05.786000,https://openreview.net/forum?id=uSKzEaj9zJ,"Lehigh University; Global Engineering and Materials, Inc."
27,owuEcT6BTl,owuEcT6BTl,21435,Emergence of Hidden Capabilities: Exploring Learning Dynamics in Concept Space,"Modern generative models demonstrate impressive capabilities, likely stemming from an ability to identify and manipulate abstract concepts underlying their training data. However, fundamental questions remain: what determines the concepts a model learns, the order in which it learns them, and its ability to manipulate those concepts? To address these questions, we propose analyzing a model’s learning dynamics via a framework we call the concept space, where each axis represents an independent concept underlying the data generating process. By characterizing learning dynamics in this space, we identify how the speed at which a concept is learned, and hence the order of concept learning, is controlled by properties of the data we term concept signal. Further, we observe moments of sudden turns in the direction of a model’s learning dynamics in concept space. Surprisingly, these points precisely correspond to the emergence of hidden capabilities, i.e., where latent interventions show the model possesses the capability to manipulate a concept, but these capabilities cannot yet be elicited via naive input prompting. While our results focus on synthetically defined toy datasets, we hypothesize a general claim on emergence of hidden capabilities may hold: generative models possess latent capabilities that emerge suddenly and consistently during training, though a model might not exhibit these capabilities under naive input prompting.",Core Francisco Park; Maya Okawa; Andrew Lee; Ekdeep Singh Lubana; Hidenori Tanaka,~Core_Francisco_Park1; ~Maya_Okawa1; ~Andrew_Lee2; ~Ekdeep_Singh_Lubana1; ~Hidenori_Tanaka1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,interpretability_and_explainability,/pdf/cd344c6f2d8a5970e4d4267156a7cfb867521da6.pdf,2024-05-15T19:36:55.850000,2024-09-25T18:17:35.090000,2024-12-18T19:45:51.648000,https://openreview.net/forum?id=owuEcT6BTl,Harvard University; Harvard University; University of Michigan - Ann Arbor; Harvard University; University of Michigan - Ann Arbor; Harvard University; NTT
30,qOSFiJdVkZ,qOSFiJdVkZ,21363,Continual learning with the neural tangent ensemble,"A natural strategy for continual learning is to weigh a Bayesian ensemble of fixed functions. This suggests that if a (single) neural network could be interpreted as an ensemble, one could design effective algorithms that learn without forgetting. To realize this possibility, we observe that a neural network classifier with N parameters can be interpreted as a weighted ensemble of N classifiers, and that in the lazy regime limit these classifiers are fixed throughout learning. We call these classifiers the *neural tangent experts* and show they output valid probability distributions over the labels. We then derive the likelihood and posterior probability of each expert given past data. Surprisingly,  the posterior updates for these experts are equivalent to a scaled and projected form of stochastic gradient descent (SGD) over the network weights. Away from the lazy regime, networks can be seen as ensembles of adaptive experts which improve over time. These results offer a new interpretation of neural networks as Bayesian ensembles of experts, providing a principled framework for understanding and mitigating catastrophic forgetting in continual learning settings.",Ari S Benjamin; Christian-Gernot Pehle; Kyle Daruwalla,~Ari_S_Benjamin1; ~Christian-Gernot_Pehle1; ~Kyle_Daruwalla1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,online_learning,/pdf/7ca99de5c6a3ad1c6a158db1bba6a3eb0841e7bc.pdf,2024-05-15T19:30:22.195000,2024-09-25T18:17:33.901000,2024-11-06T06:20:05.581000,https://openreview.net/forum?id=qOSFiJdVkZ,Cold Spring Harbor Laboratory; Cold Spring Harbor Laboratory
32,m6pVpdIN0y,m6pVpdIN0y,21353,Neglected Hessian component explains mysteries in sharpness regularization,"Recent work has shown that methods that regularize second order information like SAM can improve generalization in deep learning. Seemingly similar methods like weight noise and gradient penalties often fail to provide such benefits. We investigate this inconsistency and reveal its connection to the the structure of the Hessian of the loss. Specifically, its decomposition into the positive semi-definite Gauss-Newton matrix and an indefinite matrix, which we call the Nonlinear Modeling Error (NME) matrix. Previous studies have largely overlooked the significance of the NME in their analysis for various reasons. However, we provide empirical and theoretical evidence that the NME is important to the performance of gradient penalties and explains their sensitivity to activation functions. We also provide evidence that the difference in regularization performance between gradient penalties and weight noise can be explained by the NME. Our findings emphasize the necessity of considering the NME in both experimental design and theoretical analysis for sharpness regularization.",Yann Dauphin; Atish Agarwala; Hossein Mobahi,~Yann_Dauphin1; ~Atish_Agarwala1; ~Hossein_Mobahi2,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,other,/pdf/c1f6ee9f0e9ec1784d61f91dc4fd53ea887eb3b7.pdf,2024-05-15T19:29:46.050000,2024-09-25T18:17:33.780000,2024-11-06T06:20:05.520000,https://openreview.net/forum?id=m6pVpdIN0y,
37,wm9JZq7RCe,wm9JZq7RCe,21294,An Analysis of Tokenization: Transformers under Markov Data,"While there has been a large body of research attempting to circumvent tokenization for language modeling (Clark et al. 2022, Xue et al. 2022), the current consensus is that it is a necessary initial step for designing state-of-the-art performant language models. In this paper, we investigate tokenization from a theoretical point of view by studying the behavior of transformers on simple data generating processes. When trained on data drawn from certain simple $k^{\text{th}}$-order Markov processes for $k > 1$, transformers exhibit a surprising phenomenon - in the absence of tokenization, they empirically are incredibly slow or fail to learn the right distribution and predict characters according to a unigram model (Makkuva et al. 2024). With the addition of tokenization, however, we empirically observe that transformers break through this barrier and are able to model the probabilities of sequences drawn from the source near-optimally, achieving small cross-entropy loss. With this observation as starting point, we study the end-to-end cross-entropy loss achieved by transformers with and without tokenization. With the appropriate tokenization, we show that even the simplest unigram models (over tokens) learnt by transformers are able to model the probability of sequences drawn from $k^{\text{th}}$-order Markov sources near optimally. Our analysis provides a justification for the use of tokenization in practice through studying the behavior of transformers on Markovian data.",Nived Rajaraman; Jiantao Jiao; Kannan Ramchandran,~Nived_Rajaraman1; ~Jiantao_Jiao1; ~Kannan_Ramchandran1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,interpretability_and_explainability,/pdf/d6c78ee455f5fe6feda13258c2c22ffcc162624c.pdf,2024-05-15T19:25:32.543000,2024-09-25T18:17:31.988000,2024-11-15T17:53:05.062000,https://openreview.net/forum?id=wm9JZq7RCe,"University of California, Berkeley"
47,dtPIUXdJHY,dtPIUXdJHY,21176,Generalization Analysis for Label-Specific Representation Learning,"Label-specific representation learning (LSRL), i.e., constructing the representation with specific discriminative properties for each class label, is an effective strategy to improve the performance of multi-label learning. However, the generalization analysis of LSRL is still in its infancy. The existing theory bounds for multi-label learning, which preserve the coupling among different components, are invalid for LSRL. In an attempt to overcome this challenge and make up for the gap in the generalization theory of LSRL, we develop a novel vector-contraction inequality and derive the generalization bound for general function class of LSRL with a weaker dependency on the number of labels than the state of the art. In addition, we derive generalization bounds for typical LSRL methods, and these theoretical results reveal the impact of different label-specific representations on generalization analysis. The mild bounds without strong assumptions explain the good generalization ability of LSRL.",Yifan Zhang; Min-Ling Zhang,~Yifan_Zhang13; ~Min-Ling_Zhang2,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,learning_theory,/pdf/366680d63d269891a286691d985e0b23a0be2b9c.pdf,2024-05-15T19:14:28.356000,2024-09-25T18:17:29.734000,2024-12-30T18:03:57.695000,https://openreview.net/forum?id=dtPIUXdJHY,Southeast University
55,7sACcaOmGi,7sACcaOmGi,21125,The Power of Resets in Online Reinforcement Learning,"Simulators are a pervasive tool in reinforcement learning, but most existing algorithms cannot efficiently exploit simulator access -- particularly in high-dimensional domains that require general function approximation. We explore the power of simulators through online reinforcement learning with local simulator access (or, local planning), an RL protocol where the agent is allowed to reset to previously observed states and follow their dynamics during training. We use local simulator access to unlock new statistical guarantees that were previously out of reach:
- We show that MDPs with low coverability (Xie et al. 2023) -- a general structural condition that subsumes Block MDPs and Low-Rank MDPs -- can be learned in a sample-efficient fashion with only Q⋆-realizability (realizability of the optimal state-value function); existing online RL algorithms require significantly stronger representation conditions.
- As a consequence, we show that the notorious Exogenous Block MDP problem (Efroni et al. 2022) is tractable under local simulator access.
The results above are achieved through a computationally inefficient algorithm. We complement them with a more computationally efficient algorithm, RVFS (Recursive Value Function Search), which achieves provable sample complexity guarantees under a strengthened statistical assumption known as pushforward coverability. RVFS can be viewed as a principled, provable counterpart to a successful empirical paradigm that combines recursive search (e.g., MCTS) with value function approximation.",Zakaria Mhammedi; Dylan J Foster; Alexander Rakhlin,~Zakaria_Mhammedi1; ~Dylan_J_Foster1; ~Alexander_Rakhlin1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,learning_theory,/pdf/fda028ecb1732284f7e606eff350f4f12b43fdba.pdf,2024-05-15T19:09:28.986000,2024-09-25T18:17:28.834000,2024-11-06T06:20:04.729000,https://openreview.net/forum?id=7sACcaOmGi,Google; Microsoft
70,LxxIiInmuF,LxxIiInmuF,20958,Paths to Equilibrium in Games,"In multi-agent reinforcement learning (MARL) and game theory, agents repeatedly interact and revise their strategies as new data arrives, producing a sequence of strategy profiles. This paper studies sequences of strategies satisfying a pairwise constraint inspired by policy updating in reinforcement learning, where an agent who is best responding in one period does not switch its strategy in the next period. This constraint merely requires that optimizing agents do not switch strategies, but does not constrain the non-optimizing agents in any way, and thus allows for exploration. Sequences with this property are called satisficing paths, and arise naturally in many MARL algorithms.  A fundamental question about strategic dynamics is such: for a given game and initial strategy profile, is it always possible to construct a satisficing path that terminates at an equilibrium? The resolution of this question has implications about the capabilities or limitations of a class of MARL algorithms. We answer this question in the affirmative for normal-form games. Our analysis reveals a counterintuitive insight that suboptimal, and perhaps even reward deteriorating, strategic updates are key to driving play to equilibrium along a satisficing path.",Bora Yongacoglu; Gurdal Arslan; Lacra Pavel; Serdar Yuksel,~Bora_Yongacoglu1; ~Gurdal_Arslan1; ~Lacra_Pavel1; ~Serdar_Yuksel1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,algorithmic_game_theory,/pdf/582aaeff29e17b6359504251c8c0b44500771299.pdf,2024-05-15T18:56:17.268000,2024-09-25T18:17:25.762000,2024-11-06T06:20:04.174000,https://openreview.net/forum?id=LxxIiInmuF,University of Toronto; University of Hawaii at Manoa
95,LJNqVIKSCr,LJNqVIKSCr,20765,Double-Ended Synthesis Planning with Goal-Constrained Bidirectional Search,"Computer-aided synthesis planning (CASP) algorithms have demonstrated expert-level abilities in planning retrosynthetic routes to molecules of low to moderate complexity. However, current search methods assume the sufficiency of reaching arbitrary building blocks, failing to address the common real-world constraint where using specific molecules is desired. To this end, we present a formulation of synthesis planning with starting material constraints. Under this formulation, we propose Double-Ended Synthesis Planning ($\texttt{DESP}$), a novel CASP algorithm under a _bidirectional graph search_ scheme that interleaves expansions from the target and from the goal starting materials to ensure constraint satisfiability. The search algorithm is guided by a goal-conditioned cost network learned offline from a partially observed hypergraph of valid chemical reactions. We demonstrate the utility of $\texttt{DESP}$ in improving solve rates and reducing the number of search expansions by biasing synthesis planning towards expert goals on multiple new benchmarks. $\texttt{DESP}$ can make use of existing one-step retrosynthesis models, and we anticipate its performance to scale as these one-step model capabilities improve.",Kevin Yu; Jihye Roh; Ziang Li; Wenhao Gao; Runzhong Wang; Connor W. Coley,~Kevin_Yu1; ~Jihye_Roh1; ~Ziang_Li2; ~Wenhao_Gao1; ~Runzhong_Wang1; ~Connor_W._Coley1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,machine_learning_for_other_sciences_and_fields,/pdf/28a84c7beddeea0844e294d5a0ccea7ea6314dc5.pdf,2024-05-15T18:37:14.534000,2024-09-25T18:17:21.227000,2024-11-06T06:20:03.250000,https://openreview.net/forum?id=LJNqVIKSCr,Massachusetts Institute of Technology; Massachusetts Institute of Technology; Georgia Institute of Technology; Massachusetts Institute of Technology; Massachusetts Institute of Technology; Massachusetts Institute of Technology
