,Unnamed: 0,authorid,preferred_name,institution,position,department,start,end,city,country,institution_map
0,0,~Joshua_Maynez1,False,Google,Researcher,,2016.0,,,,Google
1,1,~Damien_Ferbach1,True,Mila - Quebec Artificial Intelligence Institute,PhD student,,2024.0,,,CA,Montreal Institute of Learning Algorithms
2,2,~Damien_Ferbach1,True,Ecole Normale Supérieure de Paris,MS student,,2020.0,2024.0,,FR,Ecole Normale Supérieure
3,3,~Chen_Sun1,True,Brown University,Assistant Professor,,2021.0,,Providence,US,Brown University
4,4,~Chen_Sun1,True,Google,Research Scientist,,2016.0,,Cambridge,US,Google
5,5,~Yicheng_Li2,True,Tsinghua University,PhD student,,2022.0,,Beijing,CN,"Tsinghua University, Beijing"
6,6,~Chanwoo_Park2,True,Massachusetts Institute of Technology,PhD student,,2022.0,2026.0,Cambridge,US,Massachusetts Institute of Technology
7,7,~Yuyang_Ye1,True,ByteDance Inc.,Researcher,,2025.0,,San Jose,US,ByteDance Inc.
8,8,~Yuyang_Ye1,True,Rutgers University,PhD student,,2020.0,2025.0,New Brunswick,US,Rutgers University
9,9,~Xiaohai_Tian1,True,ByteDance Inc.,Researcher,,2021.0,,Singapore ,SG,ByteDance Inc.
10,10,~Ziyi_Chen2,True,"University of Maryland, College Park",Postdoc,,2023.0,2025.0,College park,US,"University of Maryland, College Park"
11,11,~Ashesh_Rambachan1,True,Massachusetts Institute of Technology,Assistant Professor,,2023.0,,,US,Massachusetts Institute of Technology
12,12,~Xinhan_Lin1,True,Shanghai Artificial Intelligence Laboratory,Researcher,,2022.0,,,,Shanghai Artificial Intelligence Laboratory
13,13,~Venu_Govindaraju3,False,State University of New York at Buffalo,Full Professor,,2002.0,,Amherst,US,"State University of New York, Buffalo"
14,14,~Venu_Govindaraju3,False,State University of New York at Buffalo,Professor,,2000.0,,Amherst,US,"State University of New York, Buffalo"
15,15,~Hong_Ge1,False,University of Cambridge,Senior Research Fellow,,2015.0,,,,University of Cambridge
16,16,~Peng_jian1,True,Central South University,PhD student,,2020.0,2024.0,cs,CN,Central South University
17,17,~Niklas_Lauffer1,True,"University of California, Berkeley",PhD student,,2021.0,2026.0,,US,"University of California, Berkeley"
18,18,~Jielu_Zhang1,True,University of Georgia,PhD student,,2021.0,2025.0,,US,University of Georgia
19,19,~Sara_Beery1,False,Massachusetts Institute of Technology,Assistant Professor,,2023.0,,,US,Massachusetts Institute of Technology
20,20,~Soufiane_Hayou1,True,Johns Hopkins University,Assistant Professor,,2025.0,,Baltimore,US,Johns Hopkins University
21,21,~Soufiane_Hayou1,True,"University of California, Berkeley",Researcher,,2023.0,2025.0,Berkeley,US,"University of California, Berkeley"
22,22,~Soufiane_Hayou1,True,National University of Singapore,Assistant Professor,,2021.0,2024.0,Singapore,SG,National University of Singapore
23,23,~Jinmin_He1,False,"Institute of Automation, Chinese Academy of Sciences",PhD student,,2021.0,,,CN,University of Chinese Academy of Sciences
24,24,~Jinmin_He1,False,University of Chinese Academy of Sciences,PhD student,,2021.0,,,CN,University of Chinese Academy of Sciences
25,25,~Michael_Huhns1,,University of South Carolina,Emeritus,,2014.0,2024.0,Columbia,US,University of South Carolina
26,26,~Muni_Sreenivas_Pydi1,True,Université Paris Dauphine - PSL,Postdoc,,2022.0,,,,Université Paris Dauphine - PSL
27,27,~Yuanqi_Du1,True,Cornell University,PhD student,,2022.0,,,US,Cornell University
28,28,~Zhaohan_Zhang2,True,Queen Mary University of London,PhD student,,2023.0,2027.0,London,GB,Queen Mary University of London
29,29,~Coleman_Richard_Charles_Hooper1,True,"University of California, Berkeley",PhD student,,2022.0,2027.0,Berkeley,US,"University of California, Berkeley"
30,30,~Feng_Xie1,False,Beijing Technology and Business University,Associate Professor,,2022.0,,,CN,Beijing University of Technology
31,31,~Levi_E._Lingsch1,False,ETHZ - ETH Zurich,PhD student,,2024.0,,Zurich,CH,ETH Zurich
32,32,~Levi_E._Lingsch1,False,ETHZ - ETH Zurich,MS student,,2021.0,2024.0,Zurich,CH,ETH Zurich
33,33,~Yijun_Liu4,True,Harbin Institute of Technology,PhD student,,2022.0,2026.0,Shenzhen,CN,Harbin Institute of Technology
34,34,~Kevin_Tian4,False,University of Texas at Austin,Assistant Professor,,2023.0,,,US,The University of Texas at Austin
35,35,~Xiao-Shan_Gao2,True,"Academy of Mathematics and Systems Science, Chinese Academy of Sciences, Chinese Academy of Sciences",Full Professor,,1997.0,2028.0,Beijing,CN,University of Chinese Academy of Sciences
36,36,~Arpita_Chowdhury1,True,"Ohio State University, Columbus",PhD student,,2021.0,2028.0,Columbus,US,The Ohio State University
37,37,~Gopala_Anumanchipalli1,True,"University of California, Berkeley",Assistant Professor,,2021.0,,Berkeley,US,"University of California, Berkeley"
38,38,~Jiajun_Wu1,False,Stanford University,Assistant Professor,,2020.0,,Stanford,US,Stanford University
39,39,~Yuxuan_Wang5,True,"Tsinghua University, Tsinghua University",PhD student,,2022.0,2027.0,,CN,"Tsinghua University, Beijing"
40,40,~Thomas_Dauer1,True,PsiQuantum Corp,Researcher,,2023.0,,Palo Alto,,PsiQuantum Corp
41,41,~Binquan_Wu1,False,South China University of Technology,PhD student,,2023.0,2027.0,Guangzhou,CN,South China University of Technology
42,42,~Yuankun_Zu1,True,Southeast University,MS student,,2023.0,,Nanjing,CN,Southeast University
43,43,~Abhimanyu_Das2,False,"Research, Google",Researcher,,2014.0,,,,Google
