kind,subtype,subcategory,company,period,works,citations,work_id,title
subtype-year,agent-evaluation,,,2020,5,,,
subtype-year,agent-evaluation,,,2021,3,,,
subtype-year,agent-evaluation,,,2022,10,,,
subtype-year,agent-evaluation,,,2023,258,,,
subtype-year,agent-evaluation,,,2024,1594,,,
subtype-year,agent-evaluation,,,2025,7692,,,
subtype-year,agent-evaluation,,,2026,12288,,,
subtype-year,agent-memory,,,2020,1,,,
subtype-year,agent-memory,,,2021,1,,,
subtype-year,agent-memory,,,2022,4,,,
subtype-year,agent-memory,,,2023,54,,,
subtype-year,agent-memory,,,2024,232,,,
subtype-year,agent-memory,,,2025,1319,,,
subtype-year,agent-memory,,,2026,3162,,,
subtype-year,agent-safety,,,2022,2,,,
subtype-year,agent-safety,,,2023,11,,,
subtype-year,agent-safety,,,2024,71,,,
subtype-year,agent-safety,,,2025,539,,,
subtype-year,agent-safety,,,2026,1453,,,
subtype-year,agentic-other,,,2023,2,,,
subtype-year,agentic-other,,,2024,4,,,
subtype-year,agentic-other,,,2025,49,,,
subtype-year,agentic-other,,,2026,92,,,
subtype-year,agentic-retrieval,,,2021,2,,,
subtype-year,agentic-retrieval,,,2022,3,,,
subtype-year,agentic-retrieval,,,2023,101,,,
subtype-year,agentic-retrieval,,,2024,446,,,
subtype-year,agentic-retrieval,,,2025,2320,,,
subtype-year,agentic-retrieval,,,2026,2947,,,
subtype-year,autonomous-agents,,,2020,3,,,
subtype-year,autonomous-agents,,,2021,4,,,
subtype-year,autonomous-agents,,,2022,17,,,
subtype-year,autonomous-agents,,,2023,254,,,
subtype-year,autonomous-agents,,,2024,1187,,,
subtype-year,autonomous-agents,,,2025,4959,,,
subtype-year,autonomous-agents,,,2026,6986,,,
subtype-year,embodied,,,2020,1,,,
subtype-year,embodied,,,2021,2,,,
subtype-year,embodied,,,2022,16,,,
subtype-year,embodied,,,2023,63,,,
subtype-year,embodied,,,2024,157,,,
subtype-year,embodied,,,2025,431,,,
subtype-year,embodied,,,2026,442,,,
subtype-year,multi-agent,,,2020,2,,,
subtype-year,multi-agent,,,2021,5,,,
subtype-year,multi-agent,,,2022,5,,,
subtype-year,multi-agent,,,2023,108,,,
subtype-year,multi-agent,,,2024,712,,,
subtype-year,multi-agent,,,2025,3491,,,
subtype-year,multi-agent,,,2026,4601,,,
subtype-year,orchestration,,,2022,1,,,
subtype-year,orchestration,,,2023,15,,,
subtype-year,orchestration,,,2024,73,,,
subtype-year,orchestration,,,2025,865,,,
subtype-year,orchestration,,,2026,1836,,,
subtype-year,planning-reasoning,,,2020,5,,,
subtype-year,planning-reasoning,,,2021,6,,,
subtype-year,planning-reasoning,,,2022,21,,,
subtype-year,planning-reasoning,,,2023,257,,,
subtype-year,planning-reasoning,,,2024,1122,,,
subtype-year,planning-reasoning,,,2025,5084,,,
subtype-year,planning-reasoning,,,2026,7262,,,
subtype-year,tool-use,,,2022,1,,,
subtype-year,tool-use,,,2023,96,,,
subtype-year,tool-use,,,2024,526,,,
subtype-year,tool-use,,,2025,2170,,,
subtype-year,tool-use,,,2026,2934,,,
subtype-quarter,agent-evaluation,,,2020-Q1,3,,,
subtype-quarter,agent-evaluation,,,2020-Q2,1,,,
subtype-quarter,agent-evaluation,,,2020-Q4,1,,,
subtype-quarter,agent-evaluation,,,2021-Q2,1,,,
subtype-quarter,agent-evaluation,,,2021-Q3,2,,,
subtype-quarter,agent-evaluation,,,2022-Q1,2,,,
subtype-quarter,agent-evaluation,,,2022-Q2,2,,,
subtype-quarter,agent-evaluation,,,2022-Q3,3,,,
subtype-quarter,agent-evaluation,,,2022-Q4,3,,,
subtype-quarter,agent-evaluation,,,2023-Q1,27,,,
subtype-quarter,agent-evaluation,,,2023-Q2,40,,,
subtype-quarter,agent-evaluation,,,2023-Q3,62,,,
subtype-quarter,agent-evaluation,,,2023-Q4,129,,,
subtype-quarter,agent-evaluation,,,2024-Q1,383,,,
subtype-quarter,agent-evaluation,,,2024-Q2,289,,,
subtype-quarter,agent-evaluation,,,2024-Q3,328,,,
subtype-quarter,agent-evaluation,,,2024-Q4,594,,,
subtype-quarter,agent-evaluation,,,2025-Q1,1366,,,
subtype-quarter,agent-evaluation,,,2025-Q2,1483,,,
subtype-quarter,agent-evaluation,,,2025-Q3,1853,,,
subtype-quarter,agent-evaluation,,,2025-Q4,2990,,,
subtype-quarter,agent-evaluation,,,2026-Q1,5394,,,
subtype-quarter,agent-evaluation,,,2026-Q2,6878,,,
subtype-quarter,agent-evaluation,,,2026-Q3,13,,,
subtype-quarter,agent-evaluation,,,2026-Q4,3,,,
subtype-quarter,agent-memory,,,2020-Q3,1,,,
subtype-quarter,agent-memory,,,2021-Q3,1,,,
subtype-quarter,agent-memory,,,2022-Q1,1,,,
subtype-quarter,agent-memory,,,2022-Q2,1,,,
subtype-quarter,agent-memory,,,2022-Q3,2,,,
subtype-quarter,agent-memory,,,2023-Q1,5,,,
subtype-quarter,agent-memory,,,2023-Q2,8,,,
subtype-quarter,agent-memory,,,2023-Q3,12,,,
