month,open_tokens,prop_tokens,other_tokens,total_tokens
2025-01-01,537747088079,1577332824257,115054043755,2230133956091
2025-02-01,728977165463,2571006232707,196584028733,3496567426903
2025-03-01,1531198264049,4562798119198,266883438518,6360879821765
2025-04-01,1879146470759,5969549515141,446163675304,8294859661204
2025-05-01,1815905069555,7412070761796,633202200344,9861178031695
2025-06-01,2056324719386,6776075889134,579236301523,9411636910043
2025-07-01,3308554017686,7215553637073,864542487255,11388650142014
2025-08-01,5185602493695,8678476126575,1108168050217,14972246670487
2025-09-01,4589448068755,15374737349537,1455980390144,21420165808436
2025-10-01,4955842814782,15644779995971,1745835978945,22346458789698
2025-11-01,5267589442634,18645158211761,2647823783856,26560571438251
2025-12-01,6905399149628,15613090095424,3496249177402,26014738422454
2026-01-01,9496884922003,19019220168094,3177189493011,31693294583108
2026-02-01,23043624066564,22708032759583,3838457963975,49590114790122
2026-03-01,42447468764854,31822293560412,7447513953190,81717276278456
2026-04-01,48080139342192,36318996510997,12050485469080,96449621322269
2026-05-01,62243694491398,41868632369708,14623471492009,118735798353115
2026-06-01,109344650711870,53027088436022,14753738721245,177125477869137
2026-07-01,169980700339463,57377323627879,21034226951941,248392250919283
2026-08-01,220150143880531,88636776366622,29023967017071,337810887264224
