project,recipient,tier,tier_label,digital_category,cat,intensity,years_in_crs,crs_rows,usd_disbursement_m,usd_commitment_m,crs_sector,duration,status,implementing_partners,digital_component,key_facts,icdf_project_page,more_links
Enhancing Public Safety with Intelligent Video Analytics (St. Vincent & the Grenadines),St. Vincent & the Grenadines,1,Digital project,Digital governance & public services,gov,led,2023/2024,4,1.2384,0.3331,II.2. Communications,2023 to 2025,Completed,Taiwan Technical Mission in SVG; SVG IT Services Division; Royal St. Vincent & the Grenadines Police Force,Digital-led. A nationwide smart video-surveillance and analytics system for public safety.,300+ cameras at 20+ locations incl. Union Island and Bequia; AI licence-plate recognition; a centralised video-sharing platform; cybersecurity training for 200+ Vincentians. Investigation time in covered areas cut by ~50%.,https://www.icdf.org.tw/wSite/ct?ctNode=31539&mp=2&xItem=69786,TaiwanICDF project page: https://www.icdf.org.tw/wSite/ct?ctNode=31539&mp=2&xItem=69786 | Searchlight (SVG): 300+ cameras installed: https://www.searchlight.vc/news/2025/08/14/police-receive-bucket-truck-taiwan-funded-video-analytics-project/
Health Information Management Efficiency Enhancement Project (Paraguay),Paraguay,1,Digital project,Digital governance & public services,gov,led,2023/2024,7,1.846,0.6305,"I.2.a. Health, General",2016 to 2024 (Phases 1–3),In operation,TaiwanICDF; Cathay General Hospital; Paraguay Ministry of Public Health & Social Welfare; Paraguay Ministry of ICT,Digital-led. A national health information system (HIS) replacing handwritten hospital records.,"The HIS is now in 1,000 public healthcare facilities, covering health data for over 70% of Paraguay's population; the goal is all 1,592 public medical institutions.",https://www.icdf.org.tw/wSite/ct?ctNode=31549&mp=2&xItem=58289,"TaiwanICDF project page (Phase 2): https://www.icdf.org.tw/wSite/ct?ctNode=31549&mp=2&xItem=58289 | TaiwanICDF project page (Phase 1): https://www.icdf.org.tw/wSite/ct?ctNode=31765&mp=2&xItem=33764 | ICDF news: HIS now in 1,000 public hospitals: https://www.icdf.org.tw/wSite/ct?ctNode=31572&mp=2&xItem=73589"
Flood Warning Capacity Improvement for the Belize River Basin,Belize,1,Digital project,Digital governance & public services,gov,led,2023/2024,4,0.6873,0.2769,IV.2. Other Multisector,2023 to 2025,Completed,"TaiwanICDF; National Taiwan University; Belize Ministry of Sustainable Development, Climate Change & DRM; NEMO; National Met & Hydrological Services",Digital-led. A hydrological-sensor flood early-warning system for the Belize River Basin.,"Five hydrological monitoring stations; flood-potential maps for Belmopan, San Ignacio and Belize City. San Ignacio — previously with no alert mechanism — can now receive flood warnings up to three hours in advance.",https://www.icdf.org.tw/wSite/ct?ctNode=31572&mp=2&xItem=74183,ICDF news: NTU flood-warning project concludes: https://www.icdf.org.tw/wSite/ct?ctNode=31572&mp=2&xItem=74183 | Govt of Belize: disaster-management training: https://www.pressoffice.gov.bz/ministry-of-sustainable-development-and-taiwanicdf-host-closing-ceremony-for-disaster-management-training/
Health Information Management Efficiency Enhancement Project (Somaliland),"Somaliland (CRS: Eastern Africa, regional)",1,Digital project,Digital governance & public services,gov,led,2023/2024,4,0.6466,0.3117,"I.2.a. Health, General",2022 to 2027,In operation,TaiwanICDF; Somaliland Ministry of Health Development; Kaohsiung Medical University Chung-Ho Memorial Hospital,Digital-led. An integrated hospital health information system (SHIS) with electronic medical records.,"SHIS deployed at 6 hospitals; 394,374 electronic medical records accumulated; 60 training sessions / 1,497 participants; automated daily uploads to the Ministry's central server.",https://www.icdf.org.tw/wSite/ct?ctNode=31549&mp=2&xItem=68951,TaiwanICDF project page: https://www.icdf.org.tw/wSite/ct?ctNode=31549&mp=2&xItem=68951 | Somaliland Chronicle: HIS launched at Hargeisa: https://somalilandchronicle.com/2023/03/29/the-first-somaliland-health-information-system-at-hargeisa-group-hospital-launched/
Application of ICT in Digital Capacity Building Project (Saint Lucia),Saint Lucia,1,Digital project,Digital inclusion / human development,inc,led,2023/2024,5,0.6277,0.1615,I.5.a. Government & Civil Society-general,2023 to 2027,In operation,TaiwanICDF; St. Lucia Ministry of Public Service; Ministry of Education; Taiwan Technical Mission,Digital-led. Builds national ICT-training capacity and Digital Development Centres.,"Converting government buildings (Laborie, then Gros Islet, Dennery, Soufrière) into Digital Development Centres; target +54% training capacity (up to 1,440 trainees/year). Total value US$2.01M (Taiwan US$1.52M + St. Lucia US$0.49M).",https://www.icdf.org.tw/wSite/ct?ctNode=31539&mp=2&xItem=70201,TaiwanICDF project page: https://www.icdf.org.tw/wSite/ct?ctNode=31539&mp=2&xItem=70201 | The Voice (St. Lucia): project launched: https://thevoiceslu.com/2023/10/taiwan-saint-lucia-sponsored-ict-capacity-building-project-launched/
Early Warning and Disaster Management System Project (Guatemala),Guatemala,1,Digital project,Digital governance & public services,gov,led,2023/2024,4,0.547,0.2091,IV.2. Other Multisector,2023 to 2025,Completed,TaiwanICDF; Guatemala CONRED; National Taiwan University civil-engineering team; Taiwan Investment & Trade Mission in Central America,Digital-led. An IoT-sensor flood early-warning and disaster-management system. The CRS line shown is the preparatory tranche.,Three IoT monitoring stations in the Cahabón river basin; a flood-simulation model (50/150/300mm scenarios); a disaster risk map; 4 community response plans; targeting a 30% reduction in response time.,https://www.icdf.org.tw/wSite/ct?xItem=71011&ctNode=31531&mp=2,TaiwanICDF project page: https://www.icdf.org.tw/wSite/ct?xItem=71011&ctNode=31531&mp=2
Somaliland E-government Capability Enhancement Project,"Somaliland (CRS: Eastern Africa, regional)",1,Digital project,Digital governance & public services,gov,led,2023/2024,4,0.3106,0.1615,II.2. Communications,2021 to 2023,Completed,TaiwanICDF; Somaliland Ministry of ICT; Taiwan Technical Mission,Digital-led. Built the 'S-Road' intra-government data-exchange platform and a government portal.,"Deployed the 'S-Road' data-exchange system and a government portal; 52 ICT training programmes for 1,096+ participants; supports the Somaliland e-Government Strategy 2020-2024 Action Plan.",https://www.icdf.org.tw/wSite/ct?xItem=62522&ctNode=31626&mp=2,TaiwanICDF project page: https://www.icdf.org.tw/wSite/ct?xItem=62522&ctNode=31626&mp=2 | Somaliland Reporter: digital-transformation phase II: https://somalilandreporter.com/2024/05/24/taiwans-to-boost-somalilands-digital-transformation-in-phase-ii-partnership/
Strengthening Coastal Fisheries Resource Management Project (Palau),Palau,1,Digital project,Digital inclusion / human development,inc,component,2023/2024,3,0.3185,0.0435,III.1.c. Fishing,2024 to 2027,In operation,"Taiwan Technical Mission in Palau; Palau Ministry of Agriculture, Fisheries & Environment / Bureau of Fisheries",Digital component. Procures an information-integration platform to digitise fisheries-resource data management.,Coastal catch-reporting points and an information-integration platform; target of 80% of catch across Palau's three states under the new monitoring mechanism. Aligned to SDG 14.,https://www.icdf.org.tw/wSite/ct?ctNode=31665&mp=2&xItem=71819,TaiwanICDF project page: https://www.icdf.org.tw/wSite/ct?ctNode=31665&mp=2&xItem=71819 | ICDF news: Taiwan–Palau blue economy: https://www.icdf.org.tw/wSite/ct?xItem=72093&ctNode=31572&mp=2
Strengthening Digital Healthcare for NCDs and COVID-19 in Fiji,Fiji,1,Digital project,Digital inclusion / human development,inc,led,2024,2,0.3058,0.0,"I.2.a. Health, General",2024 to 2025,Completed,TaiwanICDF; USAID; Fiji Ministry of Health & Medical Services; National Taiwan University Hospital Hsin-Chu Branch,"Digital-led. Built the 'Sova Ni Bula' app, replacing paper records with digital case management for NCD, COVID-19 and long-COVID patient tracking.","9,000+ patient records digitised; 4,100+ clinical consultations supported; 88 healthcare professionals trained. TaiwanICDF's first public-health project in Fiji.",https://www.icdf.org.tw/wSite/ct?ctNode=31680&mp=2&xItem=72267,TaiwanICDF project page: https://www.icdf.org.tw/wSite/ct?ctNode=31680&mp=2&xItem=72267 | ICDF news: ICDF–USAID–Fiji MHMS app: https://www.icdf.org.tw/wSite/ct?ctNode=31572&mp=2&xItem=72053 | Islands Business: Taiwan–Fiji digital health: https://islandsbusiness.com/partner-advertorials/building-a-more-resilient-pacific-taiwan-and-fijis-partnership-in-digital-health-and-medical-capacity/
Smart Farming Systems for Horticulture (Thailand),Thailand,1,Digital project,Digital inclusion / human development,inc,led,2023/2024,4,0.247,0.1053,III.1.a. Agriculture,2023 to 2026,In operation,"Taiwan Technical Mission in Thailand; Royal Project Foundation (RPF), Chiang Mai","Digital-led. Introduces sensing, decision and environmental-control (IoT) systems for precision agriculture at RPF stations.","10 smart-agriculture demonstration sites; block-program modules for 4 target crops; 146+ RPF personnel trained (to Mar 2026). Targets: +10% yield, −15% pesticide use.",https://www.icdf.org.tw/wSite/ct?xItem=70877&ctNode=31677&mp=2,TaiwanICDF project page: https://www.icdf.org.tw/wSite/ct?xItem=70877&ctNode=31677&mp=2 | ICDF quarterly: 'When AI Enters the Fields': https://www.icdf.org.tw/wSite/ct?ctNode=31929&mp=1&xItem=74033 | ICDF news: 5th RPF cooperation MOU: https://www.icdf.org.tw/wSite/ct?ctNode=31572&mp=2&xItem=70632
